id,calamity
ac2008,FALSE
ac2009,FALSE
ac2010,FALSE
ac2011,FALSE
ac2012,FALSE
ac2013,FALSE
ac2014,FALSE
ac2015,FALSE
ac2016,FALSE
al2008,FALSE
al2009,FALSE
al2010,FALSE
al2011,FALSE
al2012,FALSE
al2013,FALSE
al2014,FALSE
al2015,FALSE
al2016,FALSE
am2008,FALSE
am2009,FALSE
am2010,FALSE
am2011,FALSE
am2012,FALSE
am2013,FALSE
am2014,FALSE
am2015,FALSE
am2016,FALSE
ap2008,FALSE
ap2009,FALSE
ap2010,FALSE
ap2011,FALSE
ap2012,FALSE
ap2013,FALSE
ap2014,FALSE
ap2015,FALSE
ap2016,FALSE
ba2008,FALSE
ba2009,FALSE
ba2010,FALSE
ba2011,FALSE
ba2012,FALSE
ba2013,FALSE
ba2014,FALSE
ba2015,FALSE
ba2016,FALSE
ce2008,FALSE
ce2009,FALSE
ce2010,FALSE
ce2011,FALSE
ce2012,FALSE
ce2013,FALSE
ce2014,FALSE
ce2015,FALSE
ce2016,FALSE
df2008,FALSE
df2009,FALSE
df2010,FALSE
df2011,FALSE
df2012,FALSE
df2013,FALSE
df2014,FALSE
df2015,FALSE
df2016,FALSE
es2008,FALSE
es2009,FALSE
es2010,FALSE
es2011,FALSE
es2012,FALSE
es2013,FALSE
es2014,FALSE
es2015,FALSE
es2016,FALSE
go2008,FALSE
go2009,FALSE
go2010,FALSE
go2011,FALSE
go2012,FALSE
go2013,FALSE
go2014,FALSE
go2015,FALSE
go2016,FALSE
ma2008,FALSE
ma2009,FALSE
ma2010,FALSE
ma2011,FALSE
ma2012,FALSE
ma2013,FALSE
ma2014,FALSE
ma2015,FALSE
ma2016,FALSE
mg2008,FALSE
mg2009,FALSE
mg2010,FALSE
mg2011,FALSE
mg2012,FALSE
mg2013,FALSE
mg2014,FALSE
mg2015,FALSE
mg2016,TRUE
ms2008,FALSE
ms2009,FALSE
ms2010,FALSE
ms2011,FALSE
ms2012,FALSE
ms2013,FALSE
ms2014,FALSE
ms2015,FALSE
ms2016,FALSE
mt2008,FALSE
mt2009,FALSE
mt2010,FALSE
mt2011,FALSE
mt2012,FALSE
mt2013,FALSE
mt2014,FALSE
mt2015,FALSE
mt2016,FALSE
pa2008,FALSE
pa2009,FALSE
pa2010,FALSE
pa2011,FALSE
pa2012,FALSE
pa2013,FALSE
pa2014,FALSE
pa2015,FALSE
pa2016,FALSE
pb2008,FALSE
pb2009,FALSE
pb2010,FALSE
pb2011,FALSE
pb2012,FALSE
pb2013,FALSE
pb2014,FALSE
pb2015,FALSE
pb2016,FALSE
pe2008,FALSE
pe2009,FALSE
pe2010,FALSE
pe2011,FALSE
pe2012,FALSE
pe2013,FALSE
pe2014,FALSE
pe2015,FALSE
pe2016,FALSE
pi2008,FALSE
pi2009,FALSE
pi2010,FALSE
pi2011,FALSE
pi2012,FALSE
pi2013,FALSE
pi2014,FALSE
pi2015,FALSE
pi2016,FALSE
pr2008,FALSE
pr2009,FALSE
pr2010,FALSE
pr2011,FALSE
pr2012,FALSE
pr2013,FALSE
pr2014,FALSE
pr2015,FALSE
pr2016,FALSE
rj2008,FALSE
rj2009,FALSE
rj2010,FALSE
rj2011,FALSE
rj2012,FALSE
rj2013,FALSE
rj2014,FALSE
rj2015,FALSE
rj2016,TRUE
rn2008,FALSE
rn2009,FALSE
rn2010,FALSE
rn2011,FALSE
rn2012,FALSE
rn2013,FALSE
rn2014,FALSE
rn2015,FALSE
rn2016,FALSE
ro2008,FALSE
ro2009,FALSE
ro2010,FALSE
ro2011,FALSE
ro2012,FALSE
ro2013,FALSE
ro2014,FALSE
ro2015,FALSE
ro2016,FALSE
rr2008,FALSE
rr2009,FALSE
rr2010,FALSE
rr2011,FALSE
rr2012,FALSE
rr2013,FALSE
rr2014,FALSE
rr2015,FALSE
rr2016,FALSE
rs2008,FALSE
rs2009,FALSE
rs2010,FALSE
rs2011,FALSE
rs2012,FALSE
rs2013,FALSE
rs2014,FALSE
rs2015,FALSE
rs2016,TRUE
sc2008,FALSE
sc2009,FALSE
sc2010,FALSE
sc2011,FALSE
sc2012,FALSE
sc2013,FALSE
sc2014,FALSE
sc2015,FALSE
sc2016,FALSE
se2008,FALSE
se2009,FALSE
se2010,FALSE
se2011,FALSE
se2012,FALSE
se2013,FALSE
se2014,FALSE
se2015,FALSE
se2016,FALSE
sp2008,FALSE
sp2009,FALSE
sp2010,FALSE
sp2011,FALSE
sp2012,FALSE
sp2013,FALSE
sp2014,FALSE
sp2015,FALSE
sp2016,FALSE
to2008,FALSE
to2009,FALSE
to2010,FALSE
to2011,FALSE
to2012,FALSE
to2013,FALSE
to2014,FALSE
to2015,FALSE
to2016,FALSE
