id,dcb,rcl,juros,amortizacao,primario,dbp,rec_cor,desp_cor,investimentos,desp_total,rec_previdenciarias,inativos,rec_tributaria,obrig_fin,disp_caixa_bruta
ac2008,1011545978.17,2223256744.68,49307203.67,87462472.35,215641041.84,1152523788.32,2791461275.6899996,2079273853.6999998,575447020.7199999,2742183346.7699995,174473396.48,138326193.63,560163762.03,8850387.44,387703624.66
ac2009,1354792638.61,2453089940.51,55848816.61,91682595.5,-238241336.99,1288407655.27,3091974481.66,2412211875.56,1015103594.88,3519085437.46,222447458.25,161970450.02,588057187.13,12449182.48,465917440.75
ac2010,1746291245.71,2648933275.05,95702934.92999999,103288847.53,-420200205.37,1399993068.17,3367652164.48,2739927888.9300003,1096715381.43,3939988667.8900003,237524470.41,189876367,714039831.48,11211523.87,334481016.01
ac2011,1889207621.63,2975827933.48,108506541.00999999,157498881.4,94009198.46,1546678926.38,3771196466.5499997,3046923229.34,575643335.8700001,3792691937.17,246434582.21,226850509.09,743492003.95,15533547.22,405984254.9
ac2012,2636362085.86,3281194823.87,118580274.27000001,250331028.03,-447859717.39,1788207243.54,4181084864.870001,3593266006.3700004,812106234.78,4657789519.18,196695273.84,273842771.68,954773012.8,31356879.53,751151529.63
ac2013,3144566264.64,3700350634.52,143100869.08,234166159.69,-412796110.289999,1994409891.35,4683980123.77,3983856286,891493708.88,5156552725.91,292425607.92,326349624.85,1015486448.49,66232718.09,676302339.03
ac2014,3617717818.12,4267230697.3,154438496.45,217909479.14,9169807.63,2321649265.3199997,5374680310.04,4470397050.43,1104243702.17,5793050231.74,416678814.85,416389998.49,1157315833.57,95547969.73,561134241.74
ac2015,4245948557.36,3949107687.38,187151372.97,260535882.44,-143987048.42,2454398031.26,5102591982.15,4570803605.21,396462124.8,5231991530.18,375534456.72,519782245.69,1251572212.08,161658708.33,503733050.9
ac2016,3827877107.27,4442141070.9,180307453.55,284471691.5,373987378.85,2613215242.89,5694332672.56,4829741174.53,313929472.23,5432073338.26,326354971.81,601658046.39,1307950533.82,134384988.62,703563299.63
al2008,6955421589,3528416347,164486045.32000002,333730558.99,467817600,1945466761,4742253203.41,3615061289.700001,369107410.85,4319129682.590001,204044912,362359310.8600001,1837031401.76,581020848,543575623
al2009,6845522218.35,3597964978.03,134734370.28,513668553.47,92873578.18,2181617749.29,4882240265.36,3965984712.64,558774278.01,5050139539.87,279334347.16,415757409.79,1975458613.19,460716374.87,824659223.5
al2010,7525491922.96,4205565036.63,173215353.09,400827375.91,375066021.77,2038274389.05,5583817979.78,4408229588.320001,847140035.2,5677216844.51,133194088.74,450196281.83000004,2283629108.4099994,406668877.72,1126458722.01
al2011,7830583038.44,4801098985,184515297.27,498591655.28,470488731.86,2305026007.42,6309604687.530002,4727877410.55,557594386.63,5792812514.02,438688901.07,282761972.58,2624164983.1900005,327115333.18,1012980687.81
al2012,8178422543.19,5051891183.67,263638829.24,503606944.97,338749672.58,2502846112.02,6658181503.900001,5289462306.280001,746087159.7099999,6547016410.960001,448398477.32,292345034.46,2833709217.5399995,497241451.63,1005195063.51
al2013,9035401985.72,5465256409.34,277288342.96,413965506.71,338749672.58,2703871231.81,7227856883.69,5754320114.07,837334246.32,7092907991.05,12374814.02,247810865.63,3203360394.32,419254063.03,1387466845.1
al2014,9703158277.34,5969712767.26,246133464.97,438332381.96,-278940261.91,3095552617.73,7873960755.59,6433807635.18,1268867351.06,8154687440.53,17903865.41,440077333.6,3466657848.27,558982320.51,959825152.52
al2015,11252027857.87,6328523887.74,257574120.62,567228373.23,733320008.79,3437463460.44,8414642815.01,6903171338.08,519189062.95,8028587777.46,309069554.97,700958961.83,3752716368.24,864134139.12,1345359387.22
al2016,9223989752.57,7645675622.78,136739753.51,295992817.29,1127084183.19,4243626183.13,10358251944.87,9135466125,586331659.66,10022201702.83,1765473678.17,1667643830.42,4425734384.73,473341394.57,2001858543.01
am2008,2225427303.86,6395995269.73,107572169.06,144992614.81,158393029.05,2484405618.17,8567719425.839999,6361811155.940001,1265917703.75,7784046437.05,571110921.31,297472487.34000003,4952960505.98,261678492.73,1451209844.47
am2009,2778228818.91,6161490863.11,119389294.04,155684091.46,-931786346.84,2865985782.5400004,8302362353.56,6785162971.65,1703007437.4,8686970064.25,424650534.74,333447802.62,4642084686.99,324639319.59,1349461399.02
am2010,3188516693.33,7407732260.79,154811368.18,162569638.57,-322386639.140001,3130069688.5699997,10066126581.660002,7778802887.27,1696249385.7499998,9750686645.77,484972221.59000003,366303535.49,5961007797.27,155274248.16,1073910848.33
am2011,3302189902.21,8515351762.08,186640034.3,248860733.87,96191483.76,4023162526.21,11413660498.11,8752721952.52,1532369050,10616815145.76,472324786.05,579986484.62,6405568967.5,151260529.48,1448617145.83
