id,pop
ac2008,680073
ac2009,691132
ac2010,732793
ac2011,746386
ac2012,758786
ac2013,776463
ac2014,790101
ac2015,803513
ac2016,816687
al2008,3127557
al2009,3156108
al2010,3120922
al2011,3143384
al2012,3165472
al2013,3300935
al2014,3321730
al2015,3340932
al2016,3358963
am2008,3341096
am2009,3393369
am2010,3480937
am2011,3538387
am2012,3590985
am2013,3807921
am2014,3873743
am2015,3938336
am2016,4001667
ap2008,613164
ap2009,626609
ap2010,668689
ap2011,684309
ap2012,698602
ap2013,734996
ap2014,750912
ap2015,766679
ap2016,782295
ba2008,14502575
ba2009,14637364
ba2010,14021432
ba2011,14097534
ba2012,14175341
ba2013,15044137
ba2014,15126371
ba2015,15203934
ba2016,15276566
ce2008,8450527
ce2009,8547809
ce2010,8448055
ce2011,8530155
ce2012,8606005
ce2013,8778576
ce2014,8842791
ce2015,8904459
ce2016,8963663
df2008,2557158
df2009,2606885
df2010,2562963
df2011,2609998
df2012,2648532
df2013,2789761
df2014,2852372
df2015,2914830
df2016,2977216
es2008,3453648
es2009,3487199
es2010,3512672
es2011,3547055
es2012,3578067
es2013,3839366
es2014,3885049
es2015,3929911
es2016,3973697
go2008,5844996
go2009,5926300
go2010,6004045
go2011,6080716
go2012,6154996
go2013,6434048
go2014,6523222
go2015,6610681
go2016,6695855
ma2008,6305539
ma2009,6367138
ma2010,6569683
ma2011,6645761
ma2012,6714314
ma2013,6794301
ma2014,6850884
ma2015,6904241
ma2016,6954036
mg2008,19850072
mg2009,20033665
mg2010,19595309
mg2011,19728701
mg2012,19855332
mg2013,20593356
mg2014,20734097
mg2015,20869101
mg2016,20997560
ms2008,2336058
ms2009,2360498
ms2010,2449341
ms2011,2477542
ms2012,2505088
ms2013,2587269
ms2014,2619657
ms2015,2651235
ms2016,2682386
mt2008,2957732
mt2009,3001692
mt2010,3033991
mt2011,3075936
mt2012,3115336
mt2013,3182113
mt2014,3224357
mt2015,3265486
mt2016,3305531
pa2008,7321493
pa2009,7431020
pa2010,7603239
pa2011,7688593
pa2012,7792561
pa2013,7969654
pa2014,8073924
pa2015,8175113
pa2016,8272724
pb2008,3742606
pb2009,3769977
pb2010,3766834
pb2011,3791315
pb2012,3815171
pb2013,3914421
pb2014,3943885
pb2015,3972202
pb2016,3999415
pe2008,8734194
pe2009,8810256
pe2010,8796032
pe2011,8864906
pe2012,8931028
pe2013,9208550
pe2014,9277727
pe2015,9345173
pe2016,9410336
pi2008,3119697
pi2009,3145325
pi2010,3119015
pi2011,3140328
pi2012,3160748
pi2013,3184166
pi2014,3194718
pi2015,3204028
pi2016,3212180
pr2008,10590169
pr2009,10686247
pr2010,10439601
pr2011,10512349
pr2012,10577755
pr2013,10997465
pr2014,11081692
pr2015,11163018
pr2016,11242720
rj2008,15872362
rj2009,16010429
rj2010,15993583
rj2011,16112678
rj2012,16231365
rj2013,16369179
rj2014,16461173
rj2015,16550024
rj2016,16635996
rn2008,3106430
rn2009,3137541
rn2010,3168133
rn2011,3198657
rn2012,3228198
rn2013,3373959
rn2014,3408510
rn2015,3442175
rn2016,3474998
ro2008,1493566
ro2009,1503928
ro2010,1560501
ro2011,1576455
ro2012,1590011
ro2013,1728214
ro2014,1748531
ro2015,1768204
ro2016,1787279
rr2008,412783
rr2009,421499
rr2010,451227
rr2011,460165
rr2012,469524
rr2013,488072
rr2014,496936
rr2015,505665
rr2016,514229
rs2008,10855214
rs2009,10914128
rs2010,10695532
rs2011,10733030
rs2012,10770603
rs2013,11164043
rs2014,11207274
rs2015,11247972
rs2016,11286500
sc2008,6052587
sc2009,6118743
sc2010,6249682
sc2011,6317054
sc2012,6383286
sc2013,6634254
sc2014,6727148
sc2015,6819190
sc2016,6910553
se2008,1999374
se2009,2019679
se2010,2068031
se2011,2089819
se2012,2110867
se2013,2195662
se2014,2219574
se2015,2242937
se2016,2265779
sp2008,41011635
sp2009,41384039
sp2010,41252160
sp2011,41587182
sp2012,41901219
sp2013,43663669
sp2014,44035304
sp2015,44396484
sp2016,44749699
to2008,1280509
to2009,1292051
to2010,1383453
to2011,1400892
to2012,1417694
to2013,1478164
to2014,1496880
to2015,1515126
to2016,1532902
