"id","state","year","value"
"ac2008","ac",2008,1014197594.69
"al2008","al",2008,1271761536
"am2008","am",2008,2265919389.83
"ap2008","ap",2008,951010875
"ba2008","ba",2008,5666337094.84
"ce2008","ce",2008,2660062145.03
"df2008","df",2008,4113603349.55
"es2008","es",2008,2161816211.06
"go2008","go",2008,2923994768.71
"ma2008","ma",2008,1671739765.36
"mg2008","mg",2008,8710780536.22
"ms2008","ms",2008,1736484643.67
"mt2008","mt",2008,2265445821.05
"pa2008","pa",2008,2728703997.45
"pb2008","pb",2008,1761431307.53
"pe2008","pe",2008,3367772291.5
"pi2008","pi",2008,1307284150.94
"pr2008","pr",2008,4454572758.05
"rj2008","rj",2008,7531390000
"rn2008","rn",2008,1823362716.39
"ro2008","ro",2008,1111759444.58
"rr2008","rr",2008,541712731.18
"rs2008","rs",2008,3425157756.52
"sc2008","sc",2008,3026281953.17
"se2008","se",2008,1537665048.05
"sp2008","sp",2008,25249225429.9
"to2008","to",2008,1243258657.1
"ac2009","ac",2009,1126437205.25
"al2009","al",2009,1452279759.78
"am2009","am",2009,2625782113.66
"ap2009","ap",2009,932543566
"ba2009","ba",2009,6321083408.04
"ce2009","ce",2009,3071164891.23
"df2009","df",2009,4506031384.36
"es2009","es",2009,2534502319.56
"go2009","go",2009,3092973192.25
"ma2009","ma",2009,1991910151.9
"mg2009","mg",2009,8752540564.82
"ms2009","ms",2009,1971298208.81
"mt2009","mt",2009,2570458903
"pa2009","pa",2009,3062864006.05
"pb2009","pb",2009,2112493521.62
"pe2009","pe",2009,3911732429.77
"pi2009","pi",2009,1480316948.82
"pr2009","pr",2009,5030305996.7
"rj2009","rj",2009,7295866000
"rn2009","rn",2009,2007860098.55
"ro2009","ro",2009,1322152073.03
"rr2009","rr",2009,585177036.94
"rs2009","rs",2009,3726101536.53
"sc2009","sc",2009,3243783044.78
"se2009","se",2009,1843969593.03
"sp2009","sp",2009,27037320200.48
"to2009","to",2009,1504623929.87
"ac2010","ac",2010,1208596709.17
"al2010","al",2010,1774852038.78
"am2010","am",2010,2861984839.76
"ap2010","ap",2010,1087222478
"ba2010","ba",2010,6784104950.18
"ce2010","ce",2010,3618474752.08
"df2010","df",2010,5179071132.24
"es2010","es",2010,2983781845.63
"go2010","go",2010,3707631670.61
"ma2010","ma",2010,2490084441.87
"mg2010","mg",2010,10005503952.08
"ms2010","ms",2010,2283518370.5
"mt2010","mt",2010,2976630399.05
"pa2010","pa",2010,3488777029.89
"pb2010","pb",2010,2520877042.94
"pe2010","pe",2010,4749358006.6
"pi2010","pi",2010,1690079624.23
"pr2010","pr",2010,5867828988.13
"rj2010","rj",2010,8603869615
"rn2010","rn",2010,2304407562.18
"ro2010","ro",2010,1518367180.37
"rr2010","rr",2010,665178684.17
"rs2010","rs",2010,4192327605.32
"sc2010","sc",2010,3782088351.02
"se2010","se",2010,2187453552.05
"sp2010","sp",2010,30289438588.71
"to2010","to",2010,1863875113.18
"ac2011","ac",2011,1319828417.29
"al2011","al",2011,2258459475.05
"am2011","am",2011,2801543042.76
"ap2011","ap",2011,1247180816
"ba2011","ba",2011,7478252435.55
"ce2011","ce",2011,3866422022.14
"df2011","df",2011,6253990035.61
"es2011","es",2011,3524600121.18
"go2011","go",2011,4027384778.02
"ma2011","ma",2011,2505214805.59
