"id","state","year","value"
"ac2008","ac",2008,0
"al2008","al",2008,20296325
"am2008","am",2008,218486228.34
"ap2008","ap",2008,0
"ba2008","ba",2008,32660156.96
"ce2008","ce",2008,88718949.71
"df2008","df",2008,103682551.2
"es2008","es",2008,121252739.44
"go2008","go",2008,57419710.8
"ma2008","ma",2008,2789445.29
"mg2008","mg",2008,377571668.48
"ms2008","ms",2008,0
"mt2008","mt",2008,30934290.71
"pa2008","pa",2008,52188522.45
"pb2008","pb",2008,139256.19
"pe2008","pe",2008,0
"pi2008","pi",2008,0
"pr2008","pr",2008,131787277.39
"rj2008","rj",2008,148091000
"rn2008","rn",2008,9784112.97
"ro2008","ro",2008,0
"rr2008","rr",2008,0
"rs2008","rs",2008,0
"sc2008","sc",2008,11585419.35
"se2008","se",2008,1122297.58
"sp2008","sp",2008,0
"to2008","to",2008,0
"ac2009","ac",2009,0
"al2009","al",2009,20672739.76
"am2009","am",2009,240203668.88
"ap2009","ap",2009,0
"ba2009","ba",2009,38153539.05
"ce2009","ce",2009,84231505.03
"df2009","df",2009,107380652.82
"es2009","es",2009,131025489.57
"go2009","go",2009,93566950.15
"ma2009","ma",2009,3381127.54
"mg2009","mg",2009,427384556.1
"ms2009","ms",2009,0
"mt2009","mt",2009,23301026.48
"pa2009","pa",2009,53163906.31
"pb2009","pb",2009,217118.42
"pe2009","pe",2009,0
"pi2009","pi",2009,213103.84
"pr2009","pr",2009,121484771.38
"rj2009","rj",2009,562578000
"rn2009","rn",2009,7490000
"ro2009","ro",2009,0
"rr2009","rr",2009,0
"rs2009","rs",2009,0
"sc2009","sc",2009,20125865.93
"se2009","se",2009,1122750.7
"sp2009","sp",2009,0
"to2009","to",2009,0
"ac2010","ac",2010,1519992
"al2010","al",2010,33698591.67
"am2010","am",2010,268084848.81
"ap2010","ap",2010,0
"ba2010","ba",2010,33066284.74
"ce2010","ce",2010,105072912.7
"df2010","df",2010,96626645.26
"es2010","es",2010,148404706.88
"go2010","go",2010,88355366.46
"ma2010","ma",2010,4085061.91
"mg2010","mg",2010,513442982.75
"ms2010","ms",2010,0
"mt2010","mt",2010,19262453.57
"pa2010","pa",2010,47885072.12
"pb2010","pb",2010,282143.37
"pe2010","pe",2010,0
"pi2010","pi",2010,4975597.2
"pr2010","pr",2010,108230211.26
"rj2010","rj",2010,642852654
"rn2010","rn",2010,6535702.7
"ro2010","ro",2010,0
"rr2010","rr",2010,0
"rs2010","rs",2010,0
"sc2010","sc",2010,20948277.12
"se2010","se",2010,1424747.88
"sp2010","sp",2010,0
"to2010","to",2010,0
"ac2011","ac",2011,0
"al2011","al",2011,46564958.61
"am2011","am",2011,319956174.24
"ap2011","ap",2011,0
"ba2011","ba",2011,39364285.53
"ce2011","ce",2011,130993590
"df2011","df",2011,5675121.63
"es2011","es",2011,175475325.16
"go2011","go",2011,128645440.48
"ma2011","ma",2011,5093224.84
"mg2011","mg",2011,581224911.49
"ms2011","ms",2011,0
"mt2011","mt",2011,17460286.07
"pa2011","pa",2011,56911527.16
"pb2011","pb",2011,301499.76
"pe2011","pe",2011,0
"pi2011","pi",2011,6008140.56
"pr2011","pr",2011,39331320.69
"rj2011","rj",2011,701007255
"rn2011","rn",2011,773668.04
"ro2011","ro",2011,0
"rr2011","rr",2011,26709216
"rs2011","rs",2011,0
"sc2011","sc",2011,29666176.12
"se2011","se",2011,1266646.8
"sp2011","sp",2011,0
"to2011","to",2011,0
"ac2012","ac",2012,0
"al2012","al",2012,40975681.97
"am2012","am",2012,347433631.21
"ap2012","ap",2012,0
"ba2012","ba",2012,45784431.86
"ce2012","ce",2012,179303640.12
"df2012","df",2012,1251635.79
"es2012","es",2012,191668375.48
"go2012","go",2012,89620481.88
"ma2012","ma",2012,61512354.39
"mg2012","mg",2012,611888259.02
"ms2012","ms",2012,0
"mt2012","mt",2012,13274692.8
"pa2012","pa",2012,82812858.98
"pb2012","pb",2012,347826.17
"pe2012","pe",2012,0
"pi2012","pi",2012,27976534.98
"pr2012","pr",2012,26492157.09
"rj2012","rj",2012,812298223
"rn2012","rn",2012,0
"ro2012","ro",2012,0
"rr2012","rr",2012,78918955
"rs2012","rs",2012,152999958
"sc2012","sc",2012,28869661.64
"se2012","se",2012,363502.32
"sp2012","sp",2012,0
"to2012","to",2012,0
"ac2013","ac",2013,0
"al2013","al",2013,63689095.22
"am2013","am",2013,403879752.95
"ap2013","ap",2013,0
"ba2013","ba",2013,56817751.25
"ce2013","ce",2013,258839765.72
"df2013","df",2013,6762721.08
"es2013","es",2013,205259136.95
"go2013","go",2013,50273848.11
"ma2013","ma",2013,96804893.25
"mg2013","mg",2013,753935580.27
"ms2013","ms",2013,0
"mt2013","mt",2013,12609752.17
"pa2013","pa",2013,10885664.76
"pb2013","pb",2013,0
"pe2013","pe",2013,0
"pi2013","pi",2013,44302476.62
"pr2013","pr",2013,27553308.77
"rj2013","rj",2013,563633387
"rn2013","rn",2013,0
"ro2013","ro",2013,4781508.92
"rr2013","rr",2013,77602280.91
"rs2013","rs",2013,155710852.72
"sc2013","sc",2013,26339295.59
"se2013","se",2013,0
"sp2013","sp",2013,0
"to2013","to",2013,0
"ac2014","ac",2014,0
"al2014","al",2014,67859673.36
"am2014","am",2014,452701401.86
"ap2014","ap",2014,0
"ba2014","ba",2014,49549819.14
"ce2014","ce",2014,371082311.32
"df2014","df",2014,11144286.43
"es2014","es",2014,206336583.47
"go2014","go",2014,113108710.62
"ma2014","ma",2014,90812725.74
"mg2014","mg",2014,883496507.38
"ms2014","ms",2014,0
"mt2014","mt",2014,0
"pa2014","pa",2014,2299836.04
"pb2014","pb",2014,0
"pe2014","pe",2014,0
"pi2014","pi",2014,31459394.75
"pr2014","pr",2014,28179314.45
"rj2014","rj",2014,396727016
"rn2014","rn",2014,0
"ro2014","ro",2014,25330213
"rr2014","rr",2014,58420415.65
"rs2014","rs",2014,197499956.92
"sc2014","sc",2014,24921053.7
"se2014","se",2014,1115466.18
"sp2014","sp",2014,0
"to2014","to",2014,0
"ac2015","ac",2015,0
"al2015","al",2015,63953641.12
"am2015","am",2015,366469830.57
"ap2015","ap",2015,0
"ba2015","ba",2015,101772391.22
"ce2015","ce",2015,399290435.35
"df2015","df",2015,5017587.04
"es2015","es",2015,243723109.26
"go2015","go",2015,110042502.18
"ma2015","ma",2015,126466100.65
"mg2015","mg",2015,946681891.6
"ms2015","ms",2015,0
"mt2015","mt",2015,0
"pa2015","pa",2015,2157756.22
"pb2015","pb",2015,0
"pe2015","pe",2015,0
"pi2015","pi",2015,45552248.98
"pr2015","pr",2015,30255604.01
"rj2015","rj",2015,312155356
"rn2015","rn",2015,0
"ro2015","ro",2015,33250137.87
"rr2015","rr",2015,85920527.4
"rs2015","rs",2015,140751314.96
"sc2015","sc",2015,22988811.82
"se2015","se",2015,1781136.42
"sp2015","sp",2015,0
"to2015","to",2015,0
"ac2016","ac",2016,0
"al2016","al",2016,77411499.97
"am2016","am",2016,344786568.56
"ap2016","ap",2016,0
"ba2016","ba",2016,41571545.7
"ce2016","ce",2016,494094969.13
"df2016","df",2016,51183727.11
"es2016","es",2016,168431664.31
"go2016","go",2016,105887787.16
"ma2016","ma",2016,153674087.56
"mg2016","mg",2016,974397983.78
"ms2016","ms",2016,0
"mt2016","mt",2016,0
"pa2016","pa",2016,1486000
"pb2016","pb",2016,0
"pe2016","pe",2016,0
"pi2016","pi",2016,31866221.59
