id,state,year,value
ac2008,ac,2008,632092460.32
al2008,al,2008,6458700352
am2008,am,2008,819600112.37
ap2008,ap,2008,128167937
ba2008,ba,2008,10240885173.93
ce2008,ce,2008,1857038165
df2008,df,2008,1543195564.25
es2008,es,2008,317157746.26
go2008,go,2008,12578128197.36
ma2008,ma,2008,4375914272.58
mg2008,mg,2008,50152304959.44
ms2008,ms,2008,5540760283.67
mt2008,mt,2008,4041121129.01
pa2008,pa,2008,1578090949.86
pb2008,pb,2008,1969505719.82
pe2008,pe,2008,4249423721.83
pi2008,pi,2008,1820756399.28
pr2008,pr,2008,14415527008.76
rj2008,rj,2008,49564791e3
rn2008,rn,2008,793724917.43
ro2008,ro,2008,1606723888.71
rr2008,rr,2008,278918678.21
rs2008,rs,2008,39058534142.22
sc2008,sc,2008,8065814035.65
se2008,se,2008,634951216.26
sp2008,sp,2008,139005784057.17
to2008,to,2008,340849941.36
ac2009,ac,2009,834887284.68
al2009,al,2009,6118957277.26
am2009,am,2009,1459103218.07
ap2009,ap,2009,246307083
ba2009,ba,2009,9234646960.41
ce2009,ce,2009,1446623253
df2009,df,2009,1777577680.2
es2009,es,2009,174474000.24
go2009,go,2009,11337165787.88
ma2009,ma,2009,4103815418.84
mg2009,mg,2009,50865825283.83
ms2009,ms,2009,5563330090.66
mt2009,mt,2009,3236303027.53
pa2009,pa,2009,1557160385.98
pb2009,pb,2009,1483262429.82
pe2009,pe,2009,4563282873.13
pi2009,pi,2009,1935438979.17
pr2009,pr,2009,9993124384.56
rj2009,rj,2009,46760358e3
rn2009,rn,2009,841601384.36
ro2009,ro,2009,1764874466.07
rr2009,rr,2009,123040163.32
rs2009,rs,2009,38170676773.57
sc2009,sc,2009,6326554588.71
se2009,se,2009,793842961.37
sp2009,sp,2009,138524559140.03
to2009,to,2009,374954520.06
ac2010,ac,2010,1374795798.82
al2010,al,2010,6436441289.83
am2010,am,2010,2006957803.85
ap2010,ap,2010,449436365
ba2010,ba,2010,9057006869.73
ce2010,ce,2010,2680112222
df2010,df,2010,2081760992.01
es2010,es,2010,1016818944.32
go2010,go,2010,13680116479.51
ma2010,ma,2010,4398110396.17
mg2010,mg,2010,59207317835.96
ms2010,ms,2010,6323737472.9
mt2010,mt,2010,3649164775.15
pa2010,pa,2010,2339070783.56
pb2010,pb,2010,1739079220.09
pe2010,pe,2010,4798706112.65
pi2010,pi,2010,1961578804.73
pr2010,pr,2010,14231510487.28
rj2010,rj,2010,53387831040
rn2010,rn,2010,1143799486.05
ro2010,ro,2010,2060809349.09
rr2010,rr,2010,74813451.57
rs2010,rs,2010,43437026558.26
sc2010,sc,2010,6014497931.09
se2010,se,2010,1218128822.94
sp2010,sp,2010,163055461670.34
to2010,to,2010,634992752.95
ac2011,ac,2011,1399128750.27
al2011,al,2011,6745172987.42
am2011,am,2011,1648843713.9
ap2011,ap,2011,297749874
ba2011,ba,2011,8917888293.47
ce2011,ce,2011,3221715420
df2011,df,2011,2046859127.53
es2011,es,2011,1169928024.22
go2011,go,2011,13679135829.56
ma2011,ma,2011,3833540380.86
mg2011,mg,2011,65336270893.25
ms2011,ms,2011,6756757843.3
mt2011,mt,2011,2977033609.31
pa2011,pa,2011,1791138576.99
pb2011,pb,2011,1470605289.41
pe2011,pe,2011,5579515352.84
pi2011,pi,2011,1742855005.03
pr2011,pr,2011,13655555820.71
rj2011,rj,2011,56135537493
rn2011,rn,2011,1055404658.82
ro2011,ro,2011,2104406391.2
rr2011,rr,2011,-119676636.09
rs2011,rs,2011,46874222770.28
sc2011,sc,2011,5084537692.12
se2011,se,2011,1823797253.22
sp2011,sp,2011,167079895623.32
to2011,to,2011,939302775.78
ac2012,ac,2012,1824964828.16
al2012,al,2012,7246851289.12
am2012,am,2012,1479388262.39
ap2012,ap,2012,595231764
ba2012,ba,2012,10617349965.15
ce2012,ce,2012,3360363105
df2012,df,2012,1432931073.16
es2012,es,2012,977694456.66
go2012,go,2012,14378868945.24
ma2012,ma,2012,3659266813.79
mg2012,mg,2012,68175671591.57
ms2012,ms,2012,6933907697.7
mt2012,mt,2012,2429064538.75
pa2012,pa,2012,1182873045.01
pb2012,pb,2012,1651101984.3
pe2012,pe,2012,7143209333.67
pi2012,pi,2012,1355779587.6
pr2012,pr,2012,12000238326.72
rj2012,rj,2012,65635886281
rn2012,rn,2012,990696864.93
ro2012,ro,2012,2074233101.07
rr2012,rr,2012,480186325.21
rs2012,rs,2012,51718917260.23
sc2012,sc,2012,3988582659.77
se2012,se,2012,2156721609.86
sp2012,sp,2012,188332680070.14
to2012,to,2012,1028809150.82
ac2013,ac,2013,2430512079.85
al2013,al,2013,7669148173.68
am2013,am,2013,2270923625.32
ap2013,ap,2013,927592530
ba2013,ba,2013,10677036431.53
ce2013,ce,2013,3940902395
df2013,df,2013,2543966924.43
es2013,es,2013,1722187830.08
go2013,go,2013,14104041795.23
ma2013,ma,2013,3494341301.32
mg2013,mg,2013,77167075874.32
ms2013,ms,2013,7330779524.24
mt2013,mt,2013,3030683670.52
pa2013,pa,2013,1222305994.1
pb2013,pb,2013,1888629676.75
pe2013,pe,2013,9061039164.41
pi2013,pi,2013,1855543947.01
pr2013,pr,2013,14131272637.17
rj2013,rj,2013,71792207210
rn2013,rn,2013,1073262524.45
ro2013,ro,2013,3195543869.72
rr2013,rr,2013,901314634.96
rs2013,rs,2013,55040941433.82
sc2013,sc,2013,5148020539.24
se2013,se,2013,2384201526.71
sp2013,sp,2013,194680139478.83
to2013,to,2013,1365010112.29
ac2014,ac,2014,3048983671.92
al2014,al,2014,8884304630.26
am2014,am,2014,3396340568.4
ap2014,ap,2014,1656630567.15
ba2014,ba,2014,10331577909.66
ce2014,ce,2014,6084983357
df2014,df,2014,3618924036.72
es2014,es,2014,2605983389.72
go2014,go,2014,14951661131.08
ma2014,ma,2014,4729878858.98
mg2014,mg,2014,83302541358.85
ms2014,ms,2014,7898296864.02
mt2014,mt,2014,4353197607
pa2014,pa,2014,1348179300.98
pb2014,pb,2014,2736794e3
pe2014,pe,2014,10183136491.69
pi2014,pi,2014,2278498869.89
pr2014,pr,2014,15164751897.45
rj2014,rj,2014,80947100903
rn2014,rn,2014,1285070232.96
ro2014,ro,2014,3211155798.3
rr2014,rr,2014,513456938.19
rs2014,rs,2014,59939701992.16
sc2014,sc,2014,5874924428.59
se2014,se,2014,2433515198.88
sp2014,sp,2014,212267360176.92
to2014,to,2014,1983736520.58
ac2015,ac,2015,3790574385.78
al2015,al,2015,10292341962.45
am2015,am,2015,5259411122.32
ap2015,ap,2015,1063794174.98
ba2015,ba,2015,16171209225.21
ce2015,ce,2015,9369812567
df2015,df,2015,4657949946.56
es2015,es,2015,3032016474.54
go2015,go,2015,17119934768.9
ma2015,ma,2015,6443795620.52
mg2015,mg,2015,101006488767.27
ms2015,ms,2015,7328284256.7
mt2015,mt,2015,5463303897.15
pa2015,pa,2015,1863886943.18
pb2015,pb,2015,3297120097.39
pe2015,pe,2015,11755599090
pi2015,pi,2015,3017274919.38
pr2015,pr,2015,14715817743.56
rj2015,rj,2015,100389123951.06
rn2015,rn,2015,722653819.71
ro2015,ro,2015,3507132044.2
rr2015,rr,2015,332350189.28
rs2015,rs,2015,68486044087.21
sc2015,sc,2015,7892836427.16
se2015,se,2015,3446719086.98
sp2015,sp,2015,248542578551.89
to2015,to,2015,2523586132.8
ac2016,ac,2016,3152381532.2
al2016,al,2016,7634941591.3
am2016,am,2016,4620464964.76
ap2016,ap,2016,699597260.43
ba2016,ba,2016,16015640903.8
ce2016,ce,2016,7775059293.02
df2016,df,2016,5942939878.2
es2016,es,2016,2501135684.95
go2016,go,2016,18306404513.89
ma2016,ma,2016,5454289371.28
mg2016,mg,2016,107548948588.71
ms2016,ms,2016,7215366672.02
mt2016,mt,2016,4866362667.23
pa2016,pa,2016,1506306411.04
pb2016,pb,2016,2675553492.37
pe2016,pe,2016,12058513694.62
pi2016,pi,2016,2770058025.17
pr2016,pr,2016,11871725938.38
rj2016,rj,2016,107257358576
rn2016,rn,2016,1068411173.34
ro2016,ro,2016,3254708567.13
rr2016,rr,2016,1175577497.46
rs2016,rs,2016,73796963283.16
sc2016,sc,2016,7608489074.82
se2016,se,2016,3110141465.4
sp2016,sp,2016,259549747303.17
to2016,to,2016,2410379476.46
