id,state,year,value
ac2008,ac,2008,390208261.58
al2008,al,2008,558311333
am2008,am,2008,1622000597.71
ap2008,ap,2008,156282787
ba2008,ba,2008,1751274432.22
ce2008,ce,2008,2251383883
df2008,df,2008,1682396852.22
es2008,es,2008,2739821956.14
go2008,go,2008,412865674.53
ma2008,ma,2008,1354394233.16
mg2008,mg,2008,4939247302.03
ms2008,ms,2008,1384992219.78
mt2008,mt,2008,875060760.11
pa2008,pa,2008,942204297.35
pb2008,pb,2008,524844937.35
pe2008,pe,2008,1424327699.91
pi2008,pi,2008,454226989.02
pr2008,pr,2008,2763728743
rj2008,rj,2008,5576685e3
rn2008,rn,2008,615671872.79
ro2008,ro,2008,745301400.35
rr2008,rr,2008,285601160.24
rs2008,rs,2008,805473626.64
sc2008,sc,2008,3099091103.56
se2008,se,2008,766547672.72
sp2008,sp,2008,19114436661.79
to2008,to,2008,443007463.96
ac2009,ac,2009,468985992.04
al2009,al,2009,866384912.15
am2009,am,2009,1349206272.67
ap2009,ap,2009,254196598
ba2009,ba,2009,1304051410.27
ce2009,ce,2009,2496415270
df2009,df,2009,1752056298.48
es2009,es,2009,2792755883.78
go2009,go,2009,339826635.57
ma2009,ma,2009,1315128721.87
mg2009,mg,2009,3566390306.98
ms2009,ms,2009,1223030488.34
mt2009,mt,2009,859581516.34
pa2009,pa,2009,999690221.61
pb2009,pb,2009,883350848.82
pe2009,pe,2009,1460713115.83
pi2009,pi,2009,561466755.63
pr2009,pr,2009,2667377136.39
rj2009,rj,2009,5779178e3
rn2009,rn,2009,571831813.01
ro2009,ro,2009,555072581.12
rr2009,rr,2009,308792143.24
rs2009,rs,2009,685040675.81
sc2009,sc,2009,3133891107.6
se2009,se,2009,574806438.21
sp2009,sp,2009,20947775265.12
to2009,to,2009,619891032.49
ac2010,ac,2010,334481016.01
al2010,al,2010,1086606540.67
am2010,am,2010,1306662774.87
ap2010,ap,2010,295874625
ba2010,ba,2010,1666413266.85
ce2010,ce,2010,2094401468
df2010,df,2010,1928470516.04
es2010,es,2010,2182031367.08
go2010,go,2010,267791451.49
ma2010,ma,2010,884230199.39
mg2010,mg,2010,3448699529.51
ms2010,ms,2010,1108516469.35
mt2010,mt,2010,601790490.57
pa2010,pa,2010,779563762.46
pb2010,pb,2010,605265727.21
pe2010,pe,2010,2307253420.83
pi2010,pi,2010,536221389.48
pr2010,pr,2010,2871675371
rj2010,rj,2010,5538709454
rn2010,rn,2010,409661898.71
ro2010,ro,2010,454769626.14
rr2010,rr,2010,335012001.85
rs2010,rs,2010,651517874.31
sc2010,sc,2010,3545072396.48
se2010,se,2010,496771501.53
sp2010,sp,2010,26443520700.33
to2010,to,2010,454646850.03
ac2011,ac,2011,405984254.9
al2011,al,2011,1052042675.55
am2011,am,2011,1760712236.75
ap2011,ap,2011,514634308
ba2011,ba,2011,1607821455.84
ce2011,ce,2011,2617976981
df2011,df,2011,2242497583.27
es2011,es,2011,2293747362.37
go2011,go,2011,702900698.28
ma2011,ma,2011,1238748991.89
mg2011,mg,2011,3671938885.6
ms2011,ms,2011,1171057518.44
mt2011,mt,2011,774717913.82
pa2011,pa,2011,1490279154.6
pb2011,pb,2011,1175471858.24
pe2011,pe,2011,2369765668.91
pi2011,pi,2011,778404743.34
pr2011,pr,2011,3710665006.93
rj2011,rj,2011,6738988446
rn2011,rn,2011,671804954.3
ro2011,ro,2011,676010103.11
rr2011,rr,2011,648173507.97
rs2011,rs,2011,700062322.14
sc2011,sc,2011,4564225836.69
se2011,se,2011,565931349.81
sp2011,sp,2011,32948146886.78
to2011,to,2011,485904535.96
ac2012,ac,2012,751151529.63
al2012,al,2012,1063071751.22
am2012,am,2012,2361621062.72
ap2012,ap,2012,1064570921
ba2012,ba,2012,3389310534.62
ce2012,ce,2012,2618935551
df2012,df,2012,2357824146.63
es2012,es,2012,3179057225.04
go2012,go,2012,981770062.68
ma2012,ma,2012,1135671975.56
mg2012,mg,2012,4712229382.64
ms2012,ms,2012,1189974305.86
mt2012,mt,2012,1285791853.68
pa2012,pa,2012,1850606639.42
pb2012,pb,2012,1169961999.94
pe2012,pe,2012,2968331897.56
pi2012,pi,2012,1443317531.97
pr2012,pr,2012,5351459881.23
rj2012,rj,2012,7836754047
rn2012,rn,2012,686217102.38
ro2012,ro,2012,702291128.66
rr2012,rr,2012,1330459877.37
rs2012,rs,2012,646061953.78
sc2012,sc,2012,4667009647.23
se2012,se,2012,450224211.23
sp2012,sp,2012,31535502233.84
to2012,to,2012,986644800.58
ac2013,ac,2013,676302339.03
al2013,al,2013,1460870941.51
am2013,am,2013,2361727454.32
ap2013,ap,2013,1416000382
ba2013,ba,2013,4191967345.45
ce2013,ce,2013,3241149035
df2013,df,2013,1650448305.49
es2013,es,2013,2916204043.58
go2013,go,2013,860863538.72
ma2013,ma,2013,1278723679.4
mg2013,mg,2013,5988127557.27
ms2013,ms,2013,1403860341.01
mt2013,mt,2013,1830079714.07
pa2013,pa,2013,1845546258.82
pb2013,pb,2013,1159699970.48
pe2013,pe,2013,3205581444.65
pi2013,pi,2013,1334183771.77
pr2013,pr,2013,4232998379.92
rj2013,rj,2013,9105776071
rn2013,rn,2013,809586561.8
ro2013,ro,2013,908791100.26
rr2013,rr,2013,1149393419.71
rs2013,rs,2013,4809487701.12
sc2013,sc,2013,6166974664.77
se2013,se,2013,584502363.1
sp2013,sp,2013,30505231419.5
to2013,to,2013,838939097.1
ac2014,ac,2014,562985964.97
al2014,al,2014,1030468813.66
am2014,am,2014,2279362954.11
ap2014,ap,2014,1027896422.85
ba2014,ba,2014,6555699576.36
ce2014,ce,2014,2549452952
df2014,df,2014,1028601692.33
es2014,es,2014,2247538928.16
go2014,go,2014,1268864344.25
ma2014,ma,2014,816335654.25
mg2014,mg,2014,5807128664.23
ms2014,ms,2014,755342169.39
mt2014,mt,2014,1970046354.51
pa2014,pa,2014,2139528763.27
pb2014,pb,2014,1207711e3
pe2014,pe,2014,2676135608.99
pi2014,pi,2014,889115236.9
pr2014,pr,2014,2982728962.87
rj2014,rj,2014,8359956535
rn2014,rn,2014,688158929.5
ro2014,ro,2014,802181650.07
rr2014,rr,2014,1626680486.69
rs2014,rs,2014,5385771845.14
sc2014,sc,2014,7239307188.25
se2014,se,2014,601326309.93
sp2014,sp,2014,24080900623.86
to2014,to,2014,573543839.63
ac2015,ac,2015,503733050.9
al2015,al,2015,1031505110.29
am2015,am,2015,1655881207.21
ap2015,ap,2015,1741427230.9
ba2015,ba,2015,5061143349.39
ce2015,ce,2015,1971445662
df2015,df,2015,1919671239.4
es2015,es,2015,2507586775.3
go2015,go,2015,1530640828.65
ma2015,ma,2015,1122622774.17
mg2015,mg,2015,3699561433.45
ms2015,ms,2015,1415582358.17
mt2015,mt,2015,1811047827.06
pa2015,pa,2015,1671629090.63
pb2015,pb,2015,1152795767.87
pe2015,pe,2015,4179252932.53
pi2015,pi,2015,1040382523.68
pr2015,pr,2015,4990455302.52
rj2015,rj,2015,7428990432.62
rn2015,rn,2015,1172396583.96
ro2015,ro,2015,978991660.28
rr2015,rr,2015,1668042515.05
rs2015,rs,2015,5123021782.74
sc2015,sc,2015,7999257192
se2015,se,2015,616214441.45
sp2015,sp,2015,22262123100.44
to2015,to,2015,760317340.25
ac2016,ac,2016,703563299.63
al2016,al,2016,1751275147.44
am2016,am,2016,1906119525.52
ap2016,ap,2016,2157055732.2
ba2016,ba,2016,3456745998.46
ce2016,ce,2016,2924592501.33
df2016,df,2016,1605542167.83
es2016,es,2016,2618327485.02
go2016,go,2016,2962177069.9
ma2016,ma,2016,1850165530.85
mg2016,mg,2016,4486289088.86
ms2016,ms,2016,1564515405.92
mt2016,mt,2016,2742487592.86
pa2016,pa,2016,1766637241.88
pb2016,pb,2016,1578687751.59
pe2016,pe,2016,3574711170.01
pi2016,pi,2016,1327407704.32
pr2016,pr,2016,7202243428.31
rj2016,rj,2016,4449262326
rn2016,rn,2016,1496232759.58
ro2016,ro,2016,1349453596.72
rr2016,rr,2016,827643519.14
rs2016,rs,2016,6279966084.01
sc2016,sc,2016,9217913889.64
se2016,se,2016,606744289.95
sp2016,sp,2016,23543477463.74
to2016,to,2016,766734543.03
