id,state,year,value
ac2008,ac,2008,63019160.40218173
am2008,am,2008,113077853.01780692
ap2008,ap,2008,3073585.7272880357
pa2008,pa,2008,176136706.41727182
ro2008,ro,2008,216893496.86253628
rr2008,rr,2008,42089602.72521852
to2008,to,2008,4483299.209729243
al2008,al,2008,951045435.8602872
ba2008,ba,2008,1095848241.7925663
ce2008,ce,2008,214374295.34354106
ma2008,ma,2008,550124389.2019572
pb2008,pb,2008,162429485.7975568
pe2008,pe,2008,490600716.9914165
pi2008,pi,2008,222640986.1264469
rn2008,rn,2008,86657626.44845538
se2008,se,2008,123446965.44057384
df2008,df,2008,136232314.33798504
go2008,go,2008,1371955448.6579454
ms2008,ms,2008,807649015.8384029
mt2008,mt,2008,559410251.277483
es2008,es,2008,164455265.38208327
mg2008,mg,2008,8052181863.842893
rj2008,rj,2008,6991817345.8711195
sp2008,sp,2008,21396713189.90287
pr2008,pr,2008,1354053153.6474593
rs2008,rs,2008,5485459932.141266
sc2008,sc,2008,2544360565.0506673
ac2009,ac,2009,21047471.42315778
am2009,am,2009,30131920.346540205
ap2009,ap,2009,-3709391.0817577573
pa2009,pa,2009,60981038.64164179
ro2009,ro,2009,39674851.444293484
rr2009,rr,2009,37995839.89698398
to2009,to,2009,9126903.688541
al2009,al,2009,283541119.5269114
ba2009,ba,2009,465385806.70598173
ce2009,ce,2009,-34522596.23836666
ma2009,ma,2009,218439833.67578405
pb2009,pb,2009,24338702.736021973
pe2009,pe,2009,106607906.97951202
pi2009,pi,2009,61825815.78707076
rn2009,rn,2009,11140421.945716815
se2009,se,2009,23168511.956800655
df2009,df,2009,17902103.10676558
go2009,go,2009,616740283.8234974
ms2009,ms,2009,207290006.36716807
mt2009,mt,2009,148967755.70178264
es2009,es,2009,-25752085.271278728
mg2009,mg,2009,2481446064.2481785
rj2009,rj,2009,1032610885.7352531
sp2009,sp,2009,4372748475.691019
pr2009,pr,2009,815430903.6096362
rs2009,rs,2009,1559567946.2506397
sc2009,sc,2009,78805297.20468985
ac2010,ac,2010,111780035.88008639
am2010,am,2010,189854686.02788222
ap2010,ap,2010,9672327.841641707
pa2010,pa,2010,220212845.84442264
ro2010,ro,2010,230380833.03289068
rr2010,rr,2010,68420602.96528916
to2010,to,2010,31877098.25618537
al2010,al,2010,1011360922.0259831
ba2010,ba,2010,1043668521.9456749
ce2010,ce,2010,253569446.1045527
ma2010,ma,2010,502756323.9109867
pb2010,pb,2010,147062244.23533547
pe2010,pe,2010,572658277.8266677
pi2010,pi,2010,213061640.85299212
rn2010,rn,2010,95365202.90854448
se2010,se,2010,157415504.66558215
df2010,df,2010,165843506.32716665
go2010,go,2010,1350540671.5263107
ms2010,ms,2010,859706470.3550481
mt2010,mt,2010,515692794.7910073
es2010,es,2010,153757295.3006956
mg2010,mg,2010,9262014213.702965
rj2010,rj,2010,8097888668.147327
sp2010,sp,2010,23084774048.64482
pr2010,pr,2010,602218266.9196067
rs2010,rs,2010,6035788136.191826
sc2010,sc,2010,1607396140.123442
ac2011,ac,2011,121367852.17509255
am2011,am,2011,-78111603.91173592
ap2011,ap,2011,2411057.872330458
pa2011,pa,2011,208788895.95818746
ro2011,ro,2011,156254130.08191374
rr2011,rr,2011,92498677.99243513
to2011,to,2011,33343568.28892382
al2011,al,2011,558243618.9654121
ba2011,ba,2011,750919244.237642
ce2011,ce,2011,221054693.95707515
ma2011,ma,2011,83818042.2682793
pb2011,pb,2011,-35448467.85676176
pe2011,pe,2011,313824263.3608951
pi2011,pi,2011,146289357.98926115
rn2011,rn,2011,71396342.99513415
se2011,se,2011,131676232.53620973
df2011,df,2011,115198660.18175396
go2011,go,2011,1185050509.1862803
ms2011,ms,2011,573780979.8064204
mt2011,mt,2011,400725732.46523726
es2011,es,2011,88821135.94388555
mg2011,mg,2011,7234388481.276663
rj2011,rj,2011,5908876221.83854
sp2011,sp,2011,16025243441.047132
pr2011,pr,2011,1157041932.281084
rs2011,rs,2011,4520917639.747284
sc2011,sc,2011,1145162730.7211206
ac2012,ac,2012,136022861.1951801
am2012,am,2012,430569830.6202273
ap2012,ap,2012,-4460665.806476245
pa2012,pa,2012,201154452.66156808
ro2012,ro,2012,178984892.2385168
rr2012,rr,2012,71348677.50678085
to2012,to,2012,52024334.92782065
al2012,al,2012,1213701853.4283571
ba2012,ba,2012,852623214.6022879
ce2012,ce,2012,299315416.0685736
ma2012,ma,2012,700357482.2832592
pb2012,pb,2012,263450953.35375902
pe2012,pe,2012,680604502.7086258
pi2012,pi,2012,108858254.19210084
rn2012,rn,2012,90371267.26637867
se2012,se,2012,200578857.3957072
df2012,df,2012,135236760.17852876
go2012,go,2012,1362944615.123867
ms2012,ms,2012,901672447.1845621
mt2012,mt,2012,417635844.74321043
es2012,es,2012,106172800.38131721
mg2012,mg,2012,8759753385.54753
rj2012,rj,2012,7555089826.2375965
sp2012,sp,2012,21686099352.452667
pr2012,pr,2012,1468785615.1952746
rs2012,rs,2012,5539973993.264812
sc2012,sc,2012,1306266949.6506236
ac2013,ac,2013,171788903.66407663
am2013,am,2013,193037107.78138593
ap2013,ap,2013,-2089340.2414414454
pa2013,pa,2013,177645864.83117512
ro2013,ro,2013,185364578.11780092
rr2013,rr,2013,102233847.10651435
to2013,to,2013,83895659.47181463
al2013,al,2013,823116155.3441631
ba2013,ba,2013,753180229.0648232
ce2013,ce,2013,327433915.4096341
ma2013,ma,2013,304949431.87574613
pb2013,pb,2013,120942480.41351181
pe2013,pe,2013,636553900.5809672
pi2013,pi,2013,106576243.53029686
rn2013,rn,2013,53874818.941820905
se2013,se,2013,190612944.21598583
df2013,df,2013,146441139.73898372
go2013,go,2013,1359693761.4779737
ms2013,ms,2013,723265814.5538965
mt2013,mt,2013,374269545.42170864
es2013,es,2013,133995913.24305567
mg2013,mg,2013,8762716011.85114
rj2013,rj,2013,7114262676.314358
sp2013,sp,2013,19396076613.95307
pr2013,pr,2013,1261756077.494136
rs2013,rs,2013,5252963705.034433
sc2013,sc,2013,1047691986.2135915
ac2014,ac,2014,205645012.03603452
am2014,am,2014,265459839.59605297
ap2014,ap,2014,52377256.165916055
pa2014,pa,2014,197257485.12978312
ro2014,ro,2014,184979736.41676167
rr2014,rr,2014,96027392.383689
to2014,to,2014,100628984.94467132
al2014,al,2014,793321686.4943435
ba2014,ba,2014,777976373.9541104
ce2014,ce,2014,389090617.42433226
ma2014,ma,2014,266343398.16351378
pb2014,pb,2014,133337420.66907689
pe2014,pe,2014,784085095.188986
pi2014,pi,2014,137937555.2138203
rn2014,rn,2014,43659063.80786559
se2014,se,2014,188270606.5038765
df2014,df,2014,126304513.74932884
go2014,go,2014,1410863055.2034848
ms2014,ms,2014,674936128.3439322
mt2014,mt,2014,384882136.48507696
es2014,es,2014,200022010.14462727
mg2014,mg,2014,8574050005.054378
rj2014,rj,2014,7056286105.942778
sp2014,sp,2014,17765778350.78662
pr2014,pr,2014,1141293740.430646
rs2014,rs,2014,4974828697.632509
sc2014,sc,2014,1004442412.2876652
ac2015,ac,2015,276170548.9483039
am2015,am,2015,407671762.96570754
ap2015,ap,2015,108875165.47408101
pa2015,pa,2015,267361806.37229222
ro2015,ro,2015,297421566.77010506
rr2015,rr,2015,65682333.418437965
to2015,to,2015,149891582.1928388
al2015,al,2015,1331097787.8410606
ba2015,ba,2015,1231698277.5168915
ce2015,ce,2015,618814642.2889755
ma2015,ma,2015,449822750.5562851
pb2015,pb,2015,231133642.11000636
pe2015,pe,2015,1159887728.9286587
pi2015,pi,2015,182450123.90147942
rn2015,rn,2015,56051511.62823234
se2015,se,2015,259982601.60823572
df2015,df,2015,311375322.5366704
go2015,go,2015,1858056924.4947858
ms2015,ms,2015,1064798611.5780067
mt2015,mt,2015,570849990.147453
es2015,es,2015,379381072.53940433
mg2015,mg,2015,14045577967.109903
rj2015,rj,2015,12719425676.001474
sp2015,sp,2015,33025343272.846874
pr2015,pr,2015,2067299823.4669785
rs2015,rs,2015,8123918994.813707
sc2015,sc,2015,1645514847.7983603
ac2016,ac,2016,236919754.45767108
am2016,am,2016,319809791.58716154
ap2016,ap,2016,107165187.37449475
pa2016,pa,2016,196679691.44218656
ro2016,ro,2016,258796878.92729902
rr2016,rr,2016,60748858.941343635
to2016,to,2016,137291989.71502885
al2016,al,2016,1037802807.7971207
ba2016,ba,2016,1032595018.757006
ce2016,ce,2016,570157266.8764445
ma2016,ma,2016,433355754.9703343
pb2016,pb,2016,206285129.88009375
pe2016,pe,2016,881344186.2101125
pi2016,pi,2016,181669131.40637243
rn2016,rn,2016,41265408.00183883
se2016,se,2016,243491557.503383
df2016,df,2016,258016638.44067296
go2016,go,2016,1806926006.145552
ms2016,ms,2016,851116749.0967361
mt2016,mt,2016,454094474.9595557
es2016,es,2016,350810247.73699296
mg2016,mg,2016,12102399214.941015
rj2016,rj,2016,11226387242.190866
sp2016,sp,2016,27694026172.898987
pr2016,pr,2016,1707830221.0927744
rs2016,rs,2016,7137590397.054959
sc2016,sc,2016,1426563298.3768325
