"id","state","year","value"
"ac2008","ac",2008,1152523788.32
"al2008","al",2008,1945466761
"am2008","am",2008,2484405618.17
"ap2008","ap",2008,968498332
"ba2008","ba",2008,7814206896.15
"ce2008","ce",2008,3703421376.21
"df2008","df",2008,5013382662.76
"es2008","es",2008,3312788639.36
"go2008","go",2008,4188141915.74
"ma2008","ma",2008,2335544257.96
"mg2008","mg",2008,14765497091.32
"ms2008","ms",2008,1737565530.17
"mt2008","mt",2008,2912882338.19
"pa2008","pa",2008,3829483238.54
"pb2008","pb",2008,2376017125.21
"pe2008","pe",2008,5918768828.31
"pi2008","pi",2008,1931810931.7
"pr2008","pr",2008,6185265683.97
"rj2008","rj",2008,14086997000
"rn2008","rn",2008,2712765585.88
"ro2008","ro",2008,1222654081.12
"rr2008","rr",2008,542038714.71
"rs2008","rs",2008,6723655816.33
"sc2008","sc",2008,4609470327.93
"se2008","se",2008,2053805372.56
"sp2008","sp",2008,44810248974.34
"to2008","to",2008,1348304009.46
"ac2009","ac",2009,1288407655.27
"al2009","al",2009,2181617749.29
"am2009","am",2009,2865985782.54
"ap2009","ap",2009,975703157
"ba2009","ba",2009,8809431619.36
"ce2009","ce",2009,4202960407.78
"df2009","df",2009,5613864208.84
"es2009","es",2009,3817592952.63
"go2009","go",2009,4545454875.26
"ma2009","ma",2009,2613116509.09
"mg2009","mg",2009,15230443949.44
"ms2009","ms",2009,1972535502.53
"mt2009","mt",2009,3299717496.08
"pa2009","pa",2009,4256947886.52
"pb2009","pb",2009,2857818368.2
"pe2009","pe",2009,6627574344.15
"pi2009","pi",2009,2111808895.56
"pr2009","pr",2009,6909057640.08
"rj2009","rj",2009,14860963000
"rn2009","rn",2009,2978920997.35
"ro2009","ro",2009,1463067708.36
"rr2009","rr",2009,585490344.08
"rs2009","rs",2009,7429418636.29
"sc2009","sc",2009,4998429237.32
"se2009","se",2009,2472782710.37
"sp2009","sp",2009,47991098769.9
"to2009","to",2009,1626642607.47
"ac2010","ac",2010,1399993068.17
"al2010","al",2010,2038274389.05
"am2010","am",2010,3130069688.57
"ap2010","ap",2010,1095882520
"ba2010","ba",2010,9607936700.85
"ce2010","ce",2010,4580566066.89
"df2010","df",2010,6445078860.12
"es2010","es",2010,4468279027.31
"go2010","go",2010,5394761757.77
"ma2010","ma",2010,3204287028.26
"mg2010","mg",2010,18013888843.19
"ms2010","ms",2010,2284718687.97
"mt2010","mt",2010,3853789810.06
"pa2010","pa",2010,4805216642.49
"pb2010","pb",2010,3399736275.68
"pe2010","pe",2010,7688524603
"pi2010","pi",2010,2399849813.84
"pr2010","pr",2010,7903154249.63
"rj2010","rj",2010,17222931775
"rn2010","rn",2010,3352865620
"ro2010","ro",2010,1685408171.72
"rr2010","rr",2010,665520907.08
"rs2010","rs",2010,8254619246.86
"sc2010","sc",2010,5875252948.33
"se2010","se",2010,2989663751.31
"sp2010","sp",2010,52735132762.11
"to2010","to",2010,2015057915.52
"ac2011","ac",2011,1546678926.38
"al2011","al",2011,2305026007.42
"am2011","am",2011,4023162526.21
"ap2011","ap",2011,1268029709
"ba2011","ba",2011,10805276934.43
"ce2011","ce",2011,4949204831.88
"df2011","df",2011,7617608511.85
"es2011","es",2011,5208233882.03
"go2011","go",2011,5916416472.87
"ma2011","ma",2011,3282474089.86
"mg2011","mg",2011,20927023794.99
"ms2011","ms",2011,2518444914.65
"mt2011","mt",2011,4548188402.82
"pa2011","pa",2011,5502198515.03
"pb2011","pb",2011,3446685079.68
"pe2011","pe",2011,8473909039.86
"pi2011","pi",2011,2800902364.41
"pr2011","pr",2011,9290304852.45
"rj2011","rj",2011,19468730497
"rn2011","rn",2011,3628377516.64
"ro2011","ro",2011,1985857100.26
"rr2011","rr",2011,850989721.05
"rs2011","rs",2011,9339821485.95
"sc2011","sc",2011,6885048558.84
"se2011","se",2011,3333144053.71
"sp2011","sp",2011,58957789106.93
"to2011","to",2011,2468251472.34
"ac2012","ac",2012,1788207243.54
"al2012","al",2012,2502846112.02
"am2012","am",2012,4406265878.89
"ap2012","ap",2012,1577035401
"ba2012","ba",2012,12255941909.34
"ce2012","ce",2012,5805297536
"df2012","df",2012,8096107209.29
"es2012","es",2012,5799239493.01
"go2012","go",2012,6843410734.84
"ma2012","ma",2012,3812261975.01
"mg2012","mg",2012,23868435291.3
"ms2012","ms",2012,2702116405.23
"mt2012","mt",2012,6097666399.92
"pa2012","pa",2012,6849501770.64
"pb2012","pb",2012,3812364507.96
"pe2012","pe",2012,9671280449.38
"pi2012","pi",2012,3049423511.77
"pr2012","pr",2012,10336741257.31
"rj2012","rj",2012,22610366708
"rn2012","rn",2012,4150760006.25
"ro2012","ro",2012,2354247648.21
"rr2012","rr",2012,1018553440.34
"rs2012","rs",2012,19632892163.8
"sc2012","sc",2012,7826964346.9
"se2012","se",2012,3593352356.07
"sp2012","sp",2012,67348317834
"to2012","to",2012,2744147593.16
"ac2013","ac",2013,1994409891.35
"al2013","al",2013,2703871231.81
"am2013","am",2013,4881118605.67
"ap2013","ap",2013,1642624330
"ba2013","ba",2013,13704227244.78
"ce2013","ce",2013,6501611414.25
"df2013","df",2013,9003612032.17
"es2013","es",2013,6537237716.54
"go2013","go",2013,7394274314.76
"ma2013","ma",2013,4211915367.63
"mg2013","mg",2013,26735706770.23
"ms2013","ms",2013,4193086331.06
"mt2013","mt",2013,5748229081.51
"pa2013","pa",2013,7476296672.83
"pb2013","pb",2013,4109277646.98
"pe2013","pe",2013,10491874566.15
"pi2013","pi",2013,3499046035.66
"pr2013","pr",2013,16427474640.45
"rj2013","rj",2013,28169385365
"rn2013","rn",2013,4729091268.32
"ro2013","ro",2013,2560415127.46
"rr2013","rr",2013,1158321835.24
"rs2013","rs",2013,22346830077.53
"sc2013","sc",2013,8559621852.5
"se2013","se",2013,3681464982.5
"sp2013","sp",2013,74768896002.2
"to2013","to",2013,3247087036.5
"ac2014","ac",2014,2321649265.32
"al2014","al",2014,3095552617.73
"am2014","am",2014,5486745593.99
"ap2014","ap",2014,1858838214.71
"ba2014","ba",2014,15302634859.13
"ce2014","ce",2014,7217787703.42
"df2014","df",2014,10172148503.44
"es2014","es",2014,6259828757.36
"go2014","go",2014,9392248739.83
"ma2014","ma",2014,4741858105.83
"mg2014","mg",2014,30342771174.98
"ms2014","ms",2014,5685757077.05
"mt2014","mt",2014,6765006769.17
"pa2014","pa",2014,8392574623.67
"pb2014","pb",2014,4327441000
"pe2014","pe",2014,12264051519.48
"pi2014","pi",2014,3879197581.79
"pr2014","pr",2014,18133077957
"rj2014","rj",2014,29173954532
"rn2014","rn",2014,5068621475.97
"ro2014","ro",2014,2707216710.83
"rr2014","rr",2014,1122649832.09
"rs2014","rs",2014,23090848737.44
"sc2014","sc",2014,9857354758.73
"se2014","se",2014,3981264565.69
"sp2014","sp",2014,81982351616
"to2014","to",2014,3725789715.63
"ac2015","ac",2015,2454398031.26
"al2015","al",2015,3437463460.44
"am2015","am",2015,5787299990.92
"ap2015","ap",2015,1758084359.18
"ba2015","ba",2015,16691411749.07
"ce2015","ce",2015,7858795449.44
"df2015","df",2015,14001919771.26
"es2015","es",2015,5909315936.44
"go2015","go",2015,10385333453.35
"ma2015","ma",2015,5546283106.51
"mg2015","mg",2015,36269093411.59
"ms2015","ms",2015,5701574346.51
"mt2015","mt",2015,7838078322.75
"pa2015","pa",2015,9612375517.48
"pb2015","pb",2015,4669678671.69
"pe2015","pe",2015,12153629025.97
"pi2015","pi",2015,4239910886.59
"pr2015","pr",2015,19177770800.08
"rj2015","rj",2015,30284482895
