"id","state","year","value"
"ac2008","ac",2008,1011545978.17
"al2008","al",2008,6955421589
"am2008","am",2008,2225427303.86
"ap2008","ap",2008,247217357
"ba2008","ba",2008,11498748122.71
"ce2008","ce",2008,3809611863
"df2008","df",2008,3230132728.04
"es2008","es",2008,3807147559.53
"go2008","go",2008,13297232033
"ma2008","ma",2008,5659049338.63
"mg2008","mg",2008,60120982504.35
"ms2008","ms",2008,6790177682.23
"mt2008","mt",2008,5388686682.26
"pa2008","pa",2008,2790957521.1
"pb2008","pb",2008,2608736732.14
"pe2008","pe",2008,5043634153.99
"pi2008","pi",2008,2547978970.65
"pr2008","pr",2008,20313201623.75
"rj2008","rj",2008,56474322000
"rn2008","rn",2008,1409396790.22
"ro2008","ro",2008,2297711666.76
"rr2008","rr",2008,616120877.93
"rs2008","rs",2008,40553761391.07
"sc2008","sc",2008,12555328903.14
"se2008","se",2008,1592452805.67
"sp2008","sp",2008,161256770895.68
"to2008","to",2008,733655356.11
"ac2009","ac",2009,1354792638.61
"al2009","al",2009,6845522218.35
"am2009","am",2009,2778228818.91
"ap2009","ap",2009,406722717
"ba2009","ba",2009,10424316130.58
"ce2009","ce",2009,3446816883
"df2009","df",2009,3371574770.69
"es2009","es",2009,3658046941.03
"go2009","go",2009,12617555590
"ma2009","ma",2009,5334673097.61
"mg2009","mg",2009,58967869900.47
"ms2009","ms",2009,6596219042.87
"mt2009","mt",2009,4804391620.86
"pa2009","pa",2009,2751523097.74
"pb2009","pb",2009,2541247287.45
"pe2009","pe",2009,5359671717.72
"pi2009","pi",2009,2700028194.99
"pr2009","pr",2009,20024800439.06
"rj2009","rj",2009,52664842000
"rn2009","rn",2009,1298230745.72
"ro2009","ro",2009,2241945813.96
"rr2009","rr",2009,1141300121.52
"rs2009","rs",2009,39645534973.63
"sc2009","sc",2009,11840523755.91
"se2009","se",2009,1631482651.18
"sp2009","sp",2009,161988784428.14
"to2009","to",2009,811221353.24
"ac2010","ac",2010,1746291245.71
"al2010","al",2010,7525491922.96
"am2010","am",2010,3188516693.33
"ap2010","ap",2010,664348906
"ba2010","ba",2010,10425936246.91
"ce2010","ce",2010,4259958835
"df2010","df",2010,4043685744.54
"es2010","es",2010,3772319559.16
"go2010","go",2010,14766699141
"ma2010","ma",2010,5261187302.23
"mg2010","mg",2010,67812919776.51
"ms2010","ms",2010,7212143380.29
"mt2010","mt",2010,4912549079.78
"pa2010","pa",2010,3310328747.88
"pb2010","pb",2010,2446062856.3
"pe2010","pe",2010,6106127276.97
"pi2010","pi",2010,2793515856.01
"pr2010","pr",2010,18474712222.55
"rj2010","rj",2010,59202175262
"rn2010","rn",2010,1478800063.25
"ro2010","ro",2010,2434101669.65
"rr2010","rr",2010,888618709.82
"rs2010","rs",2010,44412294511.9
"sc2010","sc",2010,13578641600.3
"se2010","se",2010,2083725918.5
"sp2010","sp",2010,187378301762.7
"to2010","to",2010,1085215308.66
"ac2011","ac",2011,1889207621.63
"al2011","al",2011,7830583038.44
"am2011","am",2011,3302189902.21
"ap2011","ap",2011,663760405
"ba2011","ba",2011,10414665145.31
"ce2011","ce",2011,5304460683
"df2011","df",2011,4234211614.68
"es2011","es",2011,3859630026.45
"go2011","go",2011,15724670111.52
"ma2011","ma",2011,5027524895.85
"mg2011","mg",2011,74423059167.44
"ms2011","ms",2011,7689662900.04
"mt2011","mt",2011,4620962852.6
"pa2011","pa",2011,3146025655.54
"pb2011","pb",2011,2721731106.25
"pe2011","pe",2011,6765662488.46
"pi2011","pi",2011,3231898613.84
"pr2011","pr",2011,19008338652.31
"rj2011","rj",2011,64104459434
"rn2011","rn",2011,1564897443.69
"ro2011","ro",2011,2703219739.21
"rr2011","rr",2011,984579659.83
"rs2011","rs",2011,47547620356.54
"sc2011","sc",2011,13362061556.15
"se2011","se",2011,2958472378.36
"sp2011","sp",2011,198004172047.17
"to2011","to",2011,1401977206.88
"ac2012","ac",2012,2636362085.86
"al2012","al",2012,8178422543.19
"am2012","am",2012,3877973077.53
"ap2012","ap",2012,1143083078
"ba2012","ba",2012,13474097572.47
"ce2012","ce",2012,5745082357
"df2012","df",2012,4430824187.59
"es2012","es",2012,5095951051.09
"go2012","go",2012,16704431659.63
"ma2012","ma",2012,4597734062.32
"mg2012","mg",2012,79795836533.28
"ms2012","ms",2012,7955809354.32
"mt2012","mt",2012,4536246177.86
"pa2012","pa",2012,2923896075.04
"pb2012","pb",2012,3082928460.75
"pe2012","pe",2012,8968829238.15
"pi2012","pi",2012,3789884268.51
"pr2012","pr",2012,19015025356.28
"rj2012","rj",2012,74432767799
"rn2012","rn",2012,1502467348.73
"ro2012","ro",2012,2622813774.79
"rr2012","rr",2012,1578398088.15
