"id","state","year","value"
"ac2008","ac",2008,1020326190.16
"al2008","al",2008,1617713265
"am2008","am",2008,2473051384.82
"ap2008","ap",2008,941570363
"ba2008","ba",2008,6136333139.47
"ce2008","ce",2008,3011455512.65
"df2008","df",2008,4083937586.77
"es2008","es",2008,2293842334.73
"go2008","go",2008,3852987333.24
"ma2008","ma",2008,2002438237.51
"mg2008","mg",2008,13382012036.67
"ms2008","ms",2008,1705425721.94
"mt2008","mt",2008,2248711359
"pa2008","pa",2008,3271508749
"pb2008","pb",2008,1989989747.62
"pe2008","pe",2008,4173310417.39
"pi2008","pi",2008,1535075753.08
"pr2008","pr",2008,6121669222.03
"rj2008","rj",2008,7609359000
"rn2008","rn",2008,2127191957.18
"ro2008","ro",2008,1093131358.53
"rr2008","rr",2008,526734227.92
"rs2008","rs",2008,6348415804.23
"sc2008","sc",2008,3857690242.6
"se2008","se",2008,1527465608.55
"sp2008","sp",2008,33543377186.77
"to2008","to",2008,1242313575.19
"ac2009","ac",2009,1130843244.13
"al2009","al",2009,1833533518.21
"am2009","am",2009,2843893323.33
"ap2009","ap",2009,934687129
"ba2009","ba",2009,6859024114.47
"ce2009","ce",2009,3427233739.49
"df2009","df",2009,4455744037.23
"es2009","es",2009,2665319916.46
"go2009","go",2009,4197456129.28
"ma2009","ma",2009,2302610301.06
"mg2009","mg",2009,13441991722.35
"ms2009","ms",2009,1939667957.21
"mt2009","mt",2009,2574338363.52
"pa2009","pa",2009,3643334963.98
"pb2009","pb",2009,2394291124.91
"pe2009","pe",2009,4762757763.67
"pi2009","pi",2009,1731587020.73
"pr2009","pr",2009,6807320656.44
"rj2009","rj",2009,7824752000
"rn2009","rn",2009,2410490937.25
"ro2009","ro",2009,1247225201.53
"rr2009","rr",2009,581013393.44
"rs2009","rs",2009,7034717709.28
"sc2009","sc",2009,3860566866.34
"se2009","se",2009,1792504651.43
"sp2009","sp",2009,35768134769.9
"to2009","to",2009,1500843692.38
"ac2010","ac",2010,1217589269.67
"al2010","al",2010,1902411341.49
"am2010","am",2010,3104030175.42
"ap2010","ap",2010,1061986626
"ba2010","ba",2010,7500813942.54
"ce2010","ce",2010,3956285659.78
"df2010","df",2010,4984004875.72
"es2010","es",2010,3152770072.39
"go2010","go",2010,4985976243.35
"ma2010","ma",2010,2781160931.98
"mg2010","mg",2010,16127660440.06
"ms2010","ms",2010,2259014936.14
"mt2010","mt",2010,2923599068.64
"pa2010","pa",2010,4061293754.05
"pb2010","pb",2010,2906036691.16
"pe2010","pe",2010,5427983899.06
"pi2010","pi",2010,1958515656.62
"pr2010","pr",2010,7790300001.43
"rj2010","rj",2010,9266193664
"rn2010","rn",2010,2694119497.27
"ro2010","ro",2010,1478924894.24
"rr2010","rr",2010,661546630.67
"rs2010","rs",2010,7825736930.04
"sc2010","sc",2010,4958010074.74
"se2010","se",2010,2097077710.21
"sp2010","sp",2010,39367606654.16
"to2010","to",2010,1852757712.99
"ac2011","ac",2011,1319623063.4
"al2011","al",2011,2227769469.91
"am2011","am",2011,3594868238.41
"ap2011","ap",2011,1242781371
"ba2011","ba",2011,8539043501.93
"ce2011","ce",2011,4381828978.3
"df2011","df",2011,5928304823.76
"es2011","es",2011,3564479200.87
"go2011","go",2011,5393054671.49
"ma2011","ma",2011,2821471862.83
"mg2011","mg",2011,14485738283.83
"ms2011","ms",2011,2459734563.55
"mt2011","mt",2011,3409602112.02
"pa2011","pa",2011,4632769984.64
"pb2011","pb",2011,2801040032.86
"pe2011","pe",2011,6198822915.9
"pi2011","pi",2011,2232500477.35
"pr2011","pr",2011,9196352849.41
"rj2011","rj",2011,10317320932
"rn2011","rn",2011,2860150686.46
"ro2011","ro",2011,1761272218.84
"rr2011","rr",2011,823991005.03
"rs2011","rs",2011,8856227016.46
"sc2011","sc",2011,5765047319.56
"se2011","se",2011,2294263642.55
"sp2011","sp",2011,43581893418.26
"to2011","to",2011,2140308384.21
"ac2012","ac",2012,1520528704.51
"al2012","al",2012,2419883276.11
"am2012","am",2012,4000628203.89
"ap2012","ap",2012,1507447847
"ba2012","ba",2012,9640617009.25
"ce2012","ce",2012,5090861426
"df2012","df",2012,6437046085.14
"es2012","es",2012,3965159779.15
"go2012","go",2012,6318206294.67
"ma2012","ma",2012,3280072441.23
"mg2012","mg",2012,16441388013.12
"ms2012","ms",2012,2663572352.24
"mt2012","mt",2012,4692823717.25
"pa2012","pa",2012,5699820340.16
"pb2012","pb",2012,3132808205.79
"pe2012","pe",2012,7054243800.36
"pi2012","pi",2012,2487435041.82
"pr2012","pr",2012,10197351407.25
"rj2012","rj",2012,12006016456
"rn2012","rn",2012,3279486628.26
"ro2012","ro",2012,2097860820.84
"rr2012","rr",2012,988039451.09
"rs2012","rs",2012,10089241691.95
"sc2012","sc",2012,6753716783.91
"se2012","se",2012,2520687505.43
"sp2012","sp",2012,48926855772.1
"to2012","to",2012,2435386849.86
"ac2013","ac",2013,1665266185.41
