id,state,year,value
ac2008,ac,2008,87462472.35
al2008,al,2008,333730558.99
am2008,am,2008,144992614.81
ap2008,ap,2008,25957400.3
ba2008,ba,2008,1457754671.44
ce2008,ce,2008,435038174.41
df2008,df,2008,96583292.62
es2008,es,2008,222473267.58
go2008,go,2008,493999629.53
ma2008,ma,2008,305409415.81
mg2008,mg,2008,529544848.92
ms2008,ms,2008,358360360.48
mt2008,mt,2008,286110353.71999997
pa2008,pa,2008,215211556.15
pb2008,pb,2008,193780365.89
pe2008,pe,2008,480334649.07
pi2008,pi,2008,221999154.28
pr2008,pr,2008,571192214.34
rj2008,rj,2008,887171230.6700001
rn2008,rn,2008,178490654.19
ro2008,ro,2008,111037776.65
rr2008,rr,2008,52946040.18000001
rs2008,rs,2008,2916393887.7300005
sc2008,sc,2008,454741345.97
se2008,se,2008,136541637.81
sp2008,sp,2008,2225695835.91
to2008,to,2008,119971815.76
ac2009,ac,2009,91682595.5
al2009,al,2009,513668553.47
am2009,am,2009,155684091.46
ap2009,ap,2009,30056316.45
ba2009,ba,2009,1265723919.92
ce2009,ce,2009,582819555.87
df2009,df,2009,124561289.85
es2009,es,2009,244165768.4
go2009,go,2009,539136987.29
ma2009,ma,2009,320113620.42
mg2009,mg,2009,1098020566.36
ms2009,ms,2009,0
mt2009,mt,2009,350246996.6
pa2009,pa,2009,256941794.23
pb2009,pb,2009,208704728.83
pe2009,pe,2009,521269330.01
pi2009,pi,2009,350829605.07
pr2009,pr,2009,618934031.67
rj2009,rj,2009,1222952260.39
rn2009,rn,2009,212343960.1
ro2009,ro,2009,117771417.88
rr2009,rr,2009,56032539.54
rs2009,rs,2009,1909398217.56
sc2009,sc,2009,497893713.55
se2009,se,2009,121254622.44
sp2009,sp,2009,3366896131.8
to2009,to,2009,123497551.56
ac2010,ac,2010,103288847.53
al2010,al,2010,400827375.91
am2010,am,2010,162569638.57
ap2010,ap,2010,39042188.71
ba2010,ba,2010,871906353.99
ce2010,ce,2010,301917478.7
df2010,df,2010,130237704.71
es2010,es,2010,214134274.26
go2010,go,2010,515575071.11
ma2010,ma,2010,296443086.83
mg2010,mg,2010,1237318657.82
ms2010,ms,2010,425307015.76
mt2010,mt,2010,295477267.02
pa2010,pa,2010,279411650.9
pb2010,pb,2010,190184774.49
pe2010,pe,2010,341219124.15999997
pi2010,pi,2010,411025605.29
pr2010,pr,2010,619871325.16
rj2010,rj,2010,1227768255.98
rn2010,rn,2010,190074663.74
ro2010,ro,2010,133479337.85
rr2010,rr,2010,47356155.38
rs2010,rs,2010,2791494965.8500004
sc2010,sc,2010,428468446.74
se2010,se,2010,112325238.97
sp2010,sp,2010,3651171059.68
to2010,to,2010,95375402
ac2011,ac,2011,157498881.4
al2011,al,2011,498591655.28
ap2011,ap,2011,111070616.66
am2011,am,2011,248860733.87
ba2011,ba,2011,911908263.66
ce2011,ce,2011,371586246.91
df2011,df,2011,143888074.83
es2011,es,2011,248211961.24
go2011,go,2011,2187473830.53
ma2011,ma,2011,368212703.71
mt2011,mt,2011,566749187.18
ms2011,ms,2011,492658056.72
mg2011,mg,2011,1632101452.96
pa2011,pa,2011,333465149.03
pb2011,pb,2011,211170889.49
pr2011,pr,2011,613456846.81
pe2011,pe,2011,405118846.92999995
pi2011,pi,2011,593478138.9399999
rj2011,rj,2011,1630549418.5
rn2011,rn,2011,251995223.53
rs2011,rs,2011,2379567536.65
ro2011,ro,2011,198157977.68
rr2011,rr,2011,0
sc2011,sc,2011,502668125.16
sp2011,sp,2011,4137942397.94
se2011,se,2011,163905537.18
to2011,to,2011,125858093.32
ac2012,ac,2012,250331028.03
al2012,al,2012,503606944.97
ap2012,ap,2012,38992343.6
am2012,am,2012,340911439.83
ba2012,ba,2012,1032095211.12
ce2012,ce,2012,687040391.61
df2012,df,2012,162269085.09
es2012,es,2012,496057205.15
go2012,go,2012,1111391989.66
ma2012,ma,2012,478227391.58
mt2012,mt,2012,1708568353.7
ms2012,ms,2012,572825565.71
mg2012,mg,2012,0
pa2012,pa,2012,376860610.76
pb2012,pb,2012,227946833.74
pr2012,pr,2012,667726348.34
pe2012,pe,2012,534955811.6
pi2012,pi,2012,911659133.49
rj2012,rj,2012,2225819082.6
rn2012,rn,2012,242193050.67
rs2012,rs,2012,1200006940.39
ro2012,ro,2012,154334176.34
rr2012,rr,2012,75003441.29
sc2012,sc,2012,1580810025.82
sp2012,sp,2012,4782895705.79
se2012,se,2012,210936948.11
to2012,to,2012,157176299.26
sc2013,sc,2013,1583098931.87
ms2013,ms,2013,671292633.93
go2013,go,2013,1105178890.55
es2013,es,2013,301048981.59
rj2013,rj,2013,2832809081.44
sp2013,sp,2013,5460063650.91
rs2013,rs,2013,1365292382.37
ba2013,ba,2013,1681534278.61
mt2013,mt,2013,353751468.58
al2013,al,2013,413965506.71
mg2013,mg,2013,5211297316.76
pr2013,pr,2013,699488129.52
pe2013,pe,2013,635042432.59
am2013,am,2013,370177794.57
