id,state,year,value
ac2008,ac,2008,0
al2008,al,2008,0
am2008,am,2008,0
ap2008,ap,2008,0
ba2008,ba,2008,78884940.05
ce2008,ce,2008,85203388.5
df2008,df,2008,126487434.22
es2008,es,2008,1419110175.88
go2008,go,2008,0
ma2008,ma,2008,0
mg2008,mg,2008,1061133714.51
ms2008,ms,2008,11092700
mt2008,mt,2008,4533459.44
pa2008,pa,2008,1787800
pb2008,pb,2008,0
pe2008,pe,2008,0
pi2008,pi,2008,0
pr2008,pr,2008,0
rj2008,rj,2008,58332889.8
rn2008,rn,2008,139658946.37
ro2008,ro,2008,0
rr2008,rr,2008,0
rs2008,rs,2008,18388811.4
sc2008,sc,2008,11598175.67
se2008,se,2008,0
sp2008,sp,2008,0
to2008,to,2008,14652193.47
ac2009,ac,2009,50021.52
al2009,al,2009,0
am2009,am,2009,0
ap2009,ap,2009,140654.24
ba2009,ba,2009,137773746.45
ce2009,ce,2009,71979343.21
df2009,df,2009,113532883.13
es2009,es,2009,1221598611.11
go2009,go,2009,0
ma2009,ma,2009,0
mg2009,mg,2009,454311602.96
ms2009,ms,2009,0
mt2009,mt,2009,5783008.99
pa2009,pa,2009,954680
pb2009,pb,2009,4700193.37
pe2009,pe,2009,0
pi2009,pi,2009,0
pr2009,pr,2009,0
rj2009,rj,2009,87679175.74
rn2009,rn,2009,145457528.34
ro2009,ro,2009,0
rr2009,rr,2009,0
rs2009,rs,2009,23655159.77
sc2009,sc,2009,6817384.04
se2009,se,2009,0
sp2009,sp,2009,0
to2009,to,2009,15001971.96
ac2010,ac,2010,0
al2010,al,2010,0
am2010,am,2010,0
ap2010,ap,2010,0
ba2010,ba,2010,149561281.58
ce2010,ce,2010,67263411.58
df2010,df,2010,116898611.19
es2010,es,2010,1094065346.49
go2010,go,2010,0
ma2010,ma,2010,0
mg2010,mg,2010,444368714.05
ms2010,ms,2010,9694e3
mt2010,mt,2010,1827555
pa2010,pa,2010,6650789.98
pb2010,pb,2010,582662.33
pe2010,pe,2010,0
pi2010,pi,2010,0
pr2010,pr,2010,0
rj2010,rj,2010,107629880.23
rn2010,rn,2010,135015094.26
ro2010,ro,2010,0
rr2010,rr,2010,0
rs2010,rs,2010,6360526.4
sc2010,sc,2010,5992608.25
se2010,se,2010,0
sp2010,sp,2010,0
to2010,to,2010,9235047.56
ac2011,ac,2011,0
al2011,al,2011,0
ap2011,ap,2011,0
am2011,am,2011,0
ba2011,ba,2011,289111791.35
ce2011,ce,2011,76904632.48
df2011,df,2011,170188961.83
es2011,es,2011,1511002291.57
go2011,go,2011,0
ma2011,ma,2011,0
mt2011,mt,2011,1295890
ms2011,ms,2011,1740726.8
mg2011,mg,2011,296847796.44
pa2011,pa,2011,2684096.98
pb2011,pb,2011,5072860.36
pr2011,pr,2011,0
pe2011,pe,2011,0
pi2011,pi,2011,0
rj2011,rj,2011,92302482.83
rn2011,rn,2011,174494186.46
rs2011,rs,2011,13043813.05
ro2011,ro,2011,0
rr2011,rr,2011,0
sc2011,sc,2011,3929405.69
sp2011,sp,2011,0
se2011,se,2011,0
to2011,to,2011,20694257.73
ac2012,ac,2012,0
al2012,al,2012,0
ap2012,ap,2012,0
am2012,am,2012,0
ba2012,ba,2012,410601447.5
ce2012,ce,2012,77285647.21
df2012,df,2012,110689558.9
es2012,es,2012,1413027514.78
go2012,go,2012,0
ma2012,ma,2012,0
mt2012,mt,2012,22e4
ms2012,ms,2012,11603450
mg2012,mg,2012,0
pa2012,pa,2012,2261816.52
pb2012,pb,2012,18541509.73
pr2012,pr,2012,0
pe2012,pe,2012,0
pi2012,pi,2012,0
rj2012,rj,2012,36576649.67
rn2012,rn,2012,133499902.84
rs2012,rs,2012,45359741.69
ro2012,ro,2012,0
rr2012,rr,2012,0
sc2012,sc,2012,6849175.4
sp2012,sp,2012,0
se2012,se,2012,0
to2012,to,2012,11470962.8
sc2013,sc,2013,7474632.72
ms2013,ms,2013,1071208.73
go2013,go,2013,11754418.57
es2013,es,2013,677074979.86
rj2013,rj,2013,31152200.76
rs2013,rs,2013,59337835.75
ba2013,ba,2013,310527243.54
mt2013,mt,2013,2244341.63
mg2013,mg,2013,95284530.75
df2013,df,2013,235995894.34
to2013,to,2013,16314520.25
ce2013,ce,2013,77973763.23
pa2013,pa,2013,16920605.32
pb2013,pb,2013,16507869.34
rn2013,rn,2013,230917888.59
es2014,es,2014,550191513.26
sc2014,sc,2014,8446147.13
pb2014,pb,2014,31560476.79
pa2014,pa,2014,9434245.22
rs2014,rs,2014,96147748.49
rj2014,rj,2014,26035418.2
go2014,go,2014,37108946.24
pe2014,pe,2014,414812.52
rn2014,rn,2014,230798465.81
ms2014,ms,2014,4376309.95
mt2014,mt,2014,1768969.16
mg2014,mg,2014,132737519.92
ce2014,ce,2014,259865646.04
to2014,to,2014,9744062.93
df2014,df,2014,251507463.57
ba2014,ba,2014,237610606.74
pa2015,pa,2015,9174408.57
mg2015,mg,2015,34251448.82
sc2015,sc,2015,10871931.76
es2015,es,2015,504527895.15
rr2015,rr,2015,999772.35
mt2015,mt,2015,250250
rj2015,rj,2015,25414048.21
pe2015,pe,2015,1243700
al2015,al,2015,3e5
df2015,df,2015,7283631.07
rn2015,rn,2015,362617306.28
ms2015,ms,2015,473281
ba2015,ba,2015,179792613.28
to2015,to,2015,113453.02
rs2015,rs,2015,43783330.26
pb2015,pb,2015,37211832.92
go2015,go,2015,734e4
es2016,es,2016,387006164.21
pa2016,pa,2016,7821272.44
sc2016,sc,2016,10528082.35
mt2016,mt,2016,1385432.9
df2016,df,2016,11255093
pb2016,pb,2016,14175874.35
pe2016,pe,2016,1555528.78
rn2016,rn,2016,214034519.06
ce2016,ce,2016,71787247.8
ms2016,ms,2016,1218811.18
rj2016,rj,2016,9900506.25
al2016,al,2016,3123100.88
ba2016,ba,2016,92983731.79
to2016,to,2016,11066703.37
mg2016,mg,2016,19745446.64
rs2016,rs,2016,15771036.87
rr2016,rr,2016,548690.91
