id,state,year,value
ac2008,ac,2008,810949338.63
al2008,al,2008,1132315573.49
am2008,am,2008,3178789528.3500004
ap2008,ap,2008,800228025.18
ba2008,ba,2008,7056872439.55
ce2008,ce,2008,4044914960.3100004
df2008,df,2008,3290538633.1999993
es2008,es,2008,4501999297.01
go2008,go,2008,4201914246.4299994
ma2008,ma,2008,2310559156.31
mg2008,mg,2008,14383008443.829998
ms2008,ms,2008,3202856497.37
mt2008,mt,2008,2860250864.1299996
pa2008,pa,2008,4463981983.99
pb2008,pb,2008,2026693452.87
pe2008,pe,2008,5026442260.280001
pi2008,pi,2008,1756676732.92
pr2008,pr,2008,7377561181.889999
rj2008,rj,2008,24807618031.5
rn2008,rn,2008,2422658445.0000005
ro2008,ro,2008,1476248607.63
rr2008,rr,2008,751214614.3099997
rs2008,rs,2008,8327563334.470001
sc2008,sc,2008,4504853580.279999
se2008,se,2008,1278073121.0900002
sp2008,sp,2008,60971000524.920006
to2008,to,2008,1354184819.5000002
ac2009,ac,2009,985435172.47
al2009,al,2009,1259550315.33
am2009,am,2009,3227144428.09
ap2009,ap,2009,859034894.2
ba2009,ba,2009,7509276563.77
ce2009,ce,2009,4640888989.22
df2009,df,2009,4986032941.23
es2009,es,2009,4749981240.14
go2009,go,2009,4348412370.6
ma2009,ma,2009,2488358282.18
mg2009,mg,2009,14555662296.17
ms2009,ms,2009,3529445874.31
mt2009,mt,2009,3368368143.38
pa2009,pa,2009,4887495098.72
pb2009,pb,2009,1542203554.91
pe2009,pe,2009,5761871054.09
pi2009,pi,2009,1897594305.47
pr2009,pr,2009,7729457191.74
rj2009,rj,2009,25491283910.43
rn2009,rn,2009,2640251066.03
ro2009,ro,2009,1660982882.5
rr2009,rr,2009,799307684.38
rs2009,rs,2009,14179671300.38
sc2009,sc,2009,5160305023.31
se2009,se,2009,1464278019.04
sp2009,sp,2009,63904340344.66
to2009,to,2009,1338650394.66
ac2010,ac,2010,1175636569.82
al2010,al,2010,1753154332
am2010,am,2010,3906427863.3199997
ap2010,ap,2010,914640549.6300001
ba2010,ba,2010,9521801377.73
ce2010,ce,2010,5612319107.049999
df2010,df,2010,4000276566.62
es2010,es,2010,4193688668.0099998
go2010,go,2010,5051871449.02
ma2010,ma,2010,3422778196.0699997
mg2010,mg,2010,17038700552.57
ms2010,ms,2010,3846901592.17
mt2010,mt,2010,3540624819.71
pa2010,pa,2010,5575997691.79
pb2010,pb,2010,1759145486.93
pe2010,pe,2010,6917509664.309999
pi2010,pi,2010,1965616092.6299999
pr2010,pr,2010,8320866252.07
rj2010,rj,2010,29179366746.98
rn2010,rn,2010,2874120501.25
ro2010,ro,2010,1939598457.5800002
rr2010,rr,2010,836788702.6800002
rs2010,rs,2010,16281664791.220001
sc2010,sc,2010,5864182119.339999
se2010,se,2010,1769899141.4500003
sp2010,sp,2010,73291517682.54001
to2010,to,2010,1510345644.2700002
ac2011,ac,2011,1331088578.39
al2011,al,2011,1764270055.3300002
ap2011,ap,2011,922406346.5500001
am2011,am,2011,4211682465.160001
ba2011,ba,2011,10738680856.960001
ce2011,ce,2011,6097577105.27
df2011,df,2011,4570076182.08
es2011,es,2011,4781115661.71
go2011,go,2011,3192628590.3400006
ma2011,ma,2011,4298653651.62
mt2011,mt,2011,3808939032.74
ms2011,ms,2011,4280564186.3500004
mg2011,mg,2011,22633316279.76
pa2011,pa,2011,4315951755.059999
pb2011,pb,2011,2014406297.76
pr2011,pr,2011,9424305852.56
pe2011,pe,2011,8235746024.619998
pi2011,pi,2011,2163202961.5299997
rj2011,rj,2011,33233799591.799995
rn2011,rn,2011,3026920258.66
rs2011,rs,2011,18074666277.750004
ro2011,ro,2011,2194428476.86
rr2011,rr,2011,0
sc2011,sc,2011,3921364177.6799994
sp2011,sp,2011,82125362092.39
se2011,se,2011,2420114823.8699994
to2011,to,2011,1668000977.06
ac2012,ac,2012,1471957741.6800003
al2012,al,2012,1971022212.9500003
ap2012,ap,2012,1069911052.56
am2012,am,2012,4910691749.93
ba2012,ba,2012,12077621197.49
ce2012,ce,2012,6001270926.29
df2012,df,2012,4978426338.529999
es2012,es,2012,2834967835.3
go2012,go,2012,4126667743.1900005
ma2012,ma,2012,3975752493.8
mt2012,mt,2012,4270893803.9299994
ms2012,ms,2012,3441762557.3500004
mg2012,mg,2012,25966999475.109997
pa2012,pa,2012,5151144673.460001
pb2012,pb,2012,2135896170.58
pr2012,pr,2012,11030811723.55
pe2012,pe,2012,9118527113.720001
pi2012,pi,2012,2318760718.06
rj2012,rj,2012,36720345697.73
rn2012,rn,2012,3416831237.8
rs2012,rs,2012,12715021760.95
ro2012,ro,2012,2385852950.21
rr2012,rr,2012,1066502887.78
sc2012,sc,2012,4250309660.3
sp2012,sp,2012,90483251824.42998
se2012,se,2012,1643669335.12
to2012,to,2012,1972573021.9700003
sc2013,sc,2013,4948197110.3
ms2013,ms,2013,3980404468.4
go2013,go,2013,4286530437.8
es2013,es,2013,3197349026.42
rj2013,rj,2013,37753065402.27
sp2013,sp,2013,77932353242.37
rs2013,rs,2013,14526013483.72
ba2013,ba,2013,13343416046.7
mt2013,mt,2013,2830673137.56
al2013,al,2013,2171061140.74
mg2013,mg,2013,28148989391.71
pr2013,pr,2013,15227393640.87
pe2013,pe,2013,9690180284.2
am2013,am,2013,6180973128.06
ma2013,ma,2013,4611918499.74
df2013,df,2013,5767693759.07
