id,state,year,value
ac2008,ac,2008,662909493.0699999
al2008,al,2008,704068392.8900001
am2008,am,2008,1422235281.11
ap2008,ap,2008,278533203.71
ba2008,ba,2008,2872939174.12
ce2008,ce,2008,1622746283.6400003
df2008,df,2008,1274048068.2199998
es2008,es,2008,2553409112.9
go2008,go,2008,1258050941.29
ma2008,ma,2008,1184421365.74
mg2008,mg,2008,5697776463.01
ms2008,ms,2008,1121582495.8899999
mt2008,mt,2008,1135990729.05
pa2008,pa,2008,1291995510.66
pb2008,pb,2008,625169552.19
pe2008,pe,2008,1564772550.95
pi2008,pi,2008,757665757.31
pr2008,pr,2008,1553840986.81
rj2008,rj,2008,2771014502.4
rn2008,rn,2008,686417624.74
ro2008,ro,2008,657758789.99
rr2008,rr,2008,344252993.04
rs2008,rs,2008,3577195008.3100004
sc2008,sc,2008,1442623483.78
se2008,se,2008,482973739.78000003
sp2008,sp,2008,14041869324.03
to2008,to,2008,1142668001.38
ac2009,ac,2009,1106873561.9
al2009,al,2009,1084154827.23
am2009,am,2009,1901807092.6
ap2009,ap,2009,293251784.98
ba2009,ba,2009,2840059140.34
ce2009,ce,2009,2666294535.96
df2009,df,2009,1628137417.54
es2009,es,2009,2804926482.72
go2009,go,2009,1316587851.97
ma2009,ma,2009,1477931906.04
mg2009,mg,2009,5934224793.79
ms2009,ms,2009,996769060.31
mt2009,mt,2009,1534828581.22
pa2009,pa,2009,1279710169.92
pb2009,pb,2009,704902488.97
pe2009,pe,2009,2408014521.07
pi2009,pi,2009,1346550922.06
pr2009,pr,2009,1750729545.81
rj2009,rj,2009,4089840734.34
rn2009,rn,2009,950240292.94
ro2009,ro,2009,902022440.24
rr2009,rr,2009,453877769.26
rs2009,rs,2009,2571297567.35
sc2009,sc,2009,1598492308.38
se2009,se,2009,543005319.16
sp2009,sp,2009,18565015697.48
to2009,to,2009,912147220.3
ac2010,ac,2010,1200060778.96
al2010,al,2010,1268987256.19
am2010,am,2010,1971883758.4999998
ap2010,ap,2010,289195439.46
ba2010,ba,2010,3165693616.25
ce2010,ce,2010,3638998768.5999994
df2010,df,2010,1291327992.8600001
es2010,es,2010,3053819006.05
go2010,go,2010,1748613039.7800002
ma2010,ma,2010,1479025539.87
mg2010,mg,2010,6071150836.389999
ms2010,ms,2010,1457033761.92
mt2010,mt,2010,1100875245.12
pa2010,pa,2010,1797731184.3200002
pb2010,pb,2010,744026288.4600002
pe2010,pe,2010,2719957383.9599996
pi2010,pi,2010,1372853570.9399998
pr2010,pr,2010,2301006783.7200003
rj2010,rj,2010,6518689800.980001
rn2010,rn,2010,891540403.48
ro2010,ro,2010,736567104.21
rr2010,rr,2010,368492255.53000003
rs2010,rs,2010,4728380221.290001
sc2010,sc,2010,1556967420.42
se2010,se,2010,710052126.9100001
sp2010,sp,2010,21006005312.07
to2010,to,2010,979888433.15
ac2011,ac,2011,745768707.83
al2011,al,2011,1064935103.4699999
ap2011,ap,2011,466142080.41999996
am2011,am,2011,1864093193.2399998
ba2011,ba,2011,3068706129.3999996
ce2011,ce,2011,3158056812.7699995
df2011,df,2011,1311952518.49
es2011,es,2011,3069344683.0199995
go2011,go,2011,2743507994.4900002
ma2011,ma,2011,1370398562.37
mt2011,mt,2011,1347795830.4
ms2011,ms,2011,1574609950.26
mg2011,mg,2011,5617329924.17
pa2011,pa,2011,1071231675.94
pb2011,pb,2011,680667119.51
pr2011,pr,2011,1572432349.9699998
pe2011,pe,2011,2863651241.85
pi2011,pi,2011,1132285992.57
rj2011,rj,2011,6585619917.190001
rn2011,rn,2011,808931531.74
rs2011,rs,2011,3484071171.91
ro2011,ro,2011,706446898.45
rr2011,rr,2011,0
sc2011,sc,2011,1527698281.24
sp2011,sp,2011,19306983685.379997
se2011,se,2011,639352109.69
to2011,to,2011,688431148.26
ac2012,ac,2012,1064523512.81
al2012,al,2012,1257554104.6799998
ap2012,ap,2012,750708457.4300001
am2012,am,2012,1861306340.7199998
ba2012,ba,2012,3304895970.0299997
ce2012,ce,2012,2895939235.3199997
df2012,df,2012,2026900881.0399997
es2012,es,2012,3233350079.59
go2012,go,2012,3116434766.34
ma2012,ma,2012,1618538683.96
mt2012,mt,2012,2566820139.51
ms2012,ms,2012,1441901789.7
mg2012,mg,2012,7587728422.46
pa2012,pa,2012,1483061025.7499998
pb2012,pb,2012,996054681.83
pr2012,pr,2012,2312654334.84
pe2012,pe,2012,3509850381.1600003
pi2012,pi,2012,1739247641.96
rj2012,rj,2012,8039659486.76
rn2012,rn,2012,876037666.74
rs2012,rs,2012,2423237280.87
ro2012,ro,2012,607350555.7
rr2012,rr,2012,561266993.6
sc2012,sc,2012,2588121313.57
sp2012,sp,2012,16943763003.990002
se2012,se,2012,617454746.96
to2012,to,2012,718372516.09
sc2013,sc,2013,3078944196.14
ms2013,ms,2013,1958377685.28
go2013,go,2013,3019967910.58
es2013,es,2013,2846768201.27
rj2013,rj,2013,10128355426.39
sp2013,sp,2013,23518346309.48
rs2013,rs,2013,2794754894.24
ba2013,ba,2013,4368657945.45
mt2013,mt,2013,2729518952.14
al2013,al,2013,1338587876.98
mg2013,mg,2013,10856434676.12
pr2013,pr,2013,2698666021.11
pe2013,pe,2013,4450336537.96
am2013,am,2013,2859499877.68
ma2013,ma,2013,3500443166.76
df2013,df,2013,2622266283.19
to2013,to,2013,938708860.35
ac2013,ac,2013,1172696439.91
se2013,se,2013,800199421.67
ap2013,ap,2013,1083122504.27
ce2013,ce,2013,3090398366.5
ro2013,ro,2013,906064134.22
pa2013,pa,2013,1796482731.43
pi2013,pi,2013,1507871973.03
pb2013,pb,2013,1331739548.37
rn2013,rn,2013,1271810449.76
rr2013,rr,2013,1228123256.68
es2014,es,2014,2665860057.99
sc2014,sc,2014,2827924342.52
pb2014,pb,2014,1472270975.76
ro2014,ro,2014,679709116.89
ap2014,ap,2014,825780630.14
pa2014,pa,2014,2012234192.43
rs2014,rs,2014,3483346105.88
rj2014,rj,2014,11206660527.09
sp2014,sp,2014,23941220679.4
am2014,am,2014,2561534289.76
al2014,al,2014,1720879805.35
go2014,go,2014,4554563775.38
pe2014,pe,2014,3792250179.71
ma2014,ma,2014,1944814266.36
rn2014,rn,2014,749922398.41
ms2014,ms,2014,2603155469.34
mt2014,mt,2014,2211923730.7
ac2014,ac,2014,1322653181.31
mg2014,mg,2014,8527147347.28
ce2014,ce,2014,4505681934.86
to2014,to,2014,1189976390.37
df2014,df,2014,2111177443.21
ba2014,ba,2014,3637597995.48
pi2014,pi,2014,1163962973.46
pr2014,pr,2014,2883325369.97
se2014,se,2014,734710983.18
rr2014,rr,2014,521493435.08
pa2015,pa,2015,1954459539.6
mg2015,mg,2015,7113270289.43
sc2015,sc,2015,2774362747.27
ap2015,ap,2015,536482527.2
es2015,es,2015,1423010032.92
rr2015,rr,2015,302708972.7
mt2015,mt,2015,1456583302.08
ce2015,ce,2015,3220184674.61
pr2015,pr,2015,2131271861.98
ro2015,ro,2015,674037591.55
rj2015,rj,2015,10195751302.98
sp2015,sp,2015,20634343829.04
pe2015,pe,2015,2163508017.64
pi2015,pi,2015,832735473.57
am2015,am,2015,1286215554.66
al2015,al,2015,1125416439.38
df2015,df,2015,998645151.41
se2015,se,2015,591620084.17
ma2015,ma,2015,1421263551.33
rn2015,rn,2015,961470883.25
ms2015,ms,2015,1562328158.71
ba2015,ba,2015,3528083665.74
ac2015,ac,2015,661187924.97
to2015,to,2015,677821625.76
rs2015,rs,2015,2884409000.75
pb2015,pb,2015,1167124050.22
go2015,go,2015,3224839112.57
pi2016,pi,2016,1452989080.54
ac2016,ac,2016,602332163.73
es2016,es,2016,1232624507.23
pa2016,pa,2016,1502201100.31
sc2016,sc,2016,2480908394.85
ro2016,ro,2016,650033830.06
mt2016,mt,2016,1801701699.31
ap2016,ap,2016,255089608.12
df2016,df,2016,991047580.05
pb2016,pb,2016,1224750745.85
pe2016,pe,2016,2249344371.32
rn2016,rn,2016,1009740685.8
ce2016,ce,2016,3250862915.24
ms2016,ms,2016,1312403422.67
rj2016,rj,2016,4689250391.28
al2016,al,2016,886735577.83
se2016,se,2016,638310523.42
ma2016,ma,2016,1780913671.25
ba2016,ba,2016,4280406261.43
sp2016,sp,2016,17732717918.24
to2016,to,2016,919481190.58
mg2016,mg,2016,4580624351.61
am2016,am,2016,1335585323.79
pr2016,pr,2016,4517754862.58
rs2016,rs,2016,2237687613.97
go2016,go,2016,1999790509.27
rr2016,rr,2016,288782701.08
