id,state,year,value
ac2008,ac,2008,2079273853.6999998
al2008,al,2008,3615061289.700001
am2008,am,2008,6361811155.940001
ap2008,ap,2008,1971501905.08
ba2008,ba,2008,17002089970.130001
ce2008,ce,2008,9202017900.820002
df2008,df,2008,8814739599.72
es2008,es,2008,7639360643
go2008,go,2008,9810586257.63
ma2008,ma,2008,5699621038.29
mg2008,mg,2008,33601586387.269997
ms2008,ms,2008,5556147861.14
mt2008,mt,2008,6770432320.12
pa2008,pa,2008,8089407894.24
pb2008,pb,2008,4684556364.16
pe2008,pe,2008,12373361410.220001
pi2008,pi,2008,3622808732.48
pr2008,pr,2008,16775263088.29
rj2008,rj,2008,38029974383.16
rn2008,rn,2008,5117996278.5199995
ro2008,ro,2008,3115293397.9900002
rr2008,rr,2008,1441185793.8699996
rs2008,rs,2008,20422879222.46
sc2008,sc,2008,9142069860.629997
se2008,se,2008,3786054452.1299996
sp2008,sp,2008,106692664136.15001
to2008,to,2008,2870540453.2900004
ac2009,ac,2009,2412211875.56
al2009,al,2009,3965984712.64
am2009,am,2009,6785162971.65
ap2009,ap,2009,2091076402.41
ba2009,ba,2009,18534874426.13
ce2009,ce,2009,10492697571.29
df2009,df,2009,10076173427.82
es2009,es,2009,8299879676.71
go2009,go,2009,10488968887.49
ma2009,ma,2009,6406970154.11
mg2009,mg,2009,34329236121.27
ms2009,ms,2009,6156912047.65
mt2009,mt,2009,7767421835.46
pa2009,pa,2009,8930908240.17
pb2009,pb,2009,4704368397.4
pe2009,pe,2009,13947356354.76
pi2009,pi,2009,3914613258.95
pr2009,pr,2009,17945974311.86
rj2009,rj,2009,38972554355.67
rn2009,rn,2009,5634271226.89
ro2009,ro,2009,3539151903.05
rr2009,rr,2009,1551560277.46
rs2009,rs,2009,25983787542.68
sc2009,sc,2009,10238135301.9
se2009,se,2009,4400384367.78
sp2009,sp,2009,112195654656.08
to2009,to,2009,3152948460.47
ac2010,ac,2010,2739927888.9300003
al2010,al,2010,4408229588.320001
am2010,am,2010,7778802887.27
ap2010,ap,2010,2317897868.78
ba2010,ba,2010,21502299427.010002
ce2010,ce,2010,12325234404.18
df2010,df,2010,10981410590.41
es2010,es,2010,9689078645.73
go2010,go,2010,12818102560.54
ma2010,ma,2010,7376867858.309999
mg2010,mg,2010,39703443889.02
ms2010,ms,2010,6830726300.63
mt2010,mt,2010,8649397120.380001
pa2010,pa,2010,10158797999.279999
pb2010,pb,2010,5501088472.33
pe2010,pe,2010,16318603007.359999
pi2010,pi,2010,4225356568.26
pr2010,pr,2010,19876326502.71
rj2010,rj,2010,44483694633.450005
rn2010,rn,2010,6189187740.42
ro2010,ro,2010,4065844380.0599995
rr2010,rr,2010,1748167766.9900002
rs2010,rs,2010,30151892931.75
sc2010,sc,2010,11609996145.369999
se2010,se,2010,5288791762.13
sp2010,sp,2010,126050054073.66
to2010,to,2010,3732488875.01
ac2011,ac,2011,3046923229.34
al2011,al,2011,4727877410.55
ap2011,ap,2011,2490528051.8900003
am2011,am,2011,8752721952.52
ba2011,ba,2011,24070823872.97
ce2011,ce,2011,13472581217.710001
df2011,df,2011,12496113915.81
es2011,es,2011,10835868751.210001
go2011,go,2011,11959971402.04
ma2011,ma,2011,8386454662.73
mt2011,mt,2011,9581753114.329998
ms2011,ms,2011,7817800714.940001
mg2011,mg,2011,48783746352.16
pa2011,pa,2011,11167083743.720001
pb2011,pb,2011,5781778685.140001
pr2011,pr,2011,23024846239.190002
pe2011,pe,2011,18652063159.27
pi2011,pi,2011,4741111694.889999
rj2011,rj,2011,49967429943.829994
rn2011,rn,2011,6847422061.79
rs2011,rs,2011,32613441779.920006
ro2011,ro,2011,4732333163.549999
rr2011,rr,2011,2451337058.03
sc2011,sc,2011,13424081573.73
sp2011,sp,2011,140642804502.5
se2011,se,2011,5395620402.87
to2011,to,2011,4485035550.879999
ac2012,ac,2012,3593266006.3700004
al2012,al,2012,5289462306.280001
ap2012,ap,2012,3050468146.14
am2012,am,2012,10297952643.810001
ba2012,ba,2012,27075280938.53
ce2012,ce,2012,13742252329.509998
df2012,df,2012,13790555082.729998
es2012,es,2012,9588647656.800001
go2012,go,2012,14325316259.789999
ma2012,ma,2012,9614666476.52
mt2012,mt,2012,10579435583.1
ms2012,ms,2012,8643080436.529999
mg2012,mg,2012,55274150247.46
pa2012,pa,2012,13426470317.740002
pb2012,pb,2012,6632968770.68
pr2012,pr,2012,26178028058.590004
pe2012,pe,2012,20960063558.949997
pi2012,pi,2012,5114521404.35
rj2012,rj,2012,55779587484.740005
rn2012,rn,2012,7809750895.25
rs2012,rs,2012,37780623842.01
ro2012,ro,2012,5313289757.360001
rr2012,rr,2012,2251210160.5099998
sc2012,sc,2012,15500703212.900002
sp2012,sp,2012,156162935936.17996
se2012,se,2012,5937920627.58
to2012,to,2012,5064388271.309999
sc2013,sc,2013,16175395667.97
ms2013,ms,2013,9753719631.48
go2013,go,2013,15586280172.59
es2013,es,2013,10874897263.47
rj2013,rj,2013,61534795602.3
sp2013,sp,2013,174351825612.59
rs2013,rs,2013,42967508725.47
ba2013,ba,2013,29869150140.31
