id,state,year,value
ac2008,ac,2008,97509372.47
al2008,al,2008,362359310.8600001
am2008,am,2008,297472487.34000003
ap2008,ap,2008,40399583.39
ba2008,ba,2008,2108710324.4
ce2008,ce,2008,1663401302.04
df2008,df,2008,894662803.1
es2008,es,2008,1351718667.6699998
go2008,go,2008,1246008347.61
ma2008,ma,2008,810478133.3000001
mg2008,mg,2008,4705818640.5
ms2008,ms,2008,724428441.21
mt2008,mt,2008,779692062.54
pa2008,pa,2008,1190622956.42
pb2008,pb,2008,524984580.12
pe2008,pe,2008,1977157370.4099998
pi2008,pi,2008,372880054.38
pr2008,pr,2008,1707239910.16
rj2008,rj,2008,2710468279.49
rn2008,rn,2008,825395744.64
ro2008,ro,2008,125176457.16
rr2008,rr,2008,4367516.86
rs2008,rs,2008,3791528481.06
sc2008,sc,2008,1595154782.74
se2008,se,2008,518876405.17999995
sp2008,sp,2008,14528864120.3
to2008,to,2008,111025530.08999999
ac2009,ac,2009,110658778.88
al2009,al,2009,415757409.79
am2009,am,2009,333447802.62
ap2009,ap,2009,46448088.73
ba2009,ba,2009,2442595139.57
ce2009,ce,2009,1816397037.63
df2009,df,2009,1018608586.84
es2009,es,2009,1733623543.75
go2009,go,2009,1377908494.21
ma2009,ma,2009,940444693.75
mg2009,mg,2009,4705610045.77
ms2009,ms,2009,866304871.82
mt2009,mt,2009,929817997.76
pa2009,pa,2009,1289790163.57
pb2009,pb,2009,847873223.76
pe2009,pe,2009,2149276718.98
pi2009,pi,2009,693132033.44
pr2009,pr,2009,1845699251.45
rj2009,rj,2009,7421149442.86
rn2009,rn,2009,914478076.43
ro2009,ro,2009,151286925.54
rr2009,rr,2009,23925934.68
rs2009,rs,2009,5869432592.51
sc2009,sc,2009,2029613038.97
se2009,se,2009,656955514.42
sp2009,sp,2009,15351865158.6
to2009,to,2009,130677170.01
ac2010,ac,2010,124555796.45
al2010,al,2010,450196281.83000004
am2010,am,2010,366303535.49
ap2010,ap,2010,20780399.22
ba2010,ba,2010,2780964521.86
