id,state,year,value
ac2008,ac,2008,2742183346.7699995
al2008,al,2008,4319129682.590001
am2008,am,2008,7784046437.05
ap2008,ap,2008,2250035108.79
ba2008,ba,2008,19875029144.25
ce2008,ce,2008,10824764184.460003
df2008,df,2008,10088787667.939999
es2008,es,2008,10192769755.9
go2008,go,2008,11068637198.919998
ma2008,ma,2008,6884042404.03
mg2008,mg,2008,39299362850.28
ms2008,ms,2008,6677730357.030001
mt2008,mt,2008,7906423049.17
pa2008,pa,2008,9381403404.9
pb2008,pb,2008,5309725916.35
pe2008,pe,2008,13938133961.170002
pi2008,pi,2008,4380474489.79
pr2008,pr,2008,18329104075.100002
rj2008,rj,2008,40800988885.560005
rn2008,rn,2008,5804413903.259999
ro2008,ro,2008,3773052187.9800005
rr2008,rr,2008,1785438786.9099996
rs2008,rs,2008,24000074230.77
sc2008,sc,2008,10584693344.409998
se2008,se,2008,4269028191.91
sp2008,sp,2008,120734533460.18001
to2008,to,2008,4013208454.6700006
ac2009,ac,2009,3519085437.46
al2009,al,2009,5050139539.87
am2009,am,2009,8686970064.25
ap2009,ap,2009,2384328187.39
ba2009,ba,2009,21374933566.47
ce2009,ce,2009,13158992107.25
df2009,df,2009,11704310845.36
es2009,es,2009,11104806159.43
go2009,go,2009,11805556739.46
ma2009,ma,2009,7884902060.15
mg2009,mg,2009,40263460915.06
ms2009,ms,2009,7153681107.96
mt2009,mt,2009,9302250416.68
pa2009,pa,2009,10210618410.09
pb2009,pb,2009,5409270886.37
pe2009,pe,2009,16355370875.83
pi2009,pi,2009,5261164181.01
pr2009,pr,2009,19696703857.67
rj2009,rj,2009,43062395090.01
rn2009,rn,2009,6584511519.83
ro2009,ro,2009,4441174343.29
rr2009,rr,2009,2005438046.72
rs2009,rs,2009,28555085110.03
sc2009,sc,2009,11836627610.28
se2009,se,2009,4943389686.94
sp2009,sp,2009,130760670353.56
to2009,to,2009,4065095680.77
ac2010,ac,2010,3939988667.8900003
al2010,al,2010,5677216844.51
am2010,am,2010,9750686645.77
ap2010,ap,2010,2607093308.2400002
ba2010,ba,2010,24667993043.260002
ce2010,ce,2010,15964233172.779999
df2010,df,2010,12272738583.27
es2010,es,2010,12742897651.779999
go2010,go,2010,14566715600.320002
ma2010,ma,2010,8855893398.18
mg2010,mg,2010,45774594725.409996
ms2010,ms,2010,8287760062.55
mt2010,mt,2010,9750272365.5
pa2010,pa,2010,11956529183.599998
pb2010,pb,2010,6245114760.79
pe2010,pe,2010,19038560391.32
pi2010,pi,2010,5598210139.2
pr2010,pr,2010,22177333286.43
rj2010,rj,2010,51002384434.43001
rn2010,rn,2010,7080728143.9
ro2010,ro,2010,4802411484.2699995
rr2010,rr,2010,2116660022.5200002
rs2010,rs,2010,34880273153.04
sc2010,sc,2010,13166963565.789999
se2010,se,2010,5998843889.04
sp2010,sp,2010,147056059385.73
to2010,to,2010,4712377308.16
ac2011,ac,2011,3792691937.17
al2011,al,2011,5792812514.02
ap2011,ap,2011,2956670132.3100004
am2011,am,2011,10616815145.76
