id,state,year,value
ac2008,ac,2008,0
al2008,al,2008,1230423.05
am2008,am,2008,11324962.55
ap2008,ap,2008,13054830.8
ba2008,ba,2008,213481769.83
ce2008,ce,2008,109547252.43
df2008,df,2008,126487434.22
es2008,es,2008,1542999063.2800002
go2008,go,2008,5665563.07
ma2008,ma,2008,25348351.23
mg2008,mg,2008,1428054130.58
ms2008,ms,2008,13670043.53
mt2008,mt,2008,11807183.18
pa2008,pa,2008,157668625.95999998
pb2008,pb,2008,43965499.47
pe2008,pe,2008,342536469.53
pi2008,pi,2008,103138018.24
pr2008,pr,2008,119452125.23
rj2008,rj,2008,129364357.25999999
rn2008,rn,2008,210586893.96
ro2008,ro,2008,1366385
rr2008,rr,2008,85858287.66
rs2008,rs,2008,65509433.92
sc2008,sc,2008,203547831.27
se2008,se,2008,104462678.06
sp2008,sp,2008,4823850417.56
to2008,to,2008,15675839.010000002
ac2009,ac,2009,87371.52
al2009,al,2009,11711995.75
am2009,am,2009,43115563.74
ap2009,ap,2009,2551917.24
ba2009,ba,2009,245310086.9
ce2009,ce,2009,98856735.83
df2009,df,2009,120727712.01
es2009,es,2009,1382804865
go2009,go,2009,14076527.28
ma2009,ma,2009,53251083.14
mg2009,mg,2009,1250816398.27
ms2009,ms,2009,469679267.74
mt2009,mt,2009,12484379.55
pa2009,pa,2009,195446514.04
pb2009,pb,2009,25627455.28
pe2009,pe,2009,766317112.91
pi2009,pi,2009,225196791.74
pr2009,pr,2009,146276450.48
rj2009,rj,2009,130351283.62
rn2009,rn,2009,246175694.53
ro2009,ro,2009,3955140
rr2009,rr,2009,168563557.73
rs2009,rs,2009,63850564.17
sc2009,sc,2009,19452450.7
se2009,se,2009,164265726.49
sp2009,sp,2009,4908420496.73
to2009,to,2009,16003338.77
ac2010,ac,2010,56550
al2010,al,2010,21019845.08
am2010,am,2010,113064734.18
ap2010,ap,2010,10296244.72
ba2010,ba,2010,247641131.48000002
ce2010,ce,2010,83043306.44
df2010,df,2010,119627742.88
es2010,es,2010,1246564095.02
go2010,go,2010,53376270.39
ma2010,ma,2010,8487350
mg2010,mg,2010,845683115.32
ms2010,ms,2010,10752983.5
mt2010,mt,2010,3172153.0100000002
pa2010,pa,2010,185609298.26999998
pb2010,pb,2010,7760285.32
pe2010,pe,2010,558761765.76
pi2010,pi,2010,198060818.02999997
pr2010,pr,2010,330527073.31
rj2010,rj,2010,125180167.06
rn2010,rn,2010,210736672.74
ro2010,ro,2010,914182.5900000001
rr2010,rr,2010,79487319.8
rs2010,rs,2010,72405087
sc2010,sc,2010,39717875.92
se2010,se,2010,96455884.88000001
sp2010,sp,2010,4713424221.610001
to2010,to,2010,11974549.67
ac2011,ac,2011,12626490.56
al2011,al,2011,8749061.559999999
ap2011,ap,2011,39034490.1
am2011,am,2011,82863409.36999999
ba2011,ba,2011,404295424.83000004
ce2011,ce,2011,99669030.01
df2011,df,2011,193203789.19
es2011,es,2011,1615074183.36
go2011,go,2011,30034160
ma2011,ma,2011,20098e3
mt2011,mt,2011,5461238.630000001
ms2011,ms,2011,1959514.6500000001
mg2011,mg,2011,692524206.54
pa2011,pa,2011,185384608.6
pb2011,pb,2011,20590186.89
pr2011,pr,2011,199097203.26
pe2011,pe,2011,529408836.96000004
pi2011,pi,2011,13460405.55
rj2011,rj,2011,240053324.39999998
rn2011,rn,2011,273269934.46
rs2011,rs,2011,222466578.67
ro2011,ro,2011,23622345
rr2011,rr,2011,0
sc2011,sc,2011,58636618.3
sp2011,sp,2011,5484620397.139999
se2011,se,2011,53256702.88
to2011,to,2011,25733477.42
ac2012,ac,2012,2086250
al2012,al,2012,786e4
ap2012,ap,2012,437733218
am2012,am,2012,29645265.479999997
ba2012,ba,2012,436520696.94
ce2012,ce,2012,138195644.03
df2012,df,2012,302689558.9
es2012,es,2012,1572576582.49
go2012,go,2012,1317612314.1499999
ma2012,ma,2012,1144e3
mt2012,mt,2012,452e4
ms2012,ms,2012,12004637.11
mg2012,mg,2012,0
pa2012,pa,2012,182564409.86
pb2012,pb,2012,111023374.75999999
pr2012,pr,2012,341874065.18
pe2012,pe,2012,681699081.19
pi2012,pi,2012,117242013.6
rj2012,rj,2012,207086210.70999998
rn2012,rn,2012,219841772.65
rs2012,rs,2012,242474613.89
ro2012,ro,2012,5e6
rr2012,rr,2012,92846179.53
sc2012,sc,2012,34719816.78
sp2012,sp,2012,4059768215.1400003
se2012,se,2012,37441301.93
to2012,to,2012,13398240.91
sc2013,sc,2013,244797528.72
ms2013,ms,2013,1371208.73
go2013,go,2013,362160928.36
es2013,es,2013,1130780758.8
rj2013,rj,2013,217451012.91
sp2013,sp,2013,4718377556.76
rs2013,rs,2013,95485212.84
ba2013,ba,2013,649861060.7
mt2013,mt,2013,12194341.63
al2013,al,2013,87288123.95
mg2013,mg,2013,1370061515.02
pr2013,pr,2013,209044019.15
pe2013,pe,2013,956789401.18
am2013,am,2013,82943681.34
ma2013,ma,2013,35216381.25
df2013,df,2013,275995894.34
to2013,to,2013,35062221.75
ac2013,ac,2013,47036571.34
se2013,se,2013,16320173.4
ap2013,ap,2013,274011556.96
ce2013,ce,2013,323191160.44
pa2013,pa,2013,174081849
pi2013,pi,2013,133324922.92
pb2013,pb,2013,118510795.07
rn2013,rn,2013,296417762.35
rr2013,rr,2013,523840970.52
es2014,es,2014,565002356.16
sc2014,sc,2014,74936470.69
pb2014,pb,2014,110341094.29
ro2014,ro,2014,6506718.7
ap2014,ap,2014,349664321.9
pa2014,pa,2014,188374871.66
rs2014,rs,2014,322690498.82
rj2014,rj,2014,90255754.23
sp2014,sp,2014,5220245342.53
am2014,am,2014,15746935.09
al2014,al,2014,13680072.33
go2014,go,2014,388777206.39
pe2014,pe,2014,636690698.18
rn2014,rn,2014,247968155.88
ms2014,ms,2014,44617778.49
mt2014,mt,2014,76905296.98
ac2014,ac,2014,5e5
mg2014,mg,2014,1457181521.46
ce2014,ce,2014,434100868.47
to2014,to,2014,17644556.12
df2014,df,2014,280690838.98
ba2014,ba,2014,300194892.13
pi2014,pi,2014,20017713.65
pr2014,pr,2014,518110798.4
se2014,se,2014,21125727.54
rr2014,rr,2014,100891768.04
pa2015,pa,2015,192193544.97
mg2015,mg,2015,422468292.22
sc2015,sc,2015,123032367.42
ap2015,ap,2015,11388344.8
es2015,es,2015,549400804.96
rr2015,rr,2015,49254229.43
mt2015,mt,2015,10875793.56
ce2015,ce,2015,119345616.43
pr2015,pr,2015,171407862.66
ro2015,ro,2015,1108e4
rj2015,rj,2015,43298796.68
sp2015,sp,2015,4467760513.35
pe2015,pe,2015,298520111.77
pi2015,pi,2015,53238988.14
am2015,am,2015,51782760.33
al2015,al,2015,38999003.2
df2015,df,2015,85419795.28
se2015,se,2015,11371235.69
ma2015,ma,2015,1e6
rn2015,rn,2015,381565795.83
ms2015,ms,2015,473411.76
ba2015,ba,2015,281031070.53
ac2015,ac,2015,4189917.73
to2015,to,2015,8749094.73
rs2015,rs,2015,150776370.27
pb2015,pb,2015,77412163.06
go2015,go,2015,89018523.24
pi2016,pi,2016,326072053.08
ac2016,ac,2016,3931e3
es2016,es,2016,427633513.18
pa2016,pa,2016,175500979.34
sc2016,sc,2016,52706137.21
ro2016,ro,2016,3e6
mt2016,mt,2016,1385432.9
ap2016,ap,2016,11284619.45
df2016,df,2016,82071570.32
pb2016,pb,2016,28713345.92
pe2016,pe,2016,305530100.82
rn2016,rn,2016,225395723.19
ce2016,ce,2016,231520004.19
ms2016,ms,2016,8178811.18
rj2016,rj,2016,28027852.82
al2016,al,2016,4411100.88
se2016,se,2016,37324013.42
ma2016,ma,2016,11588311.7
ba2016,ba,2016,250438117.78
sp2016,sp,2016,5231163950.03
to2016,to,2016,11237481.6
mg2016,mg,2016,295289628.63
am2016,am,2016,103909889.58
pr2016,pr,2016,2202141009.71
rs2016,rs,2016,255907470.93
go2016,go,2016,49740067.31
rr2016,rr,2016,2284153.58
