id,state,year,value
ac2008,ac,2008,575447020.7199999
al2008,al,2008,369107410.85
am2008,am,2008,1265917703.75
ap2008,ap,2008,239520972.60999998
ba2008,ba,2008,1201702732.8500001
ce2008,ce,2008,1078160856.8000002
df2008,df,2008,1050977341.38
es2008,es,2008,787936782.04
go2008,go,2008,758385748.69
ma2008,ma,2008,853663598.7
mg2008,mg,2008,3740177483.5100007
ms2008,ms,2008,749552091.88
mt2008,mt,2008,838073192.15
pa2008,pa,2008,919115328.55
pb2008,pb,2008,387423686.83000004
pe2008,pe,2008,741901432.35
pi2008,pi,2008,432528584.78999996
pr2008,pr,2008,863196647.24
rj2008,rj,2008,1754478914.47
rn2008,rn,2008,297340076.59000003
ro2008,ro,2008,545354628.34
rr2008,rr,2008,205448665.2
rs2008,rs,2008,595291686.66
sc2008,sc,2008,784334306.54
se2008,se,2008,241969423.91
sp2008,sp,2008,6992323070.56
to2008,to,2008,1007020346.61
ac2009,ac,2009,1015103594.88
al2009,al,2009,558774278.01
am2009,am,2009,1703007437.4
ap2009,ap,2009,260643551.29
ba2009,ba,2009,1329025133.52
ce2009,ce,2009,1984618244.26
df2009,df,2009,1382848415.68
es2009,es,2009,1177955849.32
go2009,go,2009,763374337.4
ma2009,ma,2009,1104567202.48
mg2009,mg,2009,3585387829.16
ms2009,ms,2009,527089792.57
mt2009,mt,2009,1172097205.07
pa2009,pa,2009,827321861.65
pb2009,pb,2009,470570304.86
pe2009,pe,2009,1120428078.15
pi2009,pi,2009,770524525.25
pr2009,pr,2009,985519063.66
rj2009,rj,2009,2736537190.33
rn2009,rn,2009,491720638.31
ro2009,ro,2009,780295882.36
rr2009,rr,2009,229281671.99
rs2009,rs,2009,598048785.62
sc2009,sc,2009,1081146144.13
se2009,se,2009,257484970.23
sp2009,sp,2009,10289699068.95
to2009,to,2009,772646329.97
ac2010,ac,2010,1096715381.43
al2010,al,2010,847140035.2
am2010,am,2010,1696249385.7499998
ap2010,ap,2010,239857006.03
ba2010,ba,2010,2046146130.78
ce2010,ce,2010,3254037983.4599996
df2010,df,2010,1041462545.27
es2010,es,2010,1593120636.77
go2010,go,2010,1179661698.28
ma2010,ma,2010,1174095103.04
mg2010,mg,2010,3988149063.25
ms2010,ms,2010,1020973762.66
mt2010,mt,2010,802225825.0899999
pa2010,pa,2010,1332710235.15
pb2010,pb,2010,546081228.6500001
pe2010,pe,2010,1819976494.0399997
pi2010,pi,2010,763767147.6199999
pr2010,pr,2010,1350608385.2500002
rj2010,rj,2010,5165741377.940001
rn2010,rn,2010,490729067.00000006
ro2010,ro,2010,602173583.77
rr2010,rr,2010,241648780.35000002
rs2010,rs,2010,1864480168.44
sc2010,sc,2010,1088781097.76
se2010,se,2010,501271003.06000006
sp2010,sp,2010,12641410030.78
to2010,to,2010,872538481.48
ac2011,ac,2011,575643335.8700001
al2011,al,2011,557594386.63
ap2011,ap,2011,316036973.65999997
am2011,am,2011,1532369050
ba2011,ba,2011,1752502440.9099998
ce2011,ce,2011,2686801535.8499994
df2011,df,2011,974860654.47
es2011,es,2011,1206058538.42
go2011,go,2011,526000003.96
ma2011,ma,2011,982087858.66
mt2011,mt,2011,775585404.59
ms2011,ms,2011,1079992378.8899999
mg2011,mg,2011,3292704264.67
pa2011,pa,2011,552381918.3100001
pb2011,pb,2011,448906043.13000005
pr2011,pr,2011,759878299.8999999
pe2011,pe,2011,1929123557.9600003
pi2011,pi,2011,525347448.08000004
rj2011,rj,2011,4715017174.290001
rn2011,rn,2011,283666373.75
rs2011,rs,2011,882037056.59
ro2011,ro,2011,484666575.77000004
rr2011,rr,2011,0
sc2011,sc,2011,966393537.78
sp2011,sp,2011,9684420890.3
se2011,se,2011,422189869.63
to2011,to,2011,536839577.52000004
ac2012,ac,2012,812106234.78
al2012,al,2012,746087159.7099999
ap2012,ap,2012,273982895.83000004
am2012,am,2012,1490749635.4099998
ba2012,ba,2012,1836280061.9699998
ce2012,ce,2012,2070703199.6799996
df2012,df,2012,1561942237.05
es2012,es,2012,1164716291.95
go2012,go,2012,687430462.53
ma2012,ma,2012,1139167292.38
mt2012,mt,2012,853731785.8100001
ms2012,ms,2012,857071586.88
mg2012,mg,2012,7587728422.46
pa2012,pa,2012,923636005.1299999
pb2012,pb,2012,657084473.33
pr2012,pr,2012,1303053921.32
pe2012,pe,2012,2293195488.3700004
pi2012,pi,2012,710346494.87
rj2012,rj,2012,5606754193.45
rn2012,rn,2012,414002843.42
rs2012,rs,2012,980755726.59
ro2012,ro,2012,448016379.36
rr2012,rr,2012,393417372.78000003
sc2012,sc,2012,972591470.9700001
sp2012,sp,2012,8101099083.059999
se2012,se,2012,369076496.91999996
to2012,to,2012,547797975.9200001
sc2013,sc,2013,1251047735.55
ms2013,ms,2013,1285713842.62
go2013,go,2013,1552628091.67
es2013,es,2013,1414938460.88
rj2013,rj,2013,7078095332.04
sp2013,sp,2013,13339905101.81
rs2013,rs,2013,1333977299.03
ba2013,ba,2013,2037262606.14
mt2013,mt,2013,2363573141.93
al2013,al,2013,837334246.32
mg2013,mg,2013,4275075844.34
pr2013,pr,2013,1790133872.44
pe2013,pe,2013,2858504704.19
am2013,am,2013,2406378401.77
ma2013,ma,2013,1597240117.52
df2013,df,2013,2180610380.13
to2013,to,2013,675775752.47
ac2013,ac,2013,891493708.88
se2013,se,2013,246265625.2
ap2013,ap,2013,502974350.48
ce2013,ce,2013,2239533896.14
ro2013,ro,2013,759275626.08
pa2013,pa,2013,1202409352.45
pi2013,pi,2013,1155361397.07
pb2013,pb,2013,960969307.28
rn2013,rn,2013,364958455.87
rr2013,rr,2013,562981041.36
es2014,es,2014,1872420155.44
sc2014,sc,2014,2191033293.89
pb2014,pb,2014,1157701728.05
ro2014,ro,2014,533609949.53
ap2014,ap,2014,407540646.99
pa2014,pa,2014,1489567929.75
rs2014,rs,2014,1452065217.78
rj2014,rj,2014,7666201633.87
sp2014,sp,2014,12944816199.27
am2014,am,2014,2214697283.73
al2014,al,2014,1268867351.06
go2014,go,2014,2530719140.5
pe2014,pe,2014,2543388194.94
ma2014,ma,2014,1694677196.59
rn2014,rn,2014,360314121.34
ms2014,ms,2014,1721966526.62
mt2014,mt,2014,1763733063.75
ac2014,ac,2014,1104243702.17
mg2014,mg,2014,4168386425.62
ce2014,ce,2014,3475765085.85
to2014,to,2014,940507639.52
df2014,df,2014,1642940866.65
ba2014,ba,2014,2540215784.98
pi2014,pi,2014,918602339.68
pr2014,pr,2014,1545227111.3
se2014,se,2014,500244930.08
rr2014,rr,2014,357103257.71
pa2015,pa,2015,1359924415.43
mg2015,mg,2015,3186562514.6
sc2015,sc,2015,1816405969.42
ap2015,ap,2015,439542234.29
es2015,es,2015,620473297.47
rr2015,rr,2015,171247445.59
mt2015,mt,2015,848903569.86
ce2015,ce,2015,2411486940.1
pr2015,pr,2015,1031571527.82
ro2015,ro,2015,547273053.26
rj2015,rj,2015,6701739295.25
sp2015,sp,2015,8987379774.36
