id,state,year,value
ac2008,ac,2008,49307203.67
al2008,al,2008,164486045.32000002
am2008,am,2008,107572169.06
ap2008,ap,2008,6806710.42
ba2008,ba,2008,565027310.39
ce2008,ce,2008,212115579.25
df2008,df,2008,117511652.29
es2008,es,2008,144537717.42
go2008,go,2008,510192988.47
ma2008,ma,2008,407812879.58
mg2008,mg,2008,2544018787.36
ms2008,ms,2008,180661152.10999998
mt2008,mt,2008,419966047.66999996
pa2008,pa,2008,129913803.01
pb2008,pb,2008,104412718.64999999
pe2008,pe,2008,257335229.92000002
pi2008,pi,2008,216208874.05
pr2008,pr,2008,687745055.6
rj2008,rj,2008,2514178500.5899997
rn2008,rn,2008,69680685.2
ro2008,ro,2008,110249258.00999999
rr2008,rr,2008,13364068.04
rs2008,rs,2008,266190411.98000002
sc2008,sc,2008,666669789.12
se2008,se,2008,78842590.31
sp2008,sp,2008,5980094225.54
to2008,to,2008,34973974.36
ac2009,ac,2009,55848816.61
al2009,al,2009,134734370.28
am2009,am,2009,119389294.04
ap2009,ap,2009,10969225.99
ba2009,ba,2009,525354318.27
ce2009,ce,2009,191144566.79
df2009,df,2009,129417334.2
es2009,es,2009,139266789.8
go2009,go,2009,560449634.91
ma2009,ma,2009,453869334.11
mg2009,mg,2009,2197015899.82
ms2009,ms,2009,182669320.83
mt2009,mt,2009,473151601.78
pa2009,pa,2009,142346146.95
pb2009,pb,2009,100736975.37
pe2009,pe,2009,250591714.13
pi2009,pi,2009,155446768.08
pr2009,pr,2009,680143229.51
rj2009,rj,2009,2293140484.08
rn2009,rn,2009,68305819.11
ro2009,ro,2009,110474501.64
rr2009,rr,2009,13419238.21
rs2009,rs,2009,202922351.16
sc2009,sc,2009,765316861.26
se2009,se,2009,77613172.2
sp2009,sp,2009,5757555230.13
to2009,to,2009,33837311.83
ac2010,ac,2010,95702934.92999999
al2010,al,2010,173215353.09
am2010,am,2010,154811368.18
ap2010,ap,2010,21495110.98
ba2010,ba,2010,510138491.46999997
ce2010,ce,2010,189008956.54999998
df2010,df,2010,138980165.60000002
es2010,es,2010,139497607.8
go2010,go,2010,645970511.14
ma2010,ma,2010,555507842.0999999
mg2010,mg,2010,2242732657.53
ms2010,ms,2010,164461466.41
mt2010,mt,2010,578760685.23
pa2010,pa,2010,171069827.98999998
pb2010,pb,2010,109475291.58
pe2010,pe,2010,275078923.55
pi2010,pi,2010,133820362.67999999
pr2010,pr,2010,698654983.51
rj2010,rj,2010,2334210622.19
rn2010,rn,2010,75254436.63
ro2010,ro,2010,113759073.58000001
rr2010,rr,2010,32103495.45
rs2010,rs,2010,164256055.99
sc2010,sc,2010,814236874
se2010,se,2010,101375046.18
sp2010,sp,2010,6216034968.46
to2010,to,2010,49353032.519999996
ac2011,ac,2011,108506541.00999999
al2011,al,2011,184515297.27
ap2011,ap,2011,26309453.529999997
am2011,am,2011,186640034.3
ba2011,ba,2011,503486354.13000005
ce2011,ce,2011,219495252.51
df2011,df,2011,146862631.5
es2011,es,2011,150218656.13
go2011,go,2011,807326147.04
ma2011,ma,2011,658845395.85
mt2011,mt,2011,444628655.94
ms2011,ms,2011,190355032.64000002
mg2011,mg,2011,2568300507
pa2011,pa,2011,205221561.43
pb2011,pb,2011,106236492.17
pr2011,pr,2011,676296230.94
pe2011,pe,2011,311755870.61
pi2011,pi,2011,140521153.96
rj2011,rj,2011,2469236442.53
rn2011,rn,2011,83793336.12
rs2011,rs,2011,124591081.61
ro2011,ro,2011,125885294.42999999
rr2011,rr,2011,0
sc2011,sc,2011,998236999.5600001
sp2011,sp,2011,7100955821.780001
se2011,se,2011,119830075.27
to2011,to,2011,60435190.28
ac2012,ac,2012,118580274.27000001
al2012,al,2012,263638829.24
ap2012,ap,2012,24893490.58
am2012,am,2012,181216608.94
ba2012,ba,2012,515961268.4
ce2012,ce,2012,247099324.96
df2012,df,2012,146471414.39
es2012,es,2012,157433324.23999998
go2012,go,2012,955811275.32
ma2012,ma,2012,702747526.9699999
mt2012,mt,2012,210875379.25
ms2012,ms,2012,214636644.10999998
mg2012,mg,2012,2347645105.31
pa2012,pa,2012,199131778.89999998
pb2012,pb,2012,115007886
pr2012,pr,2012,681926804.7
pe2012,pe,2012,368040800.67
pi2012,pi,2012,135407618.07
rj2012,rj,2012,2633461022.46
rn2012,rn,2012,86547990.99000001
rs2012,rs,2012,1485511115.91
ro2012,ro,2012,118963169.46
rr2012,rr,2012,52492260.28
sc2012,sc,2012,1642840091.19
sp2012,sp,2012,7701378207.13
se2012,se,2012,130939659.32
to2012,to,2012,72727098.02
sc2013,sc,2013,668313458.28
ms2013,ms,2013,212863339.99
go2013,go,2013,1198927165.48
es2013,es,2013,193215857.43
rj2013,rj,2013,2931170058.73
sp2013,sp,2013,8374233419.98
rs2013,rs,2013,1529251503.91
ba2013,ba,2013,497803875.93
mt2013,mt,2013,289133201
al2013,al,2013,277288342.96
mg2013,mg,2013,2666432325.27
pr2013,pr,2013,697793331.57
pe2013,pe,2013,462283718.76
am2013,am,2013,194420109.9
ma2013,ma,2013,464209141.91
df2013,df,2013,160575546.07
to2013,to,2013,101529445.75
ac2013,ac,2013,143100869.08
se2013,se,2013,136863811.6
ap2013,ap,2013,47957401.54
ce2013,ce,2013,246480195.8
ro2013,ro,2013,125835283.63
pa2013,pa,2013,173147076.61
pi2013,pi,2013,109419800.21
pb2013,pb,2013,121243624.39
rn2013,rn,2013,76911875.98
rr2013,rr,2013,75389988.19
es2014,es,2014,250537250.94
sc2014,sc,2014,810887866.64
pb2014,pb,2014,123711816.49
ro2014,ro,2014,87822072.2
ap2014,ap,2014,82115698.58
pa2014,pa,2014,194679053.34
rs2014,rs,2014,1560296842.19
rj2014,rj,2014,3232684942.31
sp2014,sp,2014,9592061539.04
am2014,am,2014,257205088.76
al2014,al,2014,246133464.97
go2014,go,2014,1053787483.56
pe2014,pe,2014,539373602.45
ma2014,ma,2014,255492506.34
rn2014,rn,2014,74366476.84
ms2014,ms,2014,210974752.85
mt2014,mt,2014,367535096.17
ac2014,ac,2014,154438496.45
mg2014,mg,2014,2842738535.69
ce2014,ce,2014,297663290.94
to2014,to,2014,111042314.12
df2014,df,2014,183052105.68
ba2014,ba,2014,543165998.28
pi2014,pi,2014,122470605.87
pr2014,pr,2014,734180531.84
se2014,se,2014,153637832.83
rr2014,rr,2014,94126063.1
pa2015,pa,2015,227753076.22
mg2015,mg,2015,3309966453.74
sc2015,sc,2015,957286003.26
ap2015,ap,2015,137145262.1
es2015,es,2015,303467446.68
rr2015,rr,2015,94062755.96
mt2015,mt,2015,472789703.36
ce2015,ce,2015,414556094.18
pr2015,pr,2015,816707306.19
ro2015,ro,2015,43903396.22
rj2015,rj,2015,3834758585.53
sp2015,sp,2015,9683230342.26
pe2015,pe,2015,633047579.04
pi2015,pi,2015,136062794.45
am2015,am,2015,326649103.54
al2015,al,2015,257574120.62
df2015,df,2015,230084944.07
se2015,se,2015,174450228.12
ma2015,ma,2015,346355827.63
rn2015,rn,2015,95309687.38
ms2015,ms,2015,274716450.68
ba2015,ba,2015,633856978.55
ac2015,ac,2015,187151372.97
to2015,to,2015,158338065.67
rs2015,rs,2015,1664534579.9
pb2015,pb,2015,167365886.9
go2015,go,2015,1009269178.83
pi2016,pi,2016,155926030.01
ac2016,ac,2016,180307453.55
es2016,es,2016,314595539.46
pa2016,pa,2016,169579781.45
sc2016,sc,2016,671254327.44
ro2016,ro,2016,39755356.5
mt2016,mt,2016,380318323.16
ap2016,ap,2016,121032373.15
df2016,df,2016,197127950.63
pb2016,pb,2016,172363266.43
pe2016,pe,2016,519535966.11
rn2016,rn,2016,103595165.58
ce2016,ce,2016,446076327.02
ms2016,ms,2016,144651115.55
rj2016,rj,2016,2729723372.37
al2016,al,2016,136739753.51
se2016,se,2016,148565813.32
ma2016,ma,2016,390918647.26
ba2016,ba,2016,556601894.44
sp2016,sp,2016,6384765558.21
to2016,to,2016,184469783.61
mg2016,mg,2016,1389033519.05
am2016,am,2016,344510444.08
pr2016,pr,2016,355047922.38
rs2016,rs,2016,603396401.9
go2016,go,2016,927217893.79
rr2016,rr,2016,125990268.4
