id,state,year,value
ac2008,ac,2008,1219017311.3999999
al2008,al,2008,2318259670.8900003
am2008,am,2008,3075449458.53
ap2008,ap,2008,1164467169.4799998
ba2008,ba,2008,9380190220.19
ce2008,ce,2008,4944987361.260001
df2008,df,2008,5406689314.23
es2008,es,2008,2992823628.5699997
go2008,go,2008,5098479022.73
ma2008,ma,2008,2981249002.4
mg2008,mg,2008,16674559156.08
ms2008,ms,2008,2172630211.6600003
mt2008,mt,2008,3490215408.32
pa2008,pa,2008,3495512107.2400002
pb2008,pb,2008,2553450192.64
pe2008,pe,2008,7089583920.02
pi2008,pi,2008,1649923125.51
pr2008,pr,2008,8709956850.800001
rj2008,rj,2008,10708177851.07
rn2008,rn,2008,2625657148.319999
ro2008,ro,2008,1528795532.3500001
rr2008,rr,2008,676607111.52
rs2008,rs,2008,11829125476.01
sc2008,sc,2008,3970546491.229999
se2008,se,2008,2429138740.7299995
sp2008,sp,2008,39741569385.69
to2008,to,2008,1481381659.4300003
ac2009,ac,2009,1370927886.48
al2009,al,2009,2571700027.03
am2009,am,2009,3438629249.52
ap2009,ap,2009,1221072282.22
ba2009,ba,2009,10500243544.09
ce2009,ce,2009,5660664015.28
df2009,df,2009,4960723152.39
es2009,es,2009,3410631646.77
go2009,go,2009,5580106881.98
ma2009,ma,2009,3464742537.82
mg2009,mg,2009,17576557925.28
ms2009,ms,2009,2444796852.51
mt2009,mt,2009,3925902090.3
pa2009,pa,2009,3901066994.5
pb2009,pb,2009,3061427867.12
pe2009,pe,2009,7934893586.54
pi2009,pi,2009,1861572185.4
pr2009,pr,2009,9536373890.61
rj2009,rj,2009,11188129961.16
rn2009,rn,2009,2925714341.75
ro2009,ro,2009,1767694518.91
rr2009,rr,2009,738833354.87
rs2009,rs,2009,11601193891.14
sc2009,sc,2009,4312513417.33
se2009,se,2009,2858493176.54
sp2009,sp,2009,42533759081.29
to2009,to,2009,1780460753.98
ac2010,ac,2010,1468588384.18
al2010,al,2010,2481859903.2300005
am2010,am,2010,3717563655.7700005
ap2010,ap,2010,1381762208.17
ba2010,ba,2010,11470359557.810001
ce2010,ce,2010,6523906340.58
df2010,df,2010,6842153858.190001
es2010,es,2010,5355892369.92
go2010,go,2010,7120260600.380001
ma2010,ma,2010,3398581820.14
mg2010,mg,2010,20422010678.92
ms2010,ms,2010,2819363242.05
mt2010,mt,2010,4530011615.440001
pa2010,pa,2010,4411730479.5
pb2010,pb,2010,3632467693.82
pe2010,pe,2010,9126014419.5
pi2010,pi,2010,2125920112.95
pr2010,pr,2010,10856805267.130001
rj2010,rj,2010,12970117264.280003
rn2010,rn,2010,3239812802.54
ro2010,ro,2010,2012486848.8999996
rr2010,rr,2010,879275568.86
rs2010,rs,2010,13705972084.54
sc2010,sc,2010,4931577152.029999
se2010,se,2010,3417517574.5
sp2010,sp,2010,46542501422.659996
to2010,to,2010,2172790198.22
ac2011,ac,2011,1607328109.94
al2011,al,2011,2779092057.95
ap2011,ap,2011,1541812251.8100004
am2011,am,2011,4354399453.059999
ba2011,ba,2011,12828656661.88
ce2011,ce,2011,7155508859.93
df2011,df,2011,7779175102.23
es2011,es,2011,5904534433.370001
go2011,go,2011,7960016664.660002
ma2011,ma,2011,3428955615.26
mt2011,mt,2011,5328185425.65
ms2011,ms,2011,3346881495.95
mg2011,mg,2011,23582129565.4
pa2011,pa,2011,6645910427.2300005
pb2011,pb,2011,3661135895.210001
pr2011,pr,2011,12924244155.690002
pe2011,pe,2011,10104561264.040003
pi2011,pi,2011,2437387579.4
rj2011,rj,2011,14264393909.499998
rn2011,rn,2011,3736708467.01
rs2011,rs,2011,14414184420.560001
ro2011,ro,2011,2412019392.2599998
rr2011,rr,2011,2451337058.03
sc2011,sc,2011,8504480396.49
sp2011,sp,2011,51416486588.33
se2011,se,2011,2855675503.7300005
to2011,to,2011,2756599383.539999
ac2012,ac,2012,2002727990.42
al2012,al,2012,3054801264.0899997
ap2012,ap,2012,1955663603
am2012,am,2012,5206044284.9400015
ba2012,ba,2012,14481698472.640001
ce2012,ce,2012,7493882078.259998
df2012,df,2012,8665657329.81
es2012,es,2012,6596246497.260001
go2012,go,2012,9242837241.279999
ma2012,ma,2012,4936166455.750001
mt2012,mt,2012,6097666399.920001
ms2012,ms,2012,4986681235.07
