id,state,year,value
ac2008,ac,2008,2791461275.6899996
al2008,al,2008,4742253203.41
am2008,am,2008,8567719425.839999
ap2008,ap,2008,2807983706.5299997
ba2008,ba,2008,20172955352.030003
ce2008,ce,2008,11148682744.91
df2008,df,2008,11142567693.679998
es2008,es,2008,10783974155.34
go2008,go,2008,12135412706.699999
ma2008,ma,2008,7910982615.659998
mg2008,mg,2008,42378959652.96999
ms2008,ms,2008,6870740751.45
mt2008,mt,2008,8398318528.309999
pa2008,pa,2008,10168125598.099998
pb2008,pb,2008,5806148397.360001
pe2008,pe,2008,13628856969.900002
pi2008,pi,2008,4526702070.53
pr2008,pr,2008,20530162030.910004
rj2008,rj,2008,41047326227.549995
rn2008,rn,2008,6122837717.63
ro2008,ro,2008,4298019857.78
rr2008,rr,2008,1970403494.49
rs2008,rs,2008,24659512593.709995
sc2008,sc,2008,12016469528.6
se2008,se,2008,4933757856.93
sp2008,sp,2008,107688074195.29001
to2008,to,2008,4323631476.009999
ac2009,ac,2009,3091974481.66
al2009,al,2009,4882240265.36
am2009,am,2009,8302362353.56
ap2009,ap,2009,2694377619.31
ba2009,ba,2009,20915399691.11
ce2009,ce,2009,11992539968.44
df2009,df,2009,11912482064.17
es2009,es,2009,10537451579.76
go2009,go,2009,12564799098.1
ma2009,ma,2009,8285809593.63
mg2009,mg,2009,41063482874.44
ms2009,ms,2009,6977155190.52
mt2009,mt,2009,8873418409.63
pa2009,pa,2009,10841893011.32
pb2009,pb,2009,6257240451.47
pe2009,pe,2009,14657674821.45
pi2009,pi,2009,5245373550.35
pr2009,pr,2009,21673425339.95
rj2009,rj,2009,39100494283.86
rn2009,rn,2009,6459334482.28
ro2009,ro,2009,4398708031.49
rr2009,rr,2009,2046508027.35
rs2009,rs,2009,26157932905.94
sc2009,sc,2009,15000023181.02
se2009,se,2009,5134278607.8
sp2009,sp,2009,113618045091.79
to2009,to,2009,4321248163.16
ac2010,ac,2010,3367652164.48
al2010,al,2010,5583817979.78
am2010,am,2010,10066126581.660002
ap2010,ap,2010,2973787778.53
ba2010,ba,2010,24652004774.239998
ce2010,ce,2010,13905613551.24
df2010,df,2010,13228624387.65
es2010,es,2010,11641468123.090002
go2010,go,2010,14728132239.280003
ma2010,ma,2010,9194638314.16
mg2010,mg,2010,47422585290.89001
ms2010,ms,2010,7535406555.889999
mt2010,mt,2010,9681116941.170002
pa2010,pa,2010,12338475253.03
pb2010,pb,2010,6904311802.95
pe2010,pe,2010,17282282600.739998
pi2010,pi,2010,5934492790.019999
pr2010,pr,2010,24214400223.27
rj2010,rj,2010,46563868508.520004
rn2010,rn,2010,7421765688.410001
ro2010,ro,2010,5087412700.24
rr2010,rr,2010,2282723024.04
rs2010,rs,2010,30796292859.32
sc2010,sc,2010,17359182463.090004
se2010,se,2010,6100508931.07
sp2010,sp,2010,131045311418.60999
to2010,to,2010,4943635859.96
ac2011,ac,2011,3771196466.5499997
al2011,al,2011,6309604687.530002
ap2011,ap,2011,3580437970.390001
am2011,am,2011,11413660498.11
ba2011,ba,2011,27440408829.429996
ce2011,ce,2011,15692331348.399998
df2011,df,2011,14681589667.550001
es2011,es,2011,13766320312.710001
go2011,go,2011,17846335444.07
ma2011,ma,2011,10744608996.19
mt2011,mt,2011,10871902575.640001
ms2011,ms,2011,8719070003.340002
mg2011,mg,2011,52836665478.88999
pa2011,pa,2011,14087978738.010002
pb2011,pb,2011,8053986538.099999
pr2011,pr,2011,27768170272.78001
pe2011,pe,2011,20293978851.99
pi2011,pi,2011,6086725196.520001
rj2011,rj,2011,52464140310.34
rn2011,rn,2011,8077054149.130001
rs2011,rs,2011,32760444064.360004
ro2011,ro,2011,6160453353.65
rr2011,rr,2011,5280982303.69
sc2011,sc,2011,20281870975.629997
sp2011,sp,2011,142312289953.72998
se2011,se,2011,6424817670.94
to2011,to,2011,5865530009.599999
ac2012,ac,2012,4181084864.870001
al2012,al,2012,6658181503.900001
ap2012,ap,2012,4112686110.0500007
am2012,am,2012,13077243676.109999
ba2012,ba,2012,30557271794.43999
ce2012,ce,2012,16696244850.029999
df2012,df,2012,16227310875.769999
es2012,es,2012,15278525038.190002
go2012,go,2012,20168639111.99
ma2012,ma,2012,12291591664.279999
mt2012,mt,2012,13699867756.4
ms2012,ms,2012,9529653301.939999
mg2012,mg,2012,57546135222.48
pa2012,pa,2012,17068566227.359999
