id,state,year,value
ac2008,ac,2008,85985807.63
al2008,al,2008,161906929.71
am2008,am,2008,584322584.61
ap2008,ap,2008,137031196.15
ba2008,ba,2008,1027653545.86
ce2008,ce,2008,726416407.89
df2008,df,2008,825541907.76
es2008,es,2008,170478185
go2008,go,2008,791215958.78
ma2008,ma,2008,402374107.16
mg2008,mg,2008,2755893100.33
ms2008,ms,2008,183286465.27
mt2008,mt,2008,234970688.62
pa2008,pa,2008,408307858.04
pb2008,pb,2008,183315441.77
pe2008,pe,2008,542058425.28
pi2008,pi,2008,223124311.64
pr2008,pr,2008,94643133.96
rj2008,rj,2008,858376560.13
rn2008,rn,2008,210444467.63
ro2008,ro,2008,82068370.77
rr2008,rr,2008,39438344.87
rs2008,rs,2008,1169861505.82
sc2008,sc,2008,771630830.93
se2008,se,2008,510546430.04
sp2008,sp,2008,2959097166.5
to2008,to,2008,146016632.66
ac2009,ac,2009,122920560.79
al2009,al,2009,152558154.06
am2009,am,2009,518148717.54
ap2009,ap,2009,53696420.22
ba2009,ba,2009,1226912995.8
ce2009,ce,2009,838253825.08
df2009,df,2009,880575073.72
es2009,es,2009,193138292.99
go2009,go,2009,879626171.82
ma2009,ma,2009,455559672.91
mg2009,mg,2009,1452393994.44
ms2009,ms,2009,208011760.27
mt2009,mt,2009,267163133.21
pa2009,pa,2009,465814944.33
pb2009,pb,2009,224259279.85
pe2009,pe,2009,568960398.64
pi2009,pi,2009,239231638.85
pr2009,pr,2009,99542938.44
rj2009,rj,2009,905213538.64
rn2009,rn,2009,213943730.4
ro2009,ro,2009,114723955.8
rr2009,rr,2009,45072712.89
rs2009,rs,2009,1277202741.03
sc2009,sc,2009,441022940.22
se2009,se,2009,574012269.56
sp2009,sp,2009,3163963043.96
to2009,to,2009,169933653.22
ac2010,ac,2010,128957644.38999999
al2010,al,2010,56142218.46
am2010,am,2010,649742729.89
ap2010,ap,2010,24392902.970000003
ba2010,ba,2010,1384473938.64
ce2010,ce,2010,976107938.86
df2010,df,2010,1019334317.93
es2010,es,2010,216362936.48999995
go2010,go,2010,994290649.2800001
ma2010,ma,2010,250276128.96
mg2010,mg,2010,1702356218.86
ms2010,ms,2010,237067013.10000005
mt2010,mt,2010,299580959.57
pa2010,pa,2010,545077374.78
pb2010,pb,2010,234148017.01000002
pe2010,pe,2010,715224898.55
pi2010,pi,2010,287609079.03999996
pr2010,pr,2010,108022397.38
rj2010,rj,2010,1040247230.7800001
rn2010,rn,2010,250854461.33
ro2010,ro,2010,125718277.69999999
rr2010,rr,2010,49177324.989999995
rs2010,rs,2010,1392033710.9699998
sc2010,sc,2010,504535383.83
se2010,se,2010,729319981.3100001
sp2010,sp,2010,3379993468.5699997
to2010,to,2010,230479274.57000002
ac2011,ac,2011,120438544.65
al2011,al,2011,0
ap2011,ap,2011,79489850.85000001
am2011,am,2011,904977034.5
ba2011,ba,2011,1599077128.9900002
ce2011,ce,2011,995847966.04
df2011,df,2011,1121880667.47
es2011,es,2011,241631614.34
go2011,go,2011,1195718987.78
ma2011,ma,2011,257302117.09
mt2011,mt,2011,333480043.75
ms2011,ms,2011,260073133.20000005
mg2011,mg,2011,1739842656.63
pa2011,pa,2011,661337486.5
pb2011,pb,2011,237499295.5
pr2011,pr,2011,87791685.99
pe2011,pe,2011,759366417.1500001
pi2011,pi,2011,313325525.73
rj2011,rj,2011,1176528738.21
rn2011,rn,2011,270707578.06
rs2011,rs,2011,1650203916.4500003
ro2011,ro,2011,238930347.89
rr2011,rr,2011,50407686.99
sc2011,sc,2011,576864501.21
sp2011,sp,2011,3759444272.04
se2011,se,2011,355675529.32000005
to2011,to,2011,296252903.41
ac2012,ac,2012,121228513.69000003
al2012,al,2012,0
ap2012,ap,2012,92564034.56
am2012,am,2012,1267814719.41
ba2012,ba,2012,1809252131.6399999
ce2012,ce,2012,411332356.4100001
df2012,df,2012,1216998032.64
es2012,es,2012,265060893.80999997
go2012,go,2012,1336513416.94
ma2012,ma,2012,596054258.78
mt2012,mt,2012,380466512.93000007
ms2012,ms,2012,279731027.71
mg2012,mg,2012,2676699070.07
pa2012,pa,2012,796561261.04
pb2012,pb,2012,252630411.35
pr2012,pr,2012,131125011.16999999
pe2012,pe,2012,883936188.0300001
pi2012,pi,2012,354954021.28999996
rj2012,rj,2012,1312756562.2900002
rn2012,rn,2012,303421865.6
rs2012,rs,2012,1778306871.8500001
ro2012,ro,2012,163235633.49999997
rr2012,rr,2012,108840312.88999999
sc2012,sc,2012,635685722.1200001
sp2012,sp,2012,4393179086.65
se2012,se,2012,384491568.69
to2012,to,2012,327554842.86
sc2013,sc,2013,534641043.17
ms2013,ms,2013,308565540.66
go2013,go,2013,1396939208.77
es2013,es,2013,302774670.62
rj2013,rj,2013,1431211848.82
sp2013,sp,2013,4815423492.73
rs2013,rs,2013,2172851645.71
ba2013,ba,2013,1894876530.04
mt2013,mt,2013,421136184.46
mg2013,mg,2013,2310726678.55
pe2013,pe,2013,962954880.75
am2013,am,2013,1445580077.09
ma2013,ma,2013,327470050.05
df2013,df,2013,1296969644.85
to2013,to,2013,331439615.39
ac2013,ac,2013,128792552.58
se2013,se,2013,380650564.33
ap2013,ap,2013,40696025.62
ce2013,ce,2013,452139129.84
ro2013,ro,2013,189741557.67
pa2013,pa,2013,917677230.32
pi2013,pi,2013,386637574.46
pb2013,pb,2013,258695011.71
rn2013,rn,2013,331530440.08
rr2013,rr,2013,59013508.58
es2014,es,2014,354559775.77
sc2014,sc,2014,629805195.64
pb2014,pb,2014,277967118.67
ro2014,ro,2014,271486060.17
ap2014,ap,2014,60534782.09
pa2014,pa,2014,1115582535.13
rs2014,rs,2014,2559784199.95
rj2014,rj,2014,1886342131.14
sp2014,sp,2014,5358915030.99
am2014,am,2014,1610288720.9
go2014,go,2014,1518050119.96
pe2014,pe,2014,1110234792.49
ma2014,ma,2014,386263141.6
rn2014,rn,2014,345823022.92
ms2014,ms,2014,340833879.44
mt2014,mt,2014,481383404.57
ac2014,ac,2014,150121321.51
mg2014,mg,2014,2628267918.91
ce2014,ce,2014,520013840.08
to2014,to,2014,392063613.58
df2014,df,2014,1446824722.23
ba2014,ba,2014,2001052977.7
pi2014,pi,2014,444777663.46
se2014,se,2014,393398677.57
rr2014,rr,2014,62665547.04
pa2015,pa,2015,1201801822.64
mg2015,mg,2015,2868718423.49
sc2015,sc,2015,727619640.42
ap2015,ap,2015,99240422.27
es2015,es,2015,369412196.93
rr2015,rr,2015,80388888.88
mt2015,mt,2015,562361752.48
ce2015,ce,2015,531553409.81
ro2015,ro,2015,277022807.85
rj2015,rj,2015,1914273926.71
sp2015,sp,2015,5764835372.16
pe2015,pe,2015,1196778277.21
pi2015,pi,2015,456771210.12
am2015,am,2015,1561200370.28
al2015,al,2015,57866478.87
df2015,df,2015,1563955820.02
se2015,se,2015,396157393.38
ma2015,ma,2015,521536334
rn2015,rn,2015,395128709.88
ms2015,ms,2015,363765014.81
ba2015,ba,2015,2232873023.28
ac2015,ac,2015,156225999.66
to2015,to,2015,415191784.15
rs2015,rs,2015,2694893908.38
pb2015,pb,2015,288786613.79
go2015,go,2015,1674273586.62
pi2016,pi,2016,535182944.94
ac2016,ac,2016,162129650.74
es2016,es,2016,369630965.86
pa2016,pa,2016,1232096783.32
sc2016,sc,2016,841184095.8
ro2016,ro,2016,283005345.57
mt2016,mt,2016,693162377.1
ap2016,ap,2016,75860751.98
df2016,df,2016,1680131515.57
pb2016,pb,2016,284947106.63
pe2016,pe,2016,1146072051.49
rn2016,rn,2016,381650300.31
ce2016,ce,2016,593417228.67
ms2016,ms,2016,417901077
rj2016,rj,2016,1873251822.94
al2016,al,2016,295896167.09
se2016,se,2016,468369489.53
ma2016,ma,2016,570253332.26
ba2016,ba,2016,2605561871.1
sp2016,sp,2016,5748751200.13
to2016,to,2016,486248465.14
mg2016,mg,2016,2998887293.65
am2016,am,2016,1321895832.01
pr2016,pr,2016,1711006609.62
rs2016,rs,2016,3124433665.99
go2016,go,2016,1801531387.93
rr2016,rr,2016,71684067.03
