id,state,year,value
ac2008,ac,2008,560163762.03
al2008,al,2008,1837031401.76
am2008,am,2008,4952960505.98
ap2008,ap,2008,450276635.57
ba2008,ba,2008,10886567714.359999
ce2008,ce,2008,5314953588.089999
df2008,df,2008,7099620771.18
es2008,es,2008,7727338831.0199995
go2008,go,2008,7700905501.07
ma2008,ma,2008,2741029642.79
mg2008,mg,2008,27040370046.03
ms2008,ms,2008,4626355803.2699995
mt2008,mt,2008,4629173628.339999
pa2008,pa,2008,4683925811.29
pb2008,pb,2008,2287240540.57
pe2008,pe,2008,7120386574.589999
pi2008,pi,2008,1282748606.0800002
pr2008,pr,2008,13646675479.27
rj2008,rj,2008,22920743457.309998
rn2008,rn,2008,2715114091.4
ro2008,ro,2008,1903737195.87
rr2008,rr,2008,378446341.02000004
rs2008,rs,2008,17099109886.81
sc2008,sc,2008,6928368827.190001
se2008,se,2008,1579444476.8899999
sp2008,sp,2008,85749011588.03
to2008,to,2008,1108764866.88
ac2009,ac,2009,588057187.13
al2009,al,2009,1975458613.19
am2009,am,2009,4642084686.99
ap2009,ap,2009,470843014.55
ba2009,ba,2009,10840388417.88
ce2009,ce,2009,5799444303.05
df2009,df,2009,7392530032.69
es2009,es,2009,7285004187.18
go2009,go,2009,8121869937.13
ma2009,ma,2009,2927064522.18
mg2009,mg,2009,26800687202.07
ms2009,ms,2009,4622041837.51
mt2009,mt,2009,4867978763.16
pa2009,pa,2009,5018175912.25
pb2009,pb,2009,2564445337.54
pe2009,pe,2009,7771719329.49
pi2009,pi,2009,1865161806.89
pr2009,pr,2009,14409601839.94
rj2009,rj,2009,24884732090.56
rn2009,rn,2009,2925954862.09
ro2009,ro,2009,2045629100.34
rr2009,rr,2009,427356866.08
rs2009,rs,2009,17859070153.92
sc2009,sc,2009,9885360765.37
se2009,se,2009,1718787502.49
sp2009,sp,2009,89345606351.76
to2009,to,2009,1142739124.45
ac2010,ac,2010,714039831.48
al2010,al,2010,2283629108.4099994
am2010,am,2010,5961007797.27
ap2010,ap,2010,556877038.55
ba2010,ba,2010,12876988650.86
ce2010,ce,2010,6966702029.26
df2010,df,2010,8352921764.87
es2010,es,2010,8131385630.92
go2010,go,2010,9669440452.26
ma2010,ma,2010,3469312807.89
mg2010,mg,2010,31745459346.8
ms2010,ms,2010,5067531055.419999
mt2010,mt,2010,5192572849.88
pa2010,pa,2010,5725828623.1
pb2010,pb,2010,3080327399.39
pe2010,pe,2010,9528753384.4
pi2010,pi,2010,2255792592.15
pr2010,pr,2010,16214942001.77
rj2010,rj,2010,29086555271.15
rn2010,rn,2010,3432401454.2100005
ro2010,ro,2010,2473217810.23
rr2010,rr,2010,510140781.52000004
rs2010,rs,2010,21419582002.92
sc2010,sc,2010,11950269237.95
se2010,se,2010,2134199616.4299998
sp2010,sp,2010,103211772287.63998
to2010,to,2010,1394655609.5
ac2011,ac,2011,743492003.95
al2011,al,2011,2624164983.1900005
ap2011,ap,2011,622470163.7599999
am2011,am,2011,6405568967.5
ba2011,ba,2011,14183218585.059998
ce2011,ce,2011,7817749335.2
df2011,df,2011,9366541153.94
es2011,es,2011,9528840371.04
go2011,go,2011,11320185393.11
ma2011,ma,2011,4016388302.47
mt2011,mt,2011,5749470749.54
ms2011,ms,2011,5915571259.080001
mg2011,mg,2011,35019944019.16
pa2011,pa,2011,6368304435.03
pb2011,pb,2011,3441159889.51
pr2011,pr,2011,18666005378.72
pe2011,pe,2011,11157926519.910002
pi2011,pi,2011,1923136181.3500001
rj2011,rj,2011,32555744839.870003
rn2011,rn,2011,3883992157.7900004
rs2011,rs,2011,22795745565.12
ro2011,ro,2011,2831786692.37
rr2011,rr,2011,535116033.68
sc2011,sc,2011,13722374484.31
sp2011,sp,2011,113543019737.69
se2011,se,2011,2408063188.94
to2011,to,2011,1695192580.58
