id,state,year,value
ac2008,ac,2008,387124024.7499998
am2008,am,2008,535669173.4779296
ap2008,ap,2008,-62839538.66999999
pa2008,pa,2008,1160284005.6321018
ro2008,ro,2008,1155116309.2999997
rr2008,rr,2008,330199172.40999997
to2008,to,2008,297951527.73
al2008,al,2008,5739797748.8157015
ba2008,ba,2008,9354568251.67907
ce2008,ce,2008,1373919472.234059
ma2008,ma,2008,4108225165.075718
pb2008,pb,2008,1755432416.922824
pe2008,pe,2008,2895082628.1991754
pi2008,pi,2008,1770103687.4929223
rn2008,rn,2008,563766720.473008
se2008,se,2008,695605130.1653239
df2008,df,2008,1389757699.8367481
go2008,go,2008,11356588547.689924
ms2008,ms,2008,5377288123.149699
mt2008,mt,2008,5241490757.715306
es2008,es,2008,416913277.24469787
mg2008,mg,2008,49081711756.77418
rj2008,rj,2008,48719605497.43522
sp2008,sp,2008,154422653203.90396
pr2008,pr,2008,13918954303.5947
rs2008,rs,2008,38574622160.753044
sc2008,sc,2008,9504626395.855986
ac2009,ac,2009,612026201.9500003
am2009,am,2009,1064832763.5801718
ap2009,ap,2009,-13879614.410000026
pa2009,pa,2009,1323011384.739416
ro2009,ro,2009,1665647976.8
rr2009,rr,2009,869211373.6899999
to2009,to,2009,162915910.85999998
al2009,al,2009,5533746699.830604
ba2009,ba,2009,8784934251.562637
ce2009,ce,2009,782385137.5049512
ma2009,ma,2009,3823249352.7218533
pb2009,pb,2009,1358423170.3333204
pe2009,pe,2009,3478481059.3661766
pi2009,pi,2009,1822562949.0638278
rn2009,rn,2009,575641862.4146881
se2009,se,2009,962794705.1663241
df2009,df,2009,1397013084.739795
go2009,go,2009,11085537920.033064
ms2009,ms,2009,5198179640.692574
mt2009,mt,2009,4212612499.9530993
es2009,es,2009,250298610.09770334
mg2009,mg,2009,50073006358.906044
rj2009,rj,2009,47102289163.69841
sp2009,sp,2009,151457554808.37115
pr2009,pr,2009,14530765206.697227
rs2009,rs,2009,37868401893.129745
sc2009,sc,2009,8659404488.002316
ac2010,ac,2010,1316021284.4100003
am2010,am,2010,1871530166.08783
ap2010,ap,2010,-65855071.94999998
pa2010,pa,2010,2235073222.347364
ro2010,ro,2010,1643534669.5100002
rr2010,rr,2010,946871308.28
to2010,to,2010,634074905.88
al2010,al,2010,6128805999.94255
ba2010,ba,2010,8671287783.488039
ce2010,ce,2010,2055852127.1220834
ma2010,ma,2010,4274120950.9026275
pb2010,pb,2010,1683139223.5973277
pe2010,pe,2010,3314921622.449541
pi2010,pi,2010,2017009969.0660214
rn2010,rn,2010,681213972.435876
se2010,se,2010,1543281513.728754
df2010,df,2010,1969025363.5758839
go2010,go,2010,11682862513.725124
ms2010,ms,2010,5867289714.9342
