id,state,year,value
ac2008,ac,2008,-249445972.35388047
am2008,am,2008,-440340134.57112294
ap2008,ap,2008,-53584405.65693168
pa2008,pa,2008,-346184646.99237996
ro2008,ro,2008,-288756781.04526067
rr2008,rr,2008,-5381472.89432512
to2008,to,2008,-28600683.81517943
al2008,al,2008,-456080157.6801211
ba2008,ba,2008,-1664359431.4046547
ce2008,ce,2008,-1335754918.367456
ma2008,ma,2008,-858394096.5386618
pb2008,pb,2008,-339489967.4161469
pe2008,pe,2008,-832944836.6499088
pi2008,pi,2008,-343418400.54545254
rn2008,rn,2008,-131265617.46028498
se2008,se,2008,-331259063.82190174
df2008,df,2008,-183847171.51133168
go2008,go,2008,-614908143.0092041
ms2008,ms,2008,-1161093526.4677854
mt2008,mt,2008,-616907121.0934391
es2008,es,2008,-1192317821.2233963
mg2008,mg,2008,-2381869129.569397
rj2008,rj,2008,-3543870275.0662565
sp2008,sp,2008,-7038298473.086506
pr2008,pr,2008,-1802374866.776192
rs2008,rs,2008,-800866555.8840268
sc2008,sc,2008,-1987303821.0889978
ac2009,ac,2009,231572834.94074044
am2009,am,2009,656731391.6856263
ap2009,ap,2009,53625966.25801158
pa2009,pa,2009,227997554.4215744
ro2009,ro,2009,54488742.20339453
rr2009,rr,2009,202926043.0739741
to2009,to,2009,-13870464.145382605
al2009,al,2009,-474351837.3945094
ba2009,ba,2009,-465920018.13806504
ce2009,ce,2009,-177016665.59719557
ma2009,ma,2009,-358287954.4390189
pb2009,pb,2009,-341963935.58935374
pe2009,pe,2009,658650038.2851902
pi2009,pi,2009,48054515.516443335
rn2009,rn,2009,31773484.66382356
se2009,se,2009,183007586.45434728
df2009,df,2009,90015979.43775612
go2009,go,2009,-762236872.7956004
ms2009,ms,2009,-481937668.28548473
mt2009,mt,2009,-1075558683.20726
es2009,es,2009,-210869026.72978887
mg2009,mg,2009,-940883324.9903462
rj2009,rj,2009,-2211500680.1308537
sp2009,sp,2009,-4898499686.310225
pr2009,pr,2009,-73768193.38746272
rs2009,rs,2009,-1642856989.658783
sc2009,sc,2009,-760517876.0504298
ac2010,ac,2010,421617304.39130396
am2010,am,2010,494717148.62799543
ap2010,ap,2010,-61384395.05206317
pa2010,pa,2010,330638480.43462425
ro2010,ro,2010,-256353687.17140335
rr2010,rr,2010,9239331.624710813
to2010,to,2010,458472618.59161836
al2010,al,2010,-395781171.30008435
ba2010,ba,2010,-1067131013.2542049
ce2010,ce,2010,938556905.033006
ma2010,ma,2010,-35986063.4039724
pb2010,pb,2010,145214328.42561582
pe2010,pe,2010,-711843806.1431769
pi2010,pi,2010,-48511574.810915455
rn2010,rn,2010,-47395215.54084189
se2010,se,2010,351577768.7620653
df2010,df,2010,114726401.06432687
go2010,go,2010,-739026982.2567837
ms2010,ms,2010,-178666034.15893066
mt2010,mt,2010,18668256.87202035
es2010,es,2010,422271751.59571964
mg2010,mg,2010,-1681729035.8657334
rj2010,rj,2010,-1003828073.7417191
sp2010,sp,2010,-8272529119.8117485
pr2010,pr,2010,-848691776.1538675
rs2010,rs,2010,-1913066950.4069974
sc2010,sc,2010,-374729955.9093996
ac2011,ac,2011,-162456730.37616968
am2011,am,2011,-651745411.5343939
ap2011,ap,2011,146521906.45386004
pa2011,pa,2011,-1076651450.6806746
ro2011,ro,2011,-293769593.6455369
rr2011,rr,2011,-202876687.7606723
to2011,to,2011,-247530399.25363943
al2011,al,2011,-187933283.35512307
ba2011,ba,2011,-529756689.17346954
ce2011,ce,2011,-172215610.5253678
ma2011,ma,2011,-1187793224.2558825
pb2011,pb,2011,-474865348.17782724
pe2011,pe,2011,-69657530.22656217
pi2011,pi,2011,-644269917.034342
rn2011,rn,2011,-402465540.0274532
se2011,se,2011,64013133.208896905
df2011,df,2011,-142328231.27439985
go2011,go,2011,-324783223.26848155
ms2011,ms,2011,-402175158.6470262
mt2011,mt,2011,-760029691.5724548
es2011,es,2011,-75767667.34217125
