id,state,year,value
ro2008,ro,2008,17285541726.10471
ac2008,ac,2008,6410254676.927329
am2008,am,2008,48115264643.66434
rr2008,rr,2008,4841862424.28538
pa2008,pa,2008,60956978226.83515
ap2008,ap,2008,6950413076.483139
to2008,to,2008,12116393287.465199
ma2008,ma,2008,37932402169.33037
pi2008,pi,2008,16203339851.788069
ce2008,ce,2008,60415573673.726326
rn2008,rn,2008,28898860490.854362
pb2008,pb,2008,26889573072.90299
pe2008,pe,2008,70413938540.51205
al2008,al,2008,22262294598.015724
se2008,se,2008,21418377993.04106
ba2008,ba,2008,121667454630.87785
mg2008,mg,2008,278607619373.0533
es2008,es,2008,72091158096.85135
rj2008,rj,2008,378285800318.053
sp2008,sp,2008,1042510167938.2571
pr2008,pr,2008,185683858667.63168
sc2008,sc,2008,121477257850.73915
rs2008,rs,2008,190229822441.7164
ms2008,ms,2008,36219263038.02241
mt2008,mt,2008,49202505248.55613
go2008,go,2008,82417563798.27571
df2008,df,2008,110299557146.02853
ro2009,ro,2009,19725009503.503563
ac2009,ac,2009,7407821405.27743
am2009,am,2009,50559839677.76173
rr2009,rr,2009,5671974579.746421
pa2009,pa,2009,61665095567.406
ap2009,ap,2009,7490655554.617364
to2009,to,2009,13689804409.695745
ma2009,ma,2009,40994570644.47458
pi2009,pi,2009,18946449329.403423
ce2009,ce,2009,67199958047.10919
rn2009,rn,2009,30941053634.318478
pb2009,pb,2009,30230406106.52801
pe2009,pe,2009,79760958065.11086
al2009,al,2009,24182387515.80613
se2009,se,2009,21707243231.247498
ba2009,ba,2009,137942480638.97064
mg2009,mg,2009,287443848063.8553
es2009,es,2009,69215360730.83418
rj2009,rj,2009,391650854276.53815
sp2009,sp,2009,1127093826119.002
pr2009,pr,2009,196675611943.6411
sc2009,sc,2009,129098535032.55711
rs2009,rs,2009,204344940205.0494
ms2009,ms,2009,39517741741.18313
mt2009,mt,2009,52693416788.18085
go2009,go,2009,92865743086.06891
df2009,df,2009,124323753082.1123
ro2010,ro,2010,23907886883.01942
ac2010,ac,2010,8342355523.094711
am2010,am,2010,60877122680.53422
rr2010,rr,2010,6639150476.6448
pa2010,pa,2010,82684517795.77628
ap2010,ap,2010,8237795349.625801
to2010,to,2010,16404816090.205091
ma2010,ma,2010,46309633107.39951
pi2010,pi,2010,22269149131.02591
ce2010,ce,2010,79336299281.05348
rn2010,rn,2010,36184502367.15774
pb2010,pb,2010,33522491693.350197
pe2010,pe,2010,97189760474.3839
al2010,al,2010,27133037851.987995
se2010,se,2010,26404893225.967724
ba2010,ba,2010,154419547376.5668
mg2010,mg,2010,351123417752.9455
es2010,es,2010,85310284544.56284
rj2010,rj,2010,449858101106.86865
sp2010,sp,2010,1294695988449.3235
pr2010,pr,2010,225205254706.96634
sc2010,sc,2010,153726007385.8051
rs2010,rs,2010,241249163902.14984
ms2010,ms,2010,47270656395.630066
mt2010,mt,2010,56600955375.330055
go2010,go,2010,106770109477.84149
df2010,df,2010,144174101594.77917
ro2011,ro,2011,27574714377.165043
ac2011,ac,2011,8949433757.822475
am2011,am,2011,70734401222.66931
rr2011,rr,2011,7303719266.878526
pa2011,pa,2011,98710735866.61572
ap2011,ap,2011,9409228041.819475
to2011,to,2011,18345687728.233456
ma2011,ma,2011,52143535327.77457
pi2011,pi,2011,25941362394.891113
ce2011,ce,2011,89695828418.693
rn2011,rn,2011,40992924919.3223
pb2011,pb,2011,37109136671.0598
pe2011,pe,2011,110161558963.89839
al2011,al,2011,31657320732.751476
se2011,se,2011,29108271855.89078
ba2011,ba,2011,166602816896.05457
mg2011,mg,2011,400124687036.1182
es2011,es,2011,105976222183.27957
rj2011,rj,2011,512767904774.59424
sp2011,sp,2011,1436672709022.2434
pr2011,pr,2011,257122268529.97397
sc2011,sc,2011,174068321735.75235
rs2011,rs,2011,265056416291.24496
ms2011,ms,2011,55133162450.6499
mt2011,mt,2011,69153956741.19244
go2011,go,2011,121296720838.56427
df2011,df,2011,154568953954.84796
ro2012,ro,2012,30112720316.439606
ac2012,ac,2012,10137924706.263014
am2012,am,2012,72242700677.4504
rr2012,rr,2012,7711467115.069633
pa2012,pa,2012,107080880921.4642
ap2012,ap,2012,11130867802.613562
to2012,to,2012,20684429933.660793
ma2012,ma,2012,60490108509.67825
pi2012,pi,2012,28637684703.841072
ce2012,ce,2012,96973752892.21188
rn2012,rn,2012,46412208353.13707
pb2012,pb,2012,42488349200.53037
pe2012,pe,2012,127989043341.58861
al2012,al,2012,34650397467.018486
se2012,se,2012,32853180803.697643
ba2012,ba,2012,182572530055.7174
mg2012,mg,2012,442282829867.95306
es2012,es,2012,116850580542.29037
rj2012,rj,2012,574884973125.9985
sp2012,sp,2012,1559033443691.457
pr2012,pr,2012,285620201618.317
sc2012,sc,2012,191794652142.12598
rs2012,rs,2012,287587018680.027
ms2012,ms,2012,62013200885.26138
mt2012,mt,2012,79665691144.00293
go2012,go,2012,138757825027.55707
df2012,df,2012,164101336474.6169
ro2013,ro,2013,31121412531.94308
ac2013,ac,2013,11473930164.812466
am2013,am,2013,83051232957.22916
rr2013,rr,2013,9010725277.81038
pa2013,pa,2013,121224846598.79308
ap2013,ap,2013,12763486218.495186
to2013,to,2013,23796656417.255177
ma2013,ma,2013,67694844541.505035
