id,state,year,value
ac2008,ac,2008,1.0648096119225634
al2008,al,2008,1.0648096119225634
am2008,am,2008,1.0648096119225634
ap2008,ap,2008,1.0648096119225634
ba2008,ba,2008,1.0648096119225634
ce2008,ce,2008,1.0648096119225634
df2008,df,2008,1.0648096119225634
es2008,es,2008,1.0648096119225634
go2008,go,2008,1.0648096119225634
ma2008,ma,2008,1.0648096119225634
mg2008,mg,2008,1.0648096119225634
ms2008,ms,2008,1.0648096119225634
mt2008,mt,2008,1.0648096119225634
pa2008,pa,2008,1.0648096119225634
pb2008,pb,2008,1.0648096119225634
pe2008,pe,2008,1.0648096119225634
pi2008,pi,2008,1.0648096119225634
pr2008,pr,2008,1.0648096119225634
rj2008,rj,2008,1.0648096119225634
rn2008,rn,2008,1.0648096119225634
ro2008,ro,2008,1.0648096119225634
rr2008,rr,2008,1.0648096119225634
rs2008,rs,2008,1.0648096119225634
sc2008,sc,2008,1.0648096119225634
se2008,se,2008,1.0648096119225634
sp2008,sp,2008,1.0648096119225634
to2008,to,2008,1.0648096119225634
ac2009,ac,2009,1.041137974730346
al2009,al,2009,1.041137974730346
am2009,am,2009,1.041137974730346
ap2009,ap,2009,1.041137974730346
ba2009,ba,2009,1.041137974730346
ce2009,ce,2009,1.041137974730346
df2009,df,2009,1.041137974730346
es2009,es,2009,1.041137974730346
go2009,go,2009,1.041137974730346
ma2009,ma,2009,1.041137974730346
mg2009,mg,2009,1.041137974730346
ms2009,ms,2009,1.041137974730346
mt2009,mt,2009,1.041137974730346
pa2009,pa,2009,1.041137974730346
pb2009,pb,2009,1.041137974730346
pe2009,pe,2009,1.041137974730346
pi2009,pi,2009,1.041137974730346
pr2009,pr,2009,1.041137974730346
rj2009,rj,2009,1.041137974730346
rn2009,rn,2009,1.041137974730346
ro2009,ro,2009,1.041137974730346
rr2009,rr,2009,1.041137974730346
rs2009,rs,2009,1.041137974730346
sc2009,sc,2009,1.041137974730346
se2009,se,2009,1.041137974730346
sp2009,sp,2009,1.041137974730346
to2009,to,2009,1.041137974730346
ac2010,ac,2010,1.0646521388216303
al2010,al,2010,1.0646521388216303
am2010,am,2010,1.0646521388216303
ap2010,ap,2010,1.0646521388216303
ba2010,ba,2010,1.0646521388216303
ce2010,ce,2010,1.0646521388216303
df2010,df,2010,1.0646521388216303
es2010,es,2010,1.0646521388216303
go2010,go,2010,1.0646521388216303
ma2010,ma,2010,1.0646521388216303
mg2010,mg,2010,1.0646521388216303
ms2010,ms,2010,1.0646521388216303
mt2010,mt,2010,1.0646521388216303
pa2010,pa,2010,1.0646521388216303
pb2010,pb,2010,1.0646521388216303
pe2010,pe,2010,1.0646521388216303
pi2010,pi,2010,1.0646521388216303
pr2010,pr,2010,1.0646521388216303
rj2010,rj,2010,1.0646521388216303
rn2010,rn,2010,1.0646521388216303
ro2010,ro,2010,1.0646521388216303
rr2010,rr,2010,1.0646521388216303
rs2010,rs,2010,1.0646521388216303
sc2010,sc,2010,1.0646521388216303
se2010,se,2010,1.0646521388216303
sp2010,sp,2010,1.0646521388216303
to2010,to,2010,1.0646521388216303
ac2011,ac,2011,1.0608018776381543
al2011,al,2011,1.0608018776381543
am2011,am,2011,1.0608018776381543
ap2011,ap,2011,1.0608018776381543
ba2011,ba,2011,1.0608018776381543
ce2011,ce,2011,1.0608018776381543
df2011,df,2011,1.0608018776381543
es2011,es,2011,1.0608018776381543
go2011,go,2011,1.0608018776381543
ma2011,ma,2011,1.0608018776381543
mg2011,mg,2011,1.0608018776381543
ms2011,ms,2011,1.0608018776381543
mt2011,mt,2011,1.0608018776381543
pa2011,pa,2011,1.0608018776381543
pb2011,pb,2011,1.0608018776381543
pe2011,pe,2011,1.0608018776381543
pi2011,pi,2011,1.0608018776381543
pr2011,pr,2011,1.0608018776381543
rj2011,rj,2011,1.0608018776381543
rn2011,rn,2011,1.0608018776381543
ro2011,ro,2011,1.0608018776381543
rr2011,rr,2011,1.0608018776381543
rs2011,rs,2011,1.0608018776381543
sc2011,sc,2011,1.0608018776381543
se2011,se,2011,1.0608018776381543
sp2011,sp,2011,1.0608018776381543
to2011,to,2011,1.0608018776381543
ac2012,ac,2012,1.0619734897535067
al2012,al,2012,1.0619734897535067
am2012,am,2012,1.0619734897535067
ap2012,ap,2012,1.0619734897535067
ba2012,ba,2012,1.0619734897535067
ce2012,ce,2012,1.0619734897535067
df2012,df,2012,1.0619734897535067
es2012,es,2012,1.0619734897535067
go2012,go,2012,1.0619734897535067
ma2012,ma,2012,1.0619734897535067
mg2012,mg,2012,1.0619734897535067
ms2012,ms,2012,1.0619734897535067
mt2012,mt,2012,1.0619734897535067
pa2012,pa,2012,1.0619734897535067
pb2012,pb,2012,1.0619734897535067
pe2012,pe,2012,1.0619734897535067
pi2012,pi,2012,1.0619734897535067
pr2012,pr,2012,1.0619734897535067
rj2012,rj,2012,1.0619734897535067
rn2012,rn,2012,1.0619734897535067
ro2012,ro,2012,1.0619734897535067
rr2012,rr,2012,1.0619734897535067
rs2012,rs,2012,1.0619734897535067
sc2012,sc,2012,1.0619734897535067
se2012,se,2012,1.0619734897535067
sp2012,sp,2012,1.0619734897535067
to2012,to,2012,1.0619734897535067
ac2013,ac,2013,1.0556274848118608
al2013,al,2013,1.0556274848118608
am2013,am,2013,1.0556274848118608
ap2013,ap,2013,1.0556274848118608
ba2013,ba,2013,1.0556274848118608
ce2013,ce,2013,1.0556274848118608
df2013,df,2013,1.0556274848118608
es2013,es,2013,1.0556274848118608
go2013,go,2013,1.0556274848118608
ma2013,ma,2013,1.0556274848118608
mg2013,mg,2013,1.0556274848118608
ms2013,ms,2013,1.0556274848118608
mt2013,mt,2013,1.0556274848118608
pa2013,pa,2013,1.0556274848118608
pb2013,pb,2013,1.0556274848118608
pe2013,pe,2013,1.0556274848118608
