id,state,year,value
ac2008,ac,2008,-186426811.9516988
am2008,am,2008,-327262281.5533159
ap2008,ap,2008,-50510819.929643646
pa2008,pa,2008,-170047940.5751081
ro2008,ro,2008,-71863284.18272448
rr2008,rr,2008,36708129.83089337
to2008,to,2008,-24117384.605450124
al2008,al,2008,494965278.18016595
ba2008,ba,2008,-568511189.6120882
ce2008,ce,2008,-1121380623.0239148
ma2008,ma,2008,-308269707.3367049
pb2008,pb,2008,-177060481.61859
pe2008,pe,2008,-342344119.65849227
pi2008,pi,2008,-120777414.4190056
rn2008,rn,2008,-44607991.01182958
se2008,se,2008,-207812098.38132784
df2008,df,2008,-47614857.17334669
go2008,go,2008,757047305.6487414
ms2008,ms,2008,-353444510.6293822
mt2008,mt,2008,-57496869.81595594
es2008,es,2008,-1027862555.841313
mg2008,mg,2008,5670312734.273495
rj2008,rj,2008,3447947070.804864
sp2008,sp,2008,14358414716.81636
pr2008,pr,2008,-448321713.1287333
rs2008,rs,2008,4684593376.25724
sc2008,sc,2008,557056743.9616698
ac2009,ac,2009,252620306.3638981
am2009,am,2009,686863312.0321665
ap2009,ap,2009,49916575.17625381
pa2009,pa,2009,288978593.0632161
ro2009,ro,2009,94163593.64768802
rr2009,rr,2009,240921882.97095808
to2009,to,2009,-4743560.456841584
al2009,al,2009,-190810717.867598
ba2009,ba,2009,-534211.4320832696
ce2009,ce,2009,-211539261.83556232
ma2009,ma,2009,-139848120.7632351
pb2009,pb,2009,-317625232.85333186
pe2009,pe,2009,765257945.264702
pi2009,pi,2009,109880331.30351408
rn2009,rn,2009,42913906.60954033
se2009,se,2009,206176098.41114795
df2009,df,2009,107918082.54452175
go2009,go,2009,-145496588.97210306
ms2009,ms,2009,-274647661.91831666
mt2009,mt,2009,-926590927.5054773
es2009,es,2009,-236621112.00106758
mg2009,mg,2009,1540562739.257833
rj2009,rj,2009,-1178889794.3955996
sp2009,sp,2009,-525751210.6192046
pr2009,pr,2009,741662710.2221731
rs2009,rs,2009,-83289043.40814267
sc2009,sc,2009,-681712578.8457402
ac2010,ac,2010,533397340.2713905
am2010,am,2010,684571834.6558775
ap2010,ap,2010,-51712067.21042147
pa2010,pa,2010,550851326.2790473
ro2010,ro,2010,-25972854.138512712
rr2010,rr,2010,77659934.59
to2010,to,2010,490349716.8478038
al2010,al,2010,615579750.7258987
ba2010,ba,2010,-23462491.30853002
ce2010,ce,2010,1192126351.1375582
ma2010,ma,2010,466770260.5070141
pb2010,pb,2010,292276572.6609513
pe2010,pe,2010,-139185528.31650963
pi2010,pi,2010,164550066.04207647
rn2010,rn,2010,47969987.36770265
se2010,se,2010,508993273.42764735
df2010,df,2010,280569907.3914936
go2010,go,2010,611513689.2695272
ms2010,ms,2010,681040436.1961174
mt2010,mt,2010,534361051.6630279
es2010,es,2010,576029046.8964154
mg2010,mg,2010,7580285177.8372345
rj2010,rj,2010,7094060594.405607
sp2010,sp,2010,14812244928.833061
pr2010,pr,2010,-246473509.23426104
rs2010,rs,2010,4122721185.7848287
sc2010,sc,2010,1232666184.2140424
ac2011,ac,2011,-41088878.20107711
am2011,am,2011,-729857015.4461297
ap2011,ap,2011,148932964.32619047
pa2011,pa,2011,-867862554.7224869
ro2011,ro,2011,-137515463.5636231
rr2011,rr,2011,-110378009.76823704
to2011,to,2011,-214186830.96471566
al2011,al,2011,370310335.610289
ba2011,ba,2011,221162555.0641726
ce2011,ce,2011,48839083.431706846
ma2011,ma,2011,-1103975181.9876032
pb2011,pb,2011,-510313816.0345889
pe2011,pe,2011,244166733.13433293
pi2011,pi,2011,-497980559.0450809
rn2011,rn,2011,-331069197.0323191
se2011,se,2011,195689365.74510658
df2011,df,2011,-27129571.09264595
go2011,go,2011,860267285.917799
