id,state,year,value
ac2008,ac,2008,20448957.591698717
am2008,am,2008,146840131.43859538
ap2008,ap,2008,730434.2296436398
pa2008,pa,2008,127970190.5771151
ro2008,ro,2008,209105910.4427244
rr2008,rr,2008,2945526.0091066896
to2008,to,2008,139657001.29545003
al2008,al,2008,17966381.800205797
ba2008,ba,2008,592583396.2339224
ce2008,ce,2008,433370164.93982416
ma2008,ma,2008,167721491.9665074
pb2008,pb,2008,93462168.94465409
pe2008,pe,2008,181691792.30766368
pi2008,pi,2008,69662906.36970265
rn2008,rn,2008,36155929.016597606
se2008,se,2008,22697169.869096935
df2008,df,2008,116511680.5584374
go2008,go,2008,134130629.4113705
ms2008,ms,2008,138132246.55342218
mt2008,mt,2008,130548187.21200706
es2008,es,2008,485481182.4318161
mg2008,mg,2008,344524522.08681154
rj2008,rj,2008,522672670.75920576
sp2008,sp,2008,1010421924.898378
pr2008,pr,2008,457038376.3605593
rs2008,rs,2008,627891864.3371103
sc2008,sc,2008,188586885.27389792
ac2009,ac,2009,-27718129.163898084
am2009,am,2009,-157699721.92992434
ap2009,ap,2009,-956650.9162538338
pa2009,pa,2009,-126251213.95590219
ro2009,ro,2009,416368073.852312
rr2009,rr,2009,298090318.30904186
to2009,to,2009,-130292056.41315837
al2009,al,2009,-15240331.117499746
ba2009,ba,2009,-569099788.6843495
ce2009,ce,2009,-379995072.8935454
ma2009,ma,2009,-145127691.59063074
pb2009,pb,2009,-79384013.73617215
pe2009,pe,2009,-181859514.09770212
pi2009,pi,2009,-57421069.73260823
rn2009,rn,2009,-31038764.66786032
se2009,se,2009,61013476.58985202
df2009,df,2009,-100662697.64147514
go2009,go,2009,-125554038.68475476
ms2009,ms,2009,95539179.46118878
mt2009,mt,2009,-102287330.25672871
es2009,es,2009,70006444.85407323
mg2009,mg,2009,-549268137.1259686
rj2009,rj,2009,-438426539.34121716
sp2009,sp,2009,-2439347184.9136953
pr2009,pr,2009,-129851807.11964563
rs2009,rs,2009,-622931224.21515
sc2009,sc,2009,-163509329.0079302
ac2010,ac,2010,170597742.18860957
am2010,am,2010,122125567.85178123
ap2010,ap,2010,-263390.32957850036
pa2010,pa,2010,361210511.32890093
ro2010,ro,2010,3859546.848512657
rr2010,rr,2010,0
to2010,to,2010,-19190721.827803772
al2010,al,2010,-20520450.61395357
ba2010,ba,2010,-90183976.76606898
ce2010,ce,2010,81340638.4795737
ma2010,ma,2010,-15898662.326239921
pb2010,pb,2010,32439480.603056643
pe2010,pe,2010,-24373908.600125886
pi2010,pi,2010,29896953.960117415
rn2010,rn,2010,57602122.653485365
se2010,se,2010,71493535.13478282
df2010,df,2010,291442371.4445956
go2010,go,2010,-14189095.577467103
ms2010,ms,2010,-11930361.954491103
mt2010,mt,2010,31319819.012555927
es2010,es,2010,71179477.59221697
mg2010,mg,2010,661441329.9983257
rj2010,rj,2010,2384309159.8878
sp2010,sp,2010,-1782134269.3472333
pr2010,pr,2010,383943174.0360556
rs2010,rs,2010,473831729.0983882
sc2010,sc,2010,211602487.13838646
ac2011,ac,2011,21707128.19107721
am2011,am,2011,89014558.81923288
ap2011,ap,2011,511637.7938095237
pa2011,pa,2011,55689353.0469009
ro2011,ro,2011,9713027.343622992
rr2011,rr,2011,319978.9582368769
to2011,to,2011,180546188.41801566
al2011,al,2011,42118474.60076014
ba2011,ba,2011,-64092296.76414105
ce2011,ce,2011,326919972.6658628
ma2011,ma,2011,248560998.57545215
pb2011,pb,2011,28139933.271695003
pe2011,pe,2011,470489802.09000266
pi2011,pi,2011,537904675.7285879
rn2011,rn,2011,1352872852.728859
se2011,se,2011,226490141.94296026
df2011,df,2011,-29031394.483000085
go2011,go,2011,448697842.59840107
ms2011,ms,2011,81243472.02813858
mt2011,mt,2011,-133959386.99596201
es2011,es,2011,-38571821.170507975
mg2011,mg,2011,1120210404.849182
rj2011,rj,2011,73164031.91455078
sp2011,sp,2011,-2325978462.365412
pr2011,pr,2011,-198619286.5620966
rs2011,rs,2011,604609693.8650869
sc2011,sc,2011,55364045.27767998
ac2012,ac,2012,21209342.284773584
am2012,am,2012,76466438.70465228
ap2012,ap,2012,408739.17727029556
pa2012,pa,2012,42309985.38909172
ro2012,ro,2012,-133241737.19669224
rr2012,rr,2012,0
to2012,to,2012,19437299.649261408
al2012,al,2012,-57280078.8274149
ba2012,ba,2012,1321388524.6272485
ce2012,ce,2012,136932969.8450745
ma2012,ma,2012,165829649.58494937
pb2012,pb,2012,280500637.3569421
