id,state,year,value
ro2008,ro,2008,1493566
ac2008,ac,2008,680073
am2008,am,2008,3341096
rr2008,rr,2008,412783
pa2008,pa,2008,7321493
ap2008,ap,2008,613164
to2008,to,2008,1280509
ma2008,ma,2008,6305539
pi2008,pi,2008,3119697
ce2008,ce,2008,8450527
rn2008,rn,2008,3106430
pb2008,pb,2008,3742606
pe2008,pe,2008,8734194
al2008,al,2008,3127557
se2008,se,2008,1999374
ba2008,ba,2008,14502575
mg2008,mg,2008,19850072
es2008,es,2008,3453648
rj2008,rj,2008,15872362
sp2008,sp,2008,41011635
pr2008,pr,2008,10590169
sc2008,sc,2008,6052587
rs2008,rs,2008,10855214
ms2008,ms,2008,2336058
mt2008,mt,2008,2957732
go2008,go,2008,5844996
df2008,df,2008,2557158
ro2009,ro,2009,1503928
ac2009,ac,2009,691132
am2009,am,2009,3393369
rr2009,rr,2009,421499
pa2009,pa,2009,7431020
ap2009,ap,2009,626609
to2009,to,2009,1292051
ma2009,ma,2009,6367138
pi2009,pi,2009,3145325
ce2009,ce,2009,8547809
rn2009,rn,2009,3137541
pb2009,pb,2009,3769977
pe2009,pe,2009,8810256
al2009,al,2009,3156108
se2009,se,2009,2019679
ba2009,ba,2009,14637364
mg2009,mg,2009,20033665
es2009,es,2009,3487199
rj2009,rj,2009,16010429
sp2009,sp,2009,41384039
pr2009,pr,2009,10686247
sc2009,sc,2009,6118743
rs2009,rs,2009,10914128
ms2009,ms,2009,2360498
mt2009,mt,2009,3001692
go2009,go,2009,5926300
df2009,df,2009,2606885
ro2010,ro,2010,1560501
ac2010,ac,2010,732793
am2010,am,2010,3480937
rr2010,rr,2010,451227
pa2010,pa,2010,7603239
ap2010,ap,2010,668689
to2010,to,2010,1383453
ma2010,ma,2010,6569683
pi2010,pi,2010,3119015
ce2010,ce,2010,8448055
rn2010,rn,2010,3168133
pb2010,pb,2010,3766834
pe2010,pe,2010,8796032
al2010,al,2010,3120922
se2010,se,2010,2068031
ba2010,ba,2010,14021432
mg2010,mg,2010,19595309
es2010,es,2010,3512672
rj2010,rj,2010,15993583
sp2010,sp,2010,41252160
pr2010,pr,2010,10439601
sc2010,sc,2010,6249682
rs2010,rs,2010,10695532
ms2010,ms,2010,2449341
mt2010,mt,2010,3033991
go2010,go,2010,6004045
df2010,df,2010,2562963
ro2011,ro,2011,1576455
ac2011,ac,2011,746386
am2011,am,2011,3538387
rr2011,rr,2011,460165
pa2011,pa,2011,7688593
ap2011,ap,2011,684309
to2011,to,2011,1400892
ma2011,ma,2011,6645761
pi2011,pi,2011,3140328
ce2011,ce,2011,8530155
rn2011,rn,2011,3198657
pb2011,pb,2011,3791315
pe2011,pe,2011,8864906
al2011,al,2011,3143384
se2011,se,2011,2089819
ba2011,ba,2011,14097534
mg2011,mg,2011,19728701
es2011,es,2011,3547055
rj2011,rj,2011,16112678
sp2011,sp,2011,41587182
pr2011,pr,2011,10512349
sc2011,sc,2011,6317054
rs2011,rs,2011,10733030
ms2011,ms,2011,2477542
mt2011,mt,2011,3075936
go2011,go,2011,6080716
df2011,df,2011,2609998
ro2012,ro,2012,1590011
ac2012,ac,2012,758786
am2012,am,2012,3590985
rr2012,rr,2012,469524
pa2012,pa,2012,7792561
ap2012,ap,2012,698602
to2012,to,2012,1417694
ma2012,ma,2012,6714314
pi2012,pi,2012,3160748
ce2012,ce,2012,8606005
rn2012,rn,2012,3228198
pb2012,pb,2012,3815171
pe2012,pe,2012,8931028
al2012,al,2012,3165472
se2012,se,2012,2110867
ba2012,ba,2012,14175341
mg2012,mg,2012,19855332
es2012,es,2012,3578067
rj2012,rj,2012,16231365
sp2012,sp,2012,41901219
pr2012,pr,2012,10577755
sc2012,sc,2012,6383286
rs2012,rs,2012,10770603
ms2012,ms,2012,2505088
mt2012,mt,2012,3115336
go2012,go,2012,6154996
df2012,df,2012,2648532
ro2013,ro,2013,1728214
ac2013,ac,2013,776463
am2013,am,2013,3807921
rr2013,rr,2013,488072
pa2013,pa,2013,7969654
ap2013,ap,2013,734996
to2013,to,2013,1478164
ma2013,ma,2013,6794301
pi2013,pi,2013,3184166
ce2013,ce,2013,8778576
rn2013,rn,2013,3373959
pb2013,pb,2013,3914421
pe2013,pe,2013,9208550
al2013,al,2013,3300935
se2013,se,2013,2195662
ba2013,ba,2013,15044137
mg2013,mg,2013,20593356
es2013,es,2013,3839366
rj2013,rj,2013,16369179
sp2013,sp,2013,43663669
pr2013,pr,2013,10997465
sc2013,sc,2013,6634254
rs2013,rs,2013,11164043
ms2013,ms,2013,2587269
mt2013,mt,2013,3182113
go2013,go,2013,6434048
df2013,df,2013,2789761
ro2014,ro,2014,1748531
ac2014,ac,2014,790101
am2014,am,2014,3873743
rr2014,rr,2014,496936
pa2014,pa,2014,8073924
ap2014,ap,2014,750912
to2014,to,2014,1496880
ma2014,ma,2014,6850884
pi2014,pi,2014,3194718
ce2014,ce,2014,8842791
rn2014,rn,2014,3408510
pb2014,pb,2014,3943885
pe2014,pe,2014,9277727
al2014,al,2014,3321730
se2014,se,2014,2219574
ba2014,ba,2014,15126371
mg2014,mg,2014,20734097
es2014,es,2014,3885049
rj2014,rj,2014,16461173
sp2014,sp,2014,44035304
pr2014,pr,2014,11081692
sc2014,sc,2014,6727148
rs2014,rs,2014,11207274
