id,state,year,value
ac2008,ac,2008,138326193.63
al2008,al,2008,653408900
am2008,am,2008,0
ap2008,ap,2008,17487457
ba2008,ba,2008,2115209644.35
ce2008,ce,2008,954640281.47
df2008,df,2008,796096762.01
es2008,es,2008,1029719688.86
go2008,go,2008,1206727436.23
ma2008,ma,2008,661015047.31
mg2008,mg,2008,5677144886.620001
ms2008,ms,2008,1080886.5
mt2008,mt,2008,616502226.43
pa2008,pa,2008,1048590718.64
pb2008,pb,2008,614446561.49
pe2008,pe,2008,2550996536.81
pi2008,pi,2008,624526780.76
pr2008,pr,2008,1598905648.53
rj2008,rj,2008,6407516e3
rn2008,rn,2008,879618756.52
ro2008,ro,2008,110894636.54
rr2008,rr,2008,325983.53
rs2008,rs,2008,3298498059.81
sc2008,sc,2008,1571602955.41
se2008,se,2008,515018026.93
sp2008,sp,2008,19561023544.44
to2008,to,2008,105045352.36
ac2009,ac,2009,161970450.02
al2009,al,2009,708665249.75
am2009,am,2009,0
ap2009,ap,2009,43159591
ba2009,ba,2009,2450194672.27
ce2009,ce,2009,1047564011.52
df2009,df,2009,1000452171.66
es2009,es,2009,1152065143.5
go2009,go,2009,1358914732.86
ma2009,ma,2009,617825229.65
mg2009,mg,2009,6050518828.5199995
ms2009,ms,2009,1237293.72
mt2009,mt,2009,705957566.6
pa2009,pa,2009,1140919974.16
pb2009,pb,2009,745107728.16
pe2009,pe,2009,2715841914.38
pi2009,pi,2009,631278842.9
pr2009,pr,2009,1757266872
rj2009,rj,2009,7002519e3
rn2009,rn,2009,963570898.8
ro2009,ro,2009,140915635.33
rr2009,rr,2009,313307.14
rs2009,rs,2009,3703317099.76
sc2009,sc,2009,1734520326.61
se2009,se,2009,627690366.64
sp2009,sp,2009,20953778569.42
to2009,to,2009,122018677.6
ac2010,ac,2010,189876367
al2010,al,2010,229723758.6
am2010,am,2010,0
ap2010,ap,2010,8660042
ba2010,ba,2010,2790765465.93
ce2010,ce,2010,857018402.11
df2010,df,2010,1169381082.62
es2010,es,2010,1336092474.8
go2010,go,2010,1598774720.7
ma2010,ma,2010,710117524.48
mg2010,mg,2010,7494941908.360001
ms2010,ms,2010,1200317.47
mt2010,mt,2010,857896957.44
pa2010,pa,2010,1268554540.48
pb2010,pb,2010,878577089.37
pe2010,pe,2010,2939166596.4
pi2010,pi,2010,704794592.4100001
pr2010,pr,2010,1927095050.24
rj2010,rj,2010,7976209506
rn2010,rn,2010,1041922355.12
ro2010,ro,2010,167040991.35
rr2010,rr,2010,342222.91
rs2010,rs,2010,4062291641.54
sc2010,sc,2010,2072216320.19
se2010,se,2010,800785451.38
sp2010,sp,2010,22445694173.4
to2010,to,2010,151182802.34
ac2011,ac,2011,226850509.09
al2011,al,2011,1573.76
am2011,am,2011,901663309.2099999
ap2011,ap,2011,20848893
ba2011,ba,2011,3287660213.35
