id,state,year,value
ac2008,ac,2008,8850387.44
ac2009,ac,2009,12449182.48
ac2010,ac,2010,11211523.87
ac2011,ac,2011,15533547.22
ac2012,ac,2012,31356879.53
ac2013,ac,2013,66232718.09
ac2014,ac,2014,95547969.73
ac2015,ac,2015,161658708.33
ac2016,ac,2016,134384988.62
al2008,al,2008,581020848
al2009,al,2009,460716374.87
al2010,al,2010,406668877.72
al2011,al,2011,327115333.18
al2012,al,2012,497241451.63
al2013,al,2013,419254063.03
al2014,al,2014,558982320.51
al2015,al,2015,864134139.12
al2016,al,2016,473341394.57
am2008,am,2008,261678492.73
am2009,am,2009,324639319.59
am2010,am,2010,155274248.16
am2011,am,2011,151260529.48
am2012,am,2012,342838893.79
am2013,am,2013,251397935.38
am2014,am,2014,322724509.27
am2015,am,2015,422845340.31999993
am2016,am,2016,336720047.93
ap2008,ap,2008,53820110
ap2009,ap,2009,117136886.01
ap2010,ap,2010,220837664
ap2011,ap,2011,198688941
ap2012,ap,2012,516719607
ap2013,ap,2013,237049474
ap2014,ap,2014,201498719.89
ap2015,ap,2015,1740317333.42
ap2016,ap,2016,389202284.40999997
ba2008,ba,2008,708831154.11
ba2009,ba,2009,478885376.84
ba2010,ba,2010,710979960.24
ba2011,ba,2011,915304385.6
ba2012,ba,2012,1161563615.38
ba2013,ba,2013,1885183650.42
ba2014,ba,2014,1917036594.18
ba2015,ba,2015,1676461257.57
ba2016,ba,2016,794293545.24
ce2008,ce,2008,444474559
ce2009,ce,2009,687179275.98
ce2010,ce,2010,980578787.28
ce2011,ce,2011,379035132.81
ce2012,ce,2012,1117174783.23
ce2013,ce,2013,1196935722.94
ce2014,ce,2014,696126236.22
ce2015,ce,2015,909540461.49
ce2016,ce,2016,855999894.48
df2008,df,2008,115435030.84
df2009,df,2009,298854009.23
df2010,df,2010,668375748.23
df2011,df,2011,849159164.55
df2012,df,2012,1143472650.85
df2013,df,2013,1641521990.97
df2014,df,2014,933023893.39
df2015,df,2015,1667699369.54
df2016,df,2016,1395706715.8
es2008,es,2008,548650637.56
es2009,es,2009,625525013.88
es2010,es,2010,291014047.92
es2011,es,2011,267410760.68
es2012,es,2012,268610473.87
es2013,es,2013,389281193.5
es2014,es,2014,409629869.27
es2015,es,2015,420753281.58
es2016,es,2016,384147985.12
go2008,go,2008,594364509.23
go2009,go,2009,412796765.56
go2010,go,2010,790348443.41
go2011,go,2011,249006125.95
go2012,go,2012,1003332697.35
go2013,go,2013,416033751.71
go2014,go,2014,1011671323.86
go2015,go,2015,2394741381.73
go2016,go,2016,2073198364.94
ma2008,ma,2008,233166114.16
ma2009,ma,2009,237651276.9
ma2010,ma,2010,425883775.99
ma2011,ma,2011,853328848.32
ma2012,ma,2012,988064606.79
ma2013,ma,2013,2299884813.97
ma2014,ma,2014,1168128447.09
ma2015,ma,2015,539131926.53
ma2016,ma,2016,577647135.52
mg2008,mg,2008,2577112230.24
mg2009,mg,2009,2048342674.24
mg2010,mg,2010,1648884584.98
mg2011,mg,2011,2474871199.69
mg2012,mg,2012,2393452929.56
mg2013,mg,2013,3574368474.79
mg2014,mg,2014,3343258633.43
mg2015,mg,2015,5667421543.38
mg2016,mg,2016,7459742463.9
ms2008,ms,2008,601380862.24
ms2009,ms,2009,614316667.06
ms2010,ms,2010,738178597.57
ms2011,ms,2011,761724580.49
ms2012,ms,2012,462175407.44
ms2013,ms,2013,668140954.81
ms2014,ms,2014,267936832.68
ms2015,ms,2015,365356907.02
ms2016,ms,2016,559993050.19
mt2008,mt,2008,965806513.45
mt2009,mt,2009,728437085.76
mt2010,mt,2010,568062052.4
mt2011,mt,2011,728411406.42
mt2012,mt,2012,475143579.3
mt2013,mt,2013,697923411.15
mt2014,mt,2014,616890137.84
mt2015,mt,2015,598051722.04
mt2016,mt,2016,1092044629.41
pa2008,pa,2008,591596004.84
pa2009,pa,2009,451519536.49
pa2010,pa,2010,234680106.88
pa2011,pa,2011,377879268.05
pa2012,pa,2012,532325616.59
pa2013,pa,2013,299284963.58
pa2014,pa,2014,338646470.6
pa2015,pa,2015,266598333.20000002
pa2016,pa,2016,549530467.2
pb2008,pb,2008,202036203.33
pb2009,pb,2009,258411262.83
pb2010,pb,2010,289492187.62
pb2011,pb,2011,358390713.53
pb2012,pb,2012,375988040.38
pb2013,pb,2013,651306422.83
pb2014,pb,2014,44737e4
pb2015,pb,2015,618465052.9200001
pb2016,pb,2016,751191059.84
pe2008,pe,2008,856875209.1
pe2009,pe,2009,861825494.64
pe2010,pe,2010,1322059639.36
pe2011,pe,2011,1555191641.07
pe2012,pe,2012,1509248497.76
pe2013,pe,2013,1165561160.42
pe2014,pe,2014,1639324144.01
pe2015,pe,2015,2427934879.9500003
pe2016,pe,2016,3238638885.52
pi2008,pi,2008,152453387.53
pi2009,pi,2009,232943065.64
pi2010,pi,2010,155511753.06
pi2011,pi,2011,389635320.52
pi2012,pi,2012,331871951.86
pi2013,pi,2013,394312016.16
pi2014,pi,2014,296817070.68
pi2015,pi,2015,314553418.43
pi2016,pi,2016,421878664.26
pr2008,pr,2008,396613736.29
pr2009,pr,2009,883273963.45
pr2010,pr,2010,1492352776.32
pr2011,pr,2011,1443239440.2
pr2012,pr,2012,2121439458.98
pr2013,pr,2013,4918831301.42
pr2014,pr,2014,2656844351.44
pr2015,pr,2015,1923746156.09
pr2016,pr,2016,3192559898.95
rj2008,rj,2008,4154492e3
rj2009,rj,2009,4012668e3
rj2010,rj,2010,3556257094
rj2011,rj,2011,3481052318
rj2012,rj,2012,3754668880
rj2013,rj,2013,5434679118
rj2014,rj,2014,4307978973
rj2015,rj,2015,7409316458
rj2016,rj,2016,16049945387.55
rn2008,rn,2008,194421197.39
rn2009,rn,2009,291623765.39
rn2010,rn,2010,294158055.38
rn2011,rn,2011,431526546.42
rn2012,rn,2012,374552371.12
rn2013,rn,2013,546259739.02
rn2014,rn,2014,380447629.19
rn2015,rn,2015,NA
rn2016,rn,2016,1085852037.7
ro2008,ro,2008,89934004.91
ro2009,ro,2009,142558360.83
ro2010,ro,2010,154834179.57
ro2011,ro,2011,144526467.43
ro2012,ro,2012,279747439.7
ro2013,ro,2013,366814675.52
ro2014,ro,2014,214303998.36
ro2015,ro,2015,476969179.16
ro2016,ro,2016,348531344.25
rr2008,rr,2008,56684662.25
rr2009,rr,2009,120822983.08
rr2010,rr,2010,NA
rr2011,rr,2011,441590911.59
rr2012,rr,2012,NA
rr2013,rr,2013,246269960.94
rr2014,rr,2014,208560834.7
rr2015,rr,2015,600757516.8100001
rr2016,rr,2016,394667696.76
rs2008,rs,2008,10690338466.43
rs2009,rs,2009,10551714453.32
rs2010,rs,2010,8448926209.17
rs2011,rs,2011,9232287642.28
rs2012,rs,2012,11462136272.61
rs2013,rs,2013,18754253121.32
rs2014,rs,2014,22935278276.92
rs2015,rs,2015,30125443586.07
rs2016,rs,2016,32241075702.97
sc2008,sc,2008,825953041.68
sc2009,sc,2009,976087584.52
sc2010,sc,2010,548679801.92
sc2011,sc,2011,644268521.55
sc2012,sc,2012,265815387.97
sc2013,sc,2013,376526193.67
sc2014,sc,2014,295803881.67
sc2015,sc,2015,219729195.37
sc2016,sc,2016,433683809.87
se2008,se,2008,46495070.6
se2009,se,2009,34617301.56
se2010,se,2010,37629380.95
se2011,se,2011,218234817.97
se2012,se,2012,236609297.96
se2013,se,2013,226454776.37
se2014,se,2014,388565724.01
se2015,se,2015,1251187562.0500002
se2016,se,2016,1087244970.1100001
sp2008,sp,2008,13818032399.35
sp2009,sp,2009,14738858676.69
sp2010,sp,2010,18290571417.28
sp2011,sp,2011,19992291446.71
sp2012,sp,2012,16911596e3
sp2013,sp,2013,15542606846.5
sp2014,sp,2014,14566196241.87
sp2015,sp,2015,16425881366.48
sp2016,sp,2016,15180824099.09
to2008,to,2008,155789905.89
to2009,to,2009,182659633.96
to2010,to,2010,78269776.98
to2011,to,2011,64710269.57
to2012,to,2012,196648150.71
to2013,to,2013,118547524.53
to2014,to,2014,133058303.77
to2015,to,2015,247219349.12
to2016,to,2016,499718383.32
