id,state,year,value
ac2008,ac,2008,2223256744.68
al2008,al,2008,3528416347
am2008,am,2008,6395995269.73
ap2008,ap,2008,2404878240
ba2008,ba,2008,14237786082.39
ce2008,ce,2008,7886592912
df2008,df,2008,9626476275.59
es2008,es,2008,7735570468.26
go2008,go,2008,8944458593.24
ma2008,ma,2008,5836925620.42
mg2008,mg,2008,29242489414.13
ms2008,ms,2008,4829848169.35
mt2008,mt,2008,6181776811.41
pa2008,pa,2008,7587651045.32
pb2008,pb,2008,4391207183.76
pe2008,pe,2008,10010230658.72
pi2008,pi,2008,3831027695.28
pr2008,pr,2008,14482742992.59
rj2008,rj,2008,31830885e3
rn2008,rn,2008,4575649137.47
ro2008,ro,2008,3261805461.97
rr2008,rr,2008,1592232884.58
rs2008,rs,2008,16657785043.53
sc2008,sc,2008,10420913102.08
se2008,se,2008,3799764115.26
sp2008,sp,2008,82182734297.27
to2008,to,2008,3451007488.57
ac2009,ac,2009,2453089940.51
al2009,al,2009,3597964978.03
am2009,am,2009,6161490863.11
ap2009,ap,2009,2237966613
ba2009,ba,2009,14671427308.15
ce2009,ce,2009,8400940154
df2009,df,2009,10254998540.21
es2009,es,2009,7486191650.76
go2009,go,2009,9105639344.77
ma2009,ma,2009,5971417207.2
mg2009,mg,2009,29118469548.08
ms2009,ms,2009,4886838481.02
mt2009,mt,2009,6467670585.89
pa2009,pa,2009,7997163111.89
pb2009,pb,2009,4637839887.2
pe2009,pe,2009,10624548356.09
pi2009,pi,2009,4043264624.3
pr2009,pr,2009,15092440101.8
rj2009,rj,2009,28976688e3
rn2009,rn,2009,4813312267.21
ro2009,ro,2009,3236548262.7
rr2009,rr,2009,1626187295.53
rs2009,rs,2009,17387287460.49
sc2009,sc,2009,10405660160.88
se2009,se,2009,3934265313.28
sp2009,sp,2009,86618566958.7
to2009,to,2009,3406416318.08
ac2010,ac,2010,2648933275.05
al2010,al,2010,4205565036.63
am2010,am,2010,7407732260.79
ap2010,ap,2010,2492365269
ba2010,ba,2010,17372550742.29
ce2010,ce,2010,9664272967
df2010,df,2010,11485148499.11
es2010,es,2010,8239168317.26
go2010,go,2010,10530492989.31
ma2010,ma,2010,6814409886.42
mg2010,mg,2010,33179151679
ms2010,ms,2010,5210121273.05
mt2010,mt,2010,7099677148.16
pa2010,pa,2010,9117949794.94
pb2010,pb,2010,5067417770.42
pe2010,pe,2010,12435718768.07
pi2010,pi,2010,4524857508.68
pr2010,pr,2010,16963003163.63
rj2010,rj,2010,34534904291
rn2010,rn,2010,5520354659.07
ro2010,ro,2010,3715154433.38
rr2010,rr,2010,1788506009.17
rs2010,rs,2010,20297846621.21
sc2010,sc,2010,11857683741.63
se2010,se,2010,4629386959.1
sp2010,sp,2010,99914614189.05
to2010,to,2010,3881229046.02
ac2011,ac,2011,2975827933.48
al2011,al,2011,4801098985
am2011,am,2011,8515351762.08
ap2011,ap,2011,2897410914.61
ba2011,ba,2011,19226970363.7
ce2011,ce,2011,10966435332
df2011,df,2011,12859741832.57
es2011,es,2011,9772997585.34
go2011,go,2011,12595565221.19
ma2011,ma,2011,8087595886.97
mg2011,mg,2011,37284183547.59
ms2011,ms,2011,5993668420.03
mt2011,mt,2011,7820251901.58
pa2011,pa,2011,10426349999.11
pb2011,pb,2011,5992567869.53
pe2011,pe,2011,14553205412.29
pi2011,pi,2011,5050100633.46
pr2011,pr,2011,19713388991.28
rj2011,rj,2011,39268345357
rn2011,rn,2011,5915554392.39
ro2011,ro,2011,4480601857.73
rr2011,rr,2011,2363618533.47
rs2011,rs,2011,21927904938.78
sc2011,sc,2011,13791477471.27
se2011,se,2011,4905588109.84
sp2011,sp,2011,108053551037.05
to2011,to,2011,4548795397.79
ac2012,ac,2012,3281194823.87
al2012,al,2012,5051891183.67
am2012,am,2012,9655316018.77
ap2012,ap,2012,3344163675.76
ba2012,ba,2012,21624180849.01
ce2012,ce,2012,12130620628
df2012,df,2012,14312436247
es2012,es,2012,10915833390.24
go2012,go,2012,14082824111.62
ma2012,ma,2012,8899986679.57
mg2012,mg,2012,40371093300.8
ms2012,ms,2012,6599645664.14
mt2012,mt,2012,8889944031.12
pa2012,pa,2012,12722720110.21
pb2012,pb,2012,6286655663.1
pe2012,pe,2012,15612666206.2
pi2012,pi,2012,5575468120.71
pr2012,pr,2012,21849072564.42
rj2012,rj,2012,40613414954
rn2012,rn,2012,6702372037.25
ro2012,ro,2012,4789361242.98
rr2012,rr,2012,2380344161.93
rs2012,rs,2012,23710653600.52
sc2012,sc,2012,14535174071.92
se2012,se,2012,5221654432.54
sp2012,sp,2012,115369737577.47
to2012,to,2012,4991475367.76
ac2013,ac,2013,3700350634.52
al2013,al,2013,5465256409.34
am2013,am,2013,10329762485.05
ap2013,ap,2013,3535062381.83
ba2013,ba,2013,23080634286.15
ce2013,ce,2013,13379882291
df2013,df,2013,15811905452.74
es2013,es,2013,10561113114.83
go2013,go,2013,15269900558.18
ma2013,ma,2013,9145629337.11
