id,state,year,value
ac2008,ac,2008,-162860807.19
al2008,al,2008,565683035
am2008,am,2008,-192166266.06
ap2008,ap,2008,-55840696
ba2008,ba,2008,-129952141.37
ce2008,ce,2008,-654991104
df2008,df,2008,-8253882.13
es2008,es,2008,-370785145.46
go2008,go,2008,559210353.52
ma2008,ma,2008,-103923860.31
mg2008,mg,2008,6122737524.49
ms2008,ms,2008,-255157542.01
mt2008,mt,2008,-255743633.13
pa2008,pa,2008,15044772.27
pb2008,pb,2008,-158984641.13
pe2008,pe,2008,-154769665.89
pi2008,pi,2008,-133337674.28
pr2008,pr,2008,4705166246.91
rj2008,rj,2008,460569e4
rn2008,rn,2008,-76648415.13
ro2008,ro,2008,-47663111.29
rr2008,rr,2008,443728991.49
rs2008,rs,2008,3544130849.35
sc2008,sc,2008,387997353.66
se2008,se,2008,-478107887.71
sp2008,sp,2008,13880320844.86
to2008,to,2008,105390980.7
ac2009,ac,2009,202794824.36
al2009,al,2009,-339743074.74
am2009,am,2009,639503105.7
ap2009,ap,2009,118139146
ba2009,ba,2009,-1006238213.52
ce2009,ce,2009,-410414912
df2009,df,2009,234382115.95
es2009,es,2009,-142683746.02
go2009,go,2009,-1240962409.48
ma2009,ma,2009,-272098853.74
mg2009,mg,2009,713520324.39
ms2009,ms,2009,22569806.99
mt2009,mt,2009,-804818101.48
pa2009,pa,2009,-20930563.88
pb2009,pb,2009,-486243290
pe2009,pe,2009,313859151.3
pi2009,pi,2009,114682579.89
pr2009,pr,2009,-4422402624.2
rj2009,rj,2009,-2804433e3
rn2009,rn,2009,47876466.93
ro2009,ro,2009,158150577.36
rr2009,rr,2009,-155878514.89
rs2009,rs,2009,-887857368.65
sc2009,sc,2009,-1739259446.94
se2009,se,2009,158891745.11
sp2009,sp,2009,-481224917.14
to2009,to,2009,34104578.7
ac2010,ac,2010,539908514.14
al2010,al,2010,317484012.57
am2010,am,2010,565463712.97
ap2010,ap,2010,203129282
ba2010,ba,2010,-177640090.68
ce2010,ce,2010,1233488969
df2010,df,2010,304183311.81
es2010,es,2010,842344944.08
go2010,go,2010,2342950691.63
ma2010,ma,2010,294294977.33
mg2010,mg,2010,8341492552.13
ms2010,ms,2010,760407382.24
mt2010,mt,2010,412861747.62
pa2010,pa,2010,781910397.58
pb2010,pb,2010,255816790.27
pe2010,pe,2010,235423239.52
pi2010,pi,2010,26139825.56
pr2010,pr,2010,3859823726.05
rj2010,rj,2010,6627473040
rn2010,rn,2010,145923533.04
ro2010,ro,2010,295934883.02
rr2010,rr,2010,237090627.65
rs2010,rs,2010,5266349784.69
sc2010,sc,2010,-312056657.62
se2010,se,2010,424285861.57
sp2010,sp,2010,24530902530.31
to2010,to,2010,260038232.89
ac2011,ac,2011,24332951.45
al2011,al,2011,308731697.59
am2011,am,2011,-358114089.95
ap2011,ap,2011,-151686491
ba2011,ba,2011,-139118576.26
ce2011,ce,2011,541603198
df2011,df,2011,-34901864.48
es2011,es,2011,153109079.9
go2011,go,2011,-980649.95
ma2011,ma,2011,-564570015.31
mg2011,mg,2011,6128953057.29
ms2011,ms,2011,433020370.4
mt2011,mt,2011,-672131165.84
pa2011,pa,2011,-547932206.57
pb2011,pb,2011,-268473930.68
pe2011,pe,2011,780809240.19
pi2011,pi,2011,-218723799.7
pr2011,pr,2011,-575954666.57
rj2011,rj,2011,2747706453
rn2011,rn,2011,-88396811.23
ro2011,ro,2011,43597042.11
rr2011,rr,2011,-312819313.12
rs2011,rs,2011,3437196212.02
sc2011,sc,2011,-929960238.97
se2011,se,2011,605668430.28
sp2011,sp,2011,4024433952.98
to2011,to,2011,304310022.83
ac2012,ac,2012,425836077.89
al2012,al,2012,501678301.7
am2012,am,2012,-169455451.51
ap2012,ap,2012,297481890
ba2012,ba,2012,1699461671.68
ce2012,ce,2012,138647685
df2012,df,2012,-613928054.37
es2012,es,2012,-246090235.57
go2012,go,2012,699733115.68
ma2012,ma,2012,-174273567.07
mg2012,mg,2012,2832928134.8
ms2012,ms,2012,177149854.4
mt2012,mt,2012,-547969070.56
pa2012,pa,2012,-608265531.98
pb2012,pb,2012,180496694.89
pe2012,pe,2012,1563693980.82
pi2012,pi,2012,-387075417.43
pr2012,pr,2012,-1655317493.99
rj2012,rj,2012,9500348788
rn2012,rn,2012,116627153.72
ro2012,ro,2012,-30173290.13
rr2012,rr,2012,579976415.66
rs2012,rs,2012,4844694489.95
sc2012,sc,2012,-1095955032.35
se2012,se,2012,332924356.64
sp2012,sp,2012,21252784446.82
to2012,to,2012,89506375.04
ac2013,ac,2013,605547251.69
al2013,al,2013,422296884.56
am2013,am,2013,791049674.19
ap2013,ap,2013,332360766
ba2013,ba,2013,59686466.38
ce2013,ce,2013,580539290
df2013,df,2013,1111035851.27
es2013,es,2013,928939154.95
go2013,go,2013,-274827150.01
ma2013,ma,2013,-164925512.47
mg2013,mg,2013,8985530719.88
ms2013,ms,2013,396871826.54
mt2013,mt,2013,601619131.77
pa2013,pa,2013,39432949.09
pb2013,pb,2013,237527692.45
pe2013,pe,2013,1917829830.74
pi2013,pi,2013,499764359.41
pr2013,pr,2013,2131034310.45
rj2013,rj,2013,6125323610
rn2013,rn,2013,82565659.52
ro2013,ro,2013,1121310768.65
rr2013,rr,2013,343005469.23
rs2013,rs,2013,3322024173.59
sc2013,sc,2013,1159437879.47
se2013,se,2013,227479916.85
sp2013,sp,2013,6347459408.69
to2013,to,2013,336200961.47
ac2014,ac,2014,618471592.07
al2014,al,2014,1215156456.58
