id,state,year,value
ac2008,ac,2008,215641041.84
al2008,al,2008,467817600
am2008,am,2008,158393029.05
ap2008,ap,2008,505414412
ba2008,ba,2008,1437345616.83
ce2008,ce,2008,1380243204.86
df2008,df,2008,1003797077.34
es2008,es,2008,2031823442.57
go2008,go,2008,1474933593.39
ma2008,ma,2008,690076216.22
mg2008,mg,2008,2971304919.37
ms2008,ms,2008,678107233.94
mt2008,mt,2008,785503059.99
pa2008,pa,2008,442060094.46
pb2008,pb,2008,444379176.89
pe2008,pe,2008,733900540.35
pi2008,pi,2008,83243833.44
pr2008,pr,2008,1260259483.98
rj2008,rj,2008,4923232e3
rn2008,rn,2008,354777840.53
ro2008,ro,2008,281626739
rr2008,rr,2008,145367779.83
rs2008,rs,2008,2150781562.26
sc2008,sc,2008,1720181059.46
se2008,se,2008,408911105.92
sp2008,sp,2008,5534128677.65
to2008,to,2008,61352288.48
ac2009,ac,2009,-238241336.99
al2009,al,2009,92873578.18
am2009,am,2009,-931786346.84
ap2009,ap,2009,333388749.25
ba2009,ba,2009,737978203.44
ce2009,ce,2009,1164640969.04
df2009,df,2009,-415012273.909997
es2009,es,2009,659241257.68
go2009,go,2009,701169921.58
ma2009,ma,2009,246165177.83
mg2009,mg,2009,1732670988.08
ms2009,ms,2009,457426905.05
mt2009,mt,2009,120133688.12
pa2009,pa,2009,86178451.63
pb2009,pb,2009,444379176.89
pe2009,pe,2009,-331067436.62
pi2009,pi,2009,-173980592.64
pr2009,pr,2009,867071707.59
rj2009,rj,2009,1446493e3
rn2009,rn,2009,128979521.24
ro2009,ro,2009,-830730244.23
rr2009,rr,2009,-126212077.36
rs2009,rs,2009,1627527141.92
sc2009,sc,2009,582027030.46
se2009,se,2009,-167083330.07
sp2009,sp,2009,2621905610.39
to2009,to,2009,252193043.1
ac2010,ac,2010,-420200205.37
al2010,al,2010,375066021.77
am2010,am,2010,-322386639.140001
ap2010,ap,2010,1174443001.96
ba2010,ba,2010,744512931.71
ce2010,ce,2010,877163031.61
df2010,df,2010,35619766.14
es2010,es,2010,69121268.05
go2010,go,2010,212600911.23
ma2010,ma,2010,223269291.52
mg2010,mg,2010,1851098933.58
ms2010,ms,2010,81091592.28
mt2010,mt,2010,721373044.89
pa2010,pa,2010,-195055429.399999
pb2010,pb,2010,-205002757.28
pe2010,pe,2010,220415644.88
pi2010,pi,2010,41094415.74
pr2010,pr,2010,810685333.73
rj2010,rj,2010,746522
rn2010,rn,2010,107446828.58
ro2010,ro,2010,34099101.88
rr2010,rr,2010,303469154.85
rs2010,rs,2010,1582222343.35
sc2010,sc,2010,880446093.41
se2010,se,2010,-320011548.939999
sp2010,sp,2010,5152174764.94
to2010,to,2010,-121318376.84
ac2011,ac,2011,94009198.46
al2011,al,2011,470488731.86
am2011,am,2011,96191483.76
ap2011,ap,2011,734437257.82
ba2011,ba,2011,1176723648.04
ce2011,ce,2011,26437117.51
df2011,df,2011,11793291.9
es2011,es,2011,1490003740.71
go2011,go,2011,1974179799.04
ma2011,ma,2011,621550145.52
mg2011,mg,2011,2756656223.9
ms2011,ms,2011,29121776.89
mt2011,mt,2011,769613393.06
pa2011,pa,2011,989115266.02
pb2011,pb,2011,452606627.27
pe2011,pe,2011,-357582305.710002
pi2011,pi,2011,415712512.76
pr2011,pr,2011,1390363386.06
rj2011,rj,2011,2599970036
rn2011,rn,2011,15004601.65
ro2011,ro,2011,421212395.73
rr2011,rr,2011,96965557.46
rs2011,rs,2011,1454147381.24
sc2011,sc,2011,1259600983.75
se2011,se,2011,-124992576.469999
sp2011,sp,2011,6196640975.21
to2011,to,2011,147620271.04
ac2012,ac,2012,-447859717.39
al2012,al,2012,338749672.58
am2012,am,2012,18807321.4
ap2012,ap,2012,-257026048.77
ba2012,ba,2012,1278945427.31
ce2012,ce,2012,82786950.67
df2012,df,2012,96396729.7
es2012,es,2012,1545612070.54
go2012,go,2012,987806788.17
ma2012,ma,2012,403342498.55
mg2012,mg,2012,3068529846.03
ms2012,ms,2012,561069510.73
mt2012,mt,2012,2296625288.6
pa2012,pa,2012,1115367787.08
pb2012,pb,2012,133382280.69
pe2012,pe,2012,-1058307026.63
pi2012,pi,2012,493092719.11
pr2012,pr,2012,392221542.41
rj2012,rj,2012,-908716935
rn2012,rn,2012,78923803.61
ro2012,ro,2012,50878961.26
rr2012,rr,2012,49161907.37
rs2012,rs,2012,804579809.69
sc2012,sc,2012,869463844.08
se2012,se,2012,-98139167.8000001
sp2012,sp,2012,6489956416.88
to2012,to,2012,102999662.81
ac2013,ac,2013,-412796110.289999
al2013,al,2013,338749672.58
am2013,am,2013,-391734832.68
ap2013,ap,2013,-116755038.88
ba2013,ba,2013,300874947.81
ce2013,ce,2013,637825326.6
df2013,df,2013,-1189482200.06
es2013,es,2013,-316506974.109998
go2013,go,2013,215945731.82
ma2013,ma,2013,-308282882.9
mg2013,mg,2013,663729175.24
ms2013,ms,2013,65815271.53
mt2013,mt,2013,-658278189.6
pa2013,pa,2013,513574613.8
pb2013,pb,2013,-77749297.18
pe2013,pe,2013,1049053858.03
pi2013,pi,2013,677832.52
pr2013,pr,2013,2294320126.78
rj2013,rj,2013,-4704246421
rn2013,rn,2013,119658718.24
ro2013,ro,2013,-382064880.23
rr2013,rr,2013,-1034616534.39
rs2013,rs,2013,623854301.09
sc2013,sc,2013,4633731.76
se2013,se,2013,88146720.72
sp2013,sp,2013,4402521203.7
to2013,to,2013,376883045.86
ac2014,ac,2014,9169807.63
al2014,al,2014,-278940261.91
am2014,am,2014,-837084547.85
ap2014,ap,2014,-410822127.05
ba2014,ba,2014,1600043471.94
ce2014,ce,2014,455335069.85
df2014,df,2014,-514150533.049999
es2014,es,2014,-494585752.78
go2014,go,2014,-680584283.33
ma2014,ma,2014,630764905.25
mg2014,mg,2014,86159755.68
ms2014,ms,2014,-1253783.13
mt2014,mt,2014,-306741345.73
pa2014,pa,2014,514905733.72
pb2014,pb,2014,-399774e3
pe2014,pe,2014,-2060529274.22
pi2014,pi,2014,-147537543.32
pr2014,pr,2014,492512407.48
rj2014,rj,2014,-7339441229
rn2014,rn,2014,219671374.92
ro2014,ro,2014,104634036.97
rr2014,rr,2014,305864049.34
rs2014,rs,2014,-542159461.049995
sc2014,sc,2014,-654081556.180004
se2014,se,2014,228954906.3
sp2014,sp,2014,4589051013.68
to2014,to,2014,-522092597.6
ac2015,ac,2015,-143987048.42
al2015,al,2015,733320008.79
am2015,am,2015,5586732.54
ap2015,ap,2015,-44630075.65
ba2015,ba,2015,-570487456.12
ce2015,ce,2015,-992945340.14
df2015,df,2015,-2525225916.77
es2015,es,2015,206453862.14
go2015,go,2015,6025045.41
ma2015,ma,2015,-231277843.86
mg2015,mg,2015,-3243577459.3
ms2015,ms,2015,1560329778.87
mt2015,mt,2015,297506911.41
pa2015,pa,2015,386981635.64
pb2015,pb,2015,-296850308.05
pe2015,pe,2015,319444913.1
pi2015,pi,2015,3798087.85
pr2015,pr,2015,1863591789.41
rj2015,rj,2015,-3957620963.05
rn2015,rn,2015,-330022524.6
ro2015,ro,2015,23781853.04
rr2015,rr,2015,312182708.41
rs2015,rs,2015,-1777129950.82
sc2015,sc,2015,-330031930.82
se2015,se,2015,-53891347.74
sp2015,sp,2015,5062845327.84
to2015,to,2015,249339619.01
ac2016,ac,2016,373987378.85
al2016,al,2016,1127084183.19
am2016,am,2016,425026056.73
ap2016,ap,2016,-444222131.89
ba2016,ba,2016,-1117838694.45
ce2016,ce,2016,890046570.67
df2016,df,2016,-686184967.41
es2016,es,2016,316568269.65
