id,state,year,value
ac2008,ac,2008,174473396.48
ac2009,ac,2009,222447458.25
ac2010,ac,2010,237524470.41
ac2011,ac,2011,246434582.21
ac2012,ac,2012,196695273.84
ac2013,ac,2013,292425607.92
ac2014,ac,2014,416678814.85
ac2015,ac,2015,375534456.72
ac2016,ac,2016,326354971.81
al2008,al,2008,204044912
al2009,al,2009,279334347.16
al2010,al,2010,133194088.74
al2011,al,2011,0
al2012,al,2012,0
al2013,al,2013,0
al2014,al,2014,0
al2015,al,2015,309069554.97
al2016,al,2016,1765473678.17
am2008,am,2008,0
am2009,am,2009,0
am2010,am,2010,0
am2011,am,2011,0
am2012,am,2012,462827686.89
am2013,am,2013,550160492.08
am2014,am,2014,658348305.78
am2015,am,2015,708742399.25
am2016,am,2016,881978645.17
ap2008,ap,2008,137031196
ap2009,ap,2009,53696420
ap2010,ap,2010,24392903
ap2011,ap,2011,79489851
ap2012,ap,2012,92564035
ap2013,ap,2013,40696026
ap2014,ap,2014,60534782.09
ap2015,ap,2015,99240422.27
ap2016,ap,2016,111718268.07
ba2008,ba,2008,554267721.83
ba2009,ba,2009,634292466.97
ba2010,ba,2010,711420045.35
ba2011,ba,2011,804819386.82
ba2012,ba,2012,918739773.27
ba2013,ba,2013,1133313104.07
ba2014,ba,2014,1181968001.62
ba2015,ba,2015,1321763223.71
ba2016,ba,2016,1409697645.92
ce2008,ce,2008,726416407.89
ce2009,ce,2009,838253825.08
ce2010,ce,2010,976107938.86
ce2011,ce,2011,995847966.04
ce2012,ce,2012,1099805982.02
ce2013,ce,2013,1209819337.6
ce2014,ce,2014,1361596574.52
ce2015,ce,2015,1395437047.54
ce2016,ce,2016,1573816246.83
df2008,df,2008,825541907.76
df2009,df,2009,880575073.72
df2010,df,2010,1019334317.93
df2011,df,2011,1121880667.47
df2012,df,2012,1216998032.64
df2013,df,2013,1296969644.85
df2014,df,2014,1444225348.18
df2015,df,2015,1561661922.4
df2016,df,2016,1469352964.62
es2008,es,2008,986718991.39
es2009,es,2009,1120498370.37
es2010,es,2010,1265569363.49
es2011,es,2011,1489012958.2
es2012,es,2012,1661257712.84
es2013,es,2013,1895654274.74
es2014,es,2014,2202381696.88
es2015,es,2015,2355310490.66
es2016,es,2016,2517095071.9
go2008,go,2008,271461498.21
go2009,go,2009,283435613.87
go2010,go,2010,347041910.59
go2011,go,2011,1030540668.01
go2012,go,2012,1126406903.2
go2013,go,2013,1324334044.48
go2014,go,2014,1575791555.17
go2015,go,2015,1777506311.09
go2016,go,2016,1785959706.07
ma2008,ma,2008,402374107.16
ma2009,ma,2009,455559672.91
ma2010,ma,2010,250276128.96
ma2011,ma,2011,257302117.09
ma2012,ma,2012,260899839.66
ma2013,ma,2013,327470050.05
ma2014,ma,2014,386263141.6
