id,state,year,value
ac2008,ac,2008,2821054712.59
al2008,al,2008,4288730679
am2008,am,2008,7689874682.23
ap2008,ap,2008,2356943479
ba2008,ba,2008,19226189909.25
ce2008,ce,2008,11207663493.14
df2008,df,2008,10021267327.23
es2008,es,2008,10438472037.59
go2008,go,2008,11133591684.16
ma2008,ma,2008,6733813505.69
mg2008,mg,2008,38135970418.86
ms2008,ms,2008,6816816078.38
mt2008,mt,2008,7981245737.74
pa2008,pa,2008,9476550340.2
pb2008,pb,2008,5446390938.91
pe2008,pe,2008,13934364622.53
pi2008,pi,2008,4251118429.39
pr2008,pr,2008,18330426289.14
rj2008,rj,2008,40752749e3
rn2008,rn,2008,5780697866.29
ro2008,ro,2008,3833391894
rr2008,rr,2008,1638779562.5
rs2008,rs,2008,22949882681.92
sc2008,sc,2008,11068226342.63
se2008,se,2008,4462555069.71
sp2008,sp,2008,117490819908.38
to2008,to,2008,3904962759.56
ac2009,ac,2009,3133225316.84
al2009,al,2009,4494610194.3
am2009,am,2009,7480110331.91
ap2009,ap,2009,2164620538.25
ba2009,ba,2009,20184059785.27
ce2009,ce,2009,12224014013.95
df2009,df,2009,10921787064.27
es2009,es,2009,10159016247.8
go2009,go,2009,11488586834.77
ma2009,ma,2009,7063157609.11
mg2009,mg,2009,38246783834
ms2009,ms,2009,6990602491.6
mt2009,mt,2009,8593202497.43
pa2009,pa,2009,9896441458.98
pb2009,pb,2009,5376291222.98
pe2009,pe,2009,14906189371.01
pi2009,pi,2009,4580907215.22
pr2009,pr,2009,19264698304.08
rj2009,rj,2009,3922549e4
rn2009,rn,2009,5935048926.89
ro2009,ro,2009,3950431774.06
rr2009,rr,2009,1809774191.61
rs2009,rs,2009,28046636523.46
sc2009,sc,2009,11148626681.89
se2009,se,2009,4577438562.23
sp2009,sp,2009,124135915469.23
to2009,to,2009,4144951888.52
ac2010,ac,2010,3320785130.06
al2010,al,2010,5478240137.28
am2010,am,2010,9110918999.88
ap2010,ap,2010,2404704180.96
ba2010,ba,2010,23880899847.93
ce2010,ce,2010,14332167478.26
df2010,df,2010,11922241867.91
es2010,es,2010,11358321691.28
go2010,go,2010,13155553744.14
ma2010,ma,2010,7559151292.9
mg2010,mg,2010,43977853004.26
ms2010,ms,2010,7779083172.66
mt2010,mt,2010,9595579903.14
pa2010,pa,2010,11304341485.33
pb2010,pb,2010,5739869275.11
pe2010,pe,2010,18642677988.49
pi2010,pi,2010,5619265345.39
pr2010,pr,2010,21777337101.74
rj2010,rj,2010,46773407164
rn2010,rn,2010,7004699528.05
ro2010,ro,2010,4589272174.72
rr2010,rr,2010,2111949382.84
rs2010,rs,2010,33500383948.15
sc2010,sc,2010,12798711730.21
se2010,se,2010,5465132054.95
sp2010,sp,2010,142228658836.53
to2010,to,2010,4437095449.24
