id,state,year,value
ac2008,ac,2008,346951791.39
al2008,al,2008,137428434
am2008,am,2008,142305188.11
ap2008,ap,2008,6536605
ba2008,ba,2008,119519309.21
ce2008,ce,2008,261814523.2
df2008,df,2008,164613643.29
es2008,es,2008,11429383.68
go2008,go,2008,205157837.22
ma2008,ma,2008,56003914.11
mg2008,mg,2008,309138268.21
ms2008,ms,2008,226885298.52
mt2008,mt,2008,41502381.08
pa2008,pa,2008,227985745.11
pb2008,pb,2008,91959022.51
pe2008,pe,2008,339176830.06
pi2008,pi,2008,87539183.88
pr2008,pr,2008,155224901.92
rj2008,rj,2008,252873e3
rn2008,rn,2008,7206131.27
ro2008,ro,2008,16691098
rr2008,rr,2008,137842451.88
rs2008,rs,2008,87997460.69
sc2008,sc,2008,14875075.22
se2008,se,2008,158069883.57
sp2008,sp,2008,1097385207.9
to2008,to,2008,186946549.22
ac2009,ac,2009,380526390.62
al2009,al,2009,159902624.5
am2009,am,2009,215580091.8
ap2009,ap,2009,3653322
ba2009,ba,2009,417576569.06
ce2009,ce,2009,435923280.84
df2009,df,2009,335068099.44
es2009,es,2009,3546494.63
go2009,go,2009,308556798.1
ma2009,ma,2009,128133474.66
mg2009,mg,2009,368312814.36
ms2009,ms,2009,214024087.25
mt2009,mt,2009,164040176.62
pa2009,pa,2009,99629157.31
pb2009,pb,2009,155000042.07
pe2009,pe,2009,538324130.82
pi2009,pi,2009,163237842.67
pr2009,pr,2009,225697980.69
rj2009,rj,2009,626886e3
rn2009,rn,2009,16817141.42
ro2009,ro,2009,70021167.1
rr2009,rr,2009,41682942.24
rs2009,rs,2009,191333355.44
sc2009,sc,2009,17368512.41
se2009,se,2009,107478656.98
sp2009,sp,2009,1052403685.93
to2009,to,2009,129197767.87
ac2010,ac,2010,332524722.41
al2010,al,2010,577094335.17
am2010,am,2010,243798881.46
ap2010,ap,2010,3469125
ba2010,ba,2010,585229384.11
ce2010,ce,2010,612373410.1
df2010,df,2010,125064724.25
es2010,es,2010,8674484.9
go2010,go,2010,93808375.87
ma2010,ma,2010,27987233.96
mg2010,mg,2010,365556047.97
ms2010,ms,2010,392431057.49
mt2010,mt,2010,246983388.24
pa2010,pa,2010,119994027.66
pb2010,pb,2010,95279838.87
pe2010,pe,2010,1609651865.72
pi2010,pi,2010,116008588.22
pr2010,pr,2010,483995120.11
rj2010,rj,2010,752147753
rn2010,rn,2010,32098881.18
ro2010,ro,2010,44534674.52
rr2010,rr,2010,195396408.32
rs2010,rs,2010,213562606.75
sc2010,sc,2010,35983366.5
se2010,se,2010,132595530.45
sp2010,sp,2010,1348492980.26
to2010,to,2010,135868924.87
ac2011,ac,2011,282400873.97
al2011,al,2011,174471625.66
am2011,am,2011,233285024.02
ap2011,ap,2011,6343388
ba2011,ba,2011,362375140.84
ce2011,ce,2011,489307261.23
df2011,df,2011,283001157.26
es2011,es,2011,17430023.92
go2011,go,2011,68501192.37
ma2011,ma,2011,102835442.42
mg2011,mg,2011,652434434.87
ms2011,ms,2011,447962124.41
mt2011,mt,2011,164177660.19
pa2011,pa,2011,109144562.17
