id,state,year,value
ac2008,ac,2008,2474102921.2
al2008,al,2008,4151302245
am2008,am,2008,7547569494.12
ap2008,ap,2008,2350406874
ba2008,ba,2008,19106670600.04
ce2008,ce,2008,10945848969.94
df2008,df,2008,9856653683.94
es2008,es,2008,10427042653.91
go2008,go,2008,10928433846.94
ma2008,ma,2008,6677809591.58
mg2008,mg,2008,37826832150.65
ms2008,ms,2008,6589930779.86
mt2008,mt,2008,7939743356.66
pa2008,pa,2008,9248564595.09
pb2008,pb,2008,5354431916.4
pe2008,pe,2008,13595187792.47
pi2008,pi,2008,4163579245.51
pr2008,pr,2008,18175201387.22
rj2008,rj,2008,40499876e3
rn2008,rn,2008,5773491735.02
ro2008,ro,2008,3816700796
rr2008,rr,2008,1500937110.62
rs2008,rs,2008,22861885221.23
sc2008,sc,2008,11053351267.41
se2008,se,2008,4304485186.14
sp2008,sp,2008,116393434700.48
to2008,to,2008,3718016210.34
ac2009,ac,2009,2752698926.22
al2009,al,2009,4334707569.8
am2009,am,2009,7264530240.11
ap2009,ap,2009,2160967216.25
ba2009,ba,2009,19766483216.21
ce2009,ce,2009,11788090733.11
df2009,df,2009,10586718964.83
es2009,es,2009,10155469753.17
go2009,go,2009,11180030036.67
ma2009,ma,2009,6935024134.45
mg2009,mg,2009,37878471019.64
ms2009,ms,2009,6776578404.35
mt2009,mt,2009,8429162320.81
pa2009,pa,2009,9796812301.67
pb2009,pb,2009,5221291180.91
pe2009,pe,2009,14367865240.19
pi2009,pi,2009,4417669372.55
pr2009,pr,2009,19039000323.39
rj2009,rj,2009,38598604e3
rn2009,rn,2009,5918231785.47
ro2009,ro,2009,3880410606.96
rr2009,rr,2009,1768091249.37
rs2009,rs,2009,27855303168.02
sc2009,sc,2009,11131258169.48
se2009,se,2009,4469959905.25
sp2009,sp,2009,123083511783.3
to2009,to,2009,4015754120.65
ac2010,ac,2010,2988260407.65
al2010,al,2010,4901145802.11
am2010,am,2010,8867120118.42
ap2010,ap,2010,2401235055.96
ba2010,ba,2010,23295670463.82
ce2010,ce,2010,13719794068.16
df2010,df,2010,11797177143.66
es2010,es,2010,11349647206.38
go2010,go,2010,13061745368.27
ma2010,ma,2010,7531164058.94
mg2010,mg,2010,43612296956.29
ms2010,ms,2010,7386652115.17
mt2010,mt,2010,9348596514.9
pa2010,pa,2010,11184347457.67
pb2010,pb,2010,5644589436.24
pe2010,pe,2010,17033026122.77
pi2010,pi,2010,5503256757.17
pr2010,pr,2010,21293341981.63
rj2010,rj,2010,46021259411
rn2010,rn,2010,6972600646.87
ro2010,ro,2010,4544737500.2
rr2010,rr,2010,1916552974.52
rs2010,rs,2010,33286821341.4
sc2010,sc,2010,12762728363.71
se2010,se,2010,5332536524.5
sp2010,sp,2010,140880165856.27
to2010,to,2010,4301226524.37
ac2011,ac,2011,3338294839.25
al2011,al,2011,5405722667.67
am2011,am,2011,10044220837.33
ap2011,ap,2011,2870300424.82
ba2011,ba,2011,25845592121.92
ce2011,ce,2011,15477294264.57
